article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,fc9c2896-5771-45f3-8541-0ddc30b5a589,Form.2020_03txt,Arguments,1,,{},1,1747,1868,"So far, as many as 988 people have died from the virus across Iran, 16,169 others been infected, and 5,389 have recovered"
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,6bd59682-6d58-4f7b-9df2-8a0913e404fc,Form.2020_03txt,Arguments,5,,{},2,1104,1397,"The US reinstated its sanctions against Iran in May 2018 after leaving aUN-endorsed nuclear agreement with Iran and five other countries.\n\nTehran sued Washington at the International Court of Justice afterwards. The tribunal ruled that the US should lift its sanctions on humanitarian supplies"
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,6bd59682-6d58-4f7b-9df2-8a0913e404fc,Form.2020_03txt,Arguments,5,,{},2,1400,1488,"Washington, meanwhile, claims that it has exempted foodstuffs and medicine from the bans"
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,41406259-44fd-4345-a576-d5c29c08901b,Form.2020_03txt,Arguments,6,,{},2,1243,1397,Tehran sued Washington at the International Court of Justice afterwards. The tribunal ruled that the US should lift its sanctions on humanitarian supplies
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,41406259-44fd-4345-a576-d5c29c08901b,Form.2020_03txt,Arguments,6,,{},2,1543,1744,"The Islamic Republic has written to the United Nations and all international organizations, urging removal of the draconian measures that has come in the way of the country\u2019s fight against the outbreak"
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,6f1898a9-fc8e-4c18-a268-4eefa9e20dc7,Form.2020_03txt,Assertions,1,,{},1,337,445,There are too many indications now that the virus has been leaked from a bioweapons lab in the United States
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,86f85475-cd63-4315-83cf-e5caf9d783ed,Form.2020_03txt,Assertions,3,,{},1,545,588,The United States should lift the sanctions
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,c84aa341-d954-4d9c-a140-b94e32024d8d,Form.2020_03txt,Assertions,4,,{},2,152,333,"the United States is keeping its sanctions against Iran in order to complement the bans\u2019 effect with the scourge of the new coronavirus that he believes might be a US-made bioweapon"
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,c84aa341-d954-4d9c-a140-b94e32024d8d,Form.2020_03txt,Assertions,4,,{},2,595,776,"if it\u2019s a weapon, then, they would not want to do that. If it\u2019s a weapon, then, they are going to want to use the sanctions as part of the other weapon to force Iran into submission"
CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,1870,a8428c88-cd9d-4318-a5cf-3fd0f25a9ce3,Covid_Form1.0.adjudicated,e52b4e75-0712-4fc6-98bf-d19cb253c381,Adjudicator Nick Adams HLTR source task 858 article number 100054 project 186,True,671d3aa2-efba-45fe-a070-dde1d67ab647,e12d3131-c6a0-4128-97c4-61f231e651b2,Form.2020_03txt,Assertions,5,,{},1,888,1100,"Currently, \u201cno one can get to the heart of the matter,\u201d he said. The reason behind the confusion, he added, might be that the virus is \u201ca form of warfare that has to remain secret in order for it to be successful"
