schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q2,T1.Q3
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,c5aa11c1-c6d8-4875-b101-50713027e662,https://pe.goodlylabs.org/project/NYU_Arguments/task/2300,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,d2039723-ba5c-4188-b237-042e064228de,782cf148-ffac-43f1-99aa-27a9d64b5212,2019-10-27 05:49:01.040767,2019-10-27 06:29:02.130333,2401.089566,"T1.Q1, T1.Q2, T1.Q3",0,0,1,0,0,0,5: Middling difficulty,7
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,c5aa11c1-c6d8-4875-b101-50713027e662,https://pe.goodlylabs.org/project/NYU_Arguments/task/2300,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,9900c9e9-3d98-4822-aad9-106d387ed78a,294a6c7b-515a-495b-b8c9-2ec7df3ef46b,2019-10-28 04:47:52.543846,2019-10-28 04:50:16.491775,143.947929,"T1.Q1, T1.Q2, T1.Q3",1,1,0,0,0,0,9,9
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,c5aa11c1-c6d8-4875-b101-50713027e662,https://pe.goodlylabs.org/project/NYU_Arguments/task/2300,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,d7984286-6393-47f4-8c9b-d158cdb5627f,50b97722-8671-4131-8a54-409491b48a1e,2019-10-29 01:47:53.352348,2019-10-29 01:55:46.248210,472.895862,"T1.Q1, T1.Q2, T1.Q3",0,0,1,0,0,0,4,8
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,c5aa11c1-c6d8-4875-b101-50713027e662,https://pe.goodlylabs.org/project/NYU_Arguments/task/2300,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,1c7d2ff1-cf7c-4187-99de-032f1565a00a,c56a533a-deab-4c1a-a516-e8994c45e84c,2019-11-13 21:18:37.261543,2019-11-13 21:19:58.278614,81.017071,"T1.Q1, T1.Q2, T1.Q3",0,1,0,0,0,0,5: Middling difficulty,5: 50-50
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,c5aa11c1-c6d8-4875-b101-50713027e662,https://pe.goodlylabs.org/project/NYU_Arguments/task/2300,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,f64c59ad-a7af-4182-a973-1dd3f6b0b8e6,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:23:50.003155,2019-11-13 21:25:15.450679,85.447524,"T1.Q1, T1.Q2, T1.Q3",0,1,0,0,0,0,5: Middling difficulty,6
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,bf8ce712-19f7-4f2d-a93e-36810f89bce4,https://pe.goodlylabs.org/project/NYU_Arguments/task/2316,5,3,NYU_Articles/Pilot/TIFinallyExplainsWhyHe.txt,100032,TIFinallyExplainsWhyHe.txt,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,693a70f8-d19e-45c7-aa0c-5806fc12576f,3c97d749-8996-4a96-97af-73ecdc5a4716,2019-10-29 04:08:41.111068,2019-10-29 04:10:21.133567,100.022499,"T1.Q1, T1.Q2, T1.Q3",0,0,1,0,0,0,9,2
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,bf8ce712-19f7-4f2d-a93e-36810f89bce4,https://pe.goodlylabs.org/project/NYU_Arguments/task/2316,5,3,NYU_Articles/Pilot/TIFinallyExplainsWhyHe.txt,100032,TIFinallyExplainsWhyHe.txt,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,be4a02af-1801-492b-9c0e-9b4fcf651865,45c40bb3-569d-4d6c-9067-bdf0cb3ce923,2019-10-29 22:21:09.967334,2019-10-29 22:22:45.265847,95.298513,"T1.Q1, T1.Q2, T1.Q3",0,1,0,0,0,0,2,6
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,bf8ce712-19f7-4f2d-a93e-36810f89bce4,https://pe.goodlylabs.org/project/NYU_Arguments/task/2316,5,3,NYU_Articles/Pilot/TIFinallyExplainsWhyHe.txt,100032,TIFinallyExplainsWhyHe.txt,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,7c72547f-9379-46b3-8452-6d223c9badbb,6a76c935-dac8-40f8-88b1-97cf893331ad,2019-10-30 00:53:54.090863,2019-10-30 00:55:40.307811,106.216948,"T1.Q1, T1.Q2, T1.Q3",0,1,0,0,0,0,2,8
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,bf8ce712-19f7-4f2d-a93e-36810f89bce4,https://pe.goodlylabs.org/project/NYU_Arguments/task/2316,5,3,NYU_Articles/Pilot/TIFinallyExplainsWhyHe.txt,100032,TIFinallyExplainsWhyHe.txt,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,1e481fa8-dd84-4952-b26e-d723fdac9a84,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:34:20.310595,2019-11-13 21:35:10.752951,50.442356,"T1.Q1, T1.Q2, T1.Q3",0,0,1,0,0,0,5: Middling difficulty,7
ArgumentRelevance_2019_08_04,81c75cb5dd1a152ce73fa9755d8ca85a8d99e637fdcc67646cef632787057f82,bf8ce712-19f7-4f2d-a93e-36810f89bce4,https://pe.goodlylabs.org/project/NYU_Arguments/task/2316,5,3,NYU_Articles/Pilot/TIFinallyExplainsWhyHe.txt,100032,TIFinallyExplainsWhyHe.txt,832ecb4405a6c6ba17b9f5a67e9cdb91b07462cb9d723162fbcf3e114b66f791,580989d3-d6c8-4dcb-9378-21f14e83b834,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 22:56:16.761113,2019-11-13 22:57:36.925848,80.164735,"T1.Q1, T1.Q2, T1.Q3",0,1,1,0,0,0,5: Middling difficulty,3
