,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,45.0,1,1,1.0,1865.0,1914.0,4000.0,nominal,0.0
1,45.0,2,1,1.0,1846.0,1924.0,4000.0,nominal,0.0
2,45.0,3,1,1.0,1864.0,1915.0,4000.0,nominal,0.0
3,45.0,4,1,5.0,1874.0,1956.0,4000.0,nominal,0.0
4,45.0,5,1,5.0,1884.0,1911.0,4000.0,nominal,0.0
5,45.0,1,2,4.0,1459.0,1562.0,4000.0,nominal,0.0
6,45.0,2,2,4.0,1475.0,1557.0,4000.0,nominal,0.0
7,45.0,3,2,4.0,1477.0,1560.0,4000.0,nominal,0.0
8,45.0,4,2,5.0,1496.0,1649.0,4000.0,nominal,0.0
9,45.0,5,2,3.0,1247.0,1710.0,4000.0,nominal,0.0
10,45.0,1,3,5.0,1528.0,1645.0,4000.0,nominal,0.0
11,45.0,2,3,5.0,1536.0,1606.0,4000.0,nominal,0.0
12,45.0,3,3,5.0,1550.0,1611.0,4000.0,nominal,0.0
13,45.0,4,3,4.0,1585.0,1597.0,4000.0,nominal,0.0
14,45.0,5,3,3.0,1127.0,1570.0,4000.0,nominal,0.0
15,45.0,1,4,1.0,1925.0,1967.0,4000.0,nominal,0.0
16,45.0,2,4,1.0,1937.0,1964.0,4000.0,nominal,0.0
17,45.0,3,4,1.0,1926.0,1965.0,4000.0,nominal,0.0
18,45.0,4,4,5.0,1935.0,1950.0,4000.0,nominal,0.0
19,45.0,5,4,2.0,1904.0,1967.0,4000.0,nominal,0.0
20,45.0,1,5,5.0,1646.0,1670.0,4000.0,nominal,0.0
21,45.0,2,5,5.0,1615.0,1661.0,4000.0,nominal,0.0
22,45.0,3,5,5.0,1626.0,1644.0,4000.0,nominal,0.0
23,45.0,4,5,1.0,1571.0,1656.0,4000.0,nominal,0.0
24,45.0,5,5,2.0,1417.0,1579.0,4000.0,nominal,0.0
25,45.0,1,6,1.0,1943.0,1998.0,4000.0,nominal,0.0
26,45.0,2,6,1.0,1917.0,2005.0,4000.0,nominal,0.0
27,45.0,3,6,1.0,1946.0,2008.0,4000.0,nominal,0.0
28,45.0,4,6,4.0,1909.0,2057.0,4000.0,nominal,0.0
29,45.0,5,6,4.0,1770.0,2191.0,4000.0,nominal,0.0
30,45.0,1,7,2.0,1439.0,1507.0,4000.0,nominal,0.0
31,45.0,2,7,5.0,1439.0,1485.0,4000.0,nominal,0.0
32,45.0,3,7,5.0,1440.0,1509.0,4000.0,nominal,0.0
33,45.0,4,7,1.0,1431.0,1535.0,4000.0,nominal,0.0
34,45.0,5,7,2.0,1476.0,1517.0,4000.0,nominal,0.0
35,45.0,1,8,4.0,1408.0,1443.0,4000.0,ordinal,0.0
36,45.0,2,8,4.0,1394.0,1419.0,4000.0,ordinal,0.0
37,45.0,3,8,4.0,1411.0,1450.0,4000.0,ordinal,0.0
38,45.0,4,8,2.0,1409.0,1490.0,4000.0,ordinal,0.0
39,45.0,5,8,2.0,1447.0,1544.0,4000.0,ordinal,0.0
40,45.0,1,9,4.0,1838.0,1879.0,4000.0,ordinal,0.0
41,45.0,2,9,3.0,1809.0,1869.0,4000.0,ordinal,0.0
42,45.0,3,9,3.0,1811.0,1890.0,4000.0,ordinal,0.0
43,45.0,4,9,1.0,1731.0,2016.0,4000.0,ordinal,0.0
44,45.0,5,9,4.0,1701.0,1832.0,4000.0,ordinal,0.0
45,45.0,1,10,2.0,1822.0,1844.0,4000.0,ordinal,0.0
46,45.0,2,10,3.0,1799.0,1861.0,4000.0,ordinal,0.0
47,45.0,3,10,2.0,1836.0,1867.0,4000.0,ordinal,0.0
48,45.0,4,10,2.0,1800.0,1846.0,4000.0,ordinal,0.0
49,45.0,5,10,1.0,1811.0,2072.0,4000.0,ordinal,0.0
