,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,17.0,1,1,2.0,1005.0,1025.0,4000.0,nominal,0.0
1,17.0,2,1,2.0,1033.0,1047.0,4000.0,nominal,0.0
2,17.0,3,1,5.0,1061.0,1096.0,4000.0,nominal,0.0
3,17.0,4,1,1.0,1011.0,1033.0,4000.0,nominal,0.0
4,17.0,5,1,1.0,1037.0,1108.0,4000.0,nominal,0.0
5,17.0,1,2,4.0,1735.0,1837.0,4000.0,nominal,0.0
6,17.0,2,2,4.0,1732.0,1813.0,4000.0,nominal,0.0
7,17.0,3,2,3.0,1785.0,1841.0,4000.0,nominal,0.0
8,17.0,4,2,4.0,1727.0,1849.0,4000.0,nominal,0.0
9,17.0,5,2,5.0,1737.0,1776.0,4000.0,nominal,0.0
10,17.0,1,3,4.0,1736.0,1758.0,4000.0,nominal,0.0
11,17.0,2,3,4.0,1727.0,1765.0,4000.0,nominal,0.0
12,17.0,3,3,3.0,1638.0,1682.0,4000.0,nominal,0.0
13,17.0,4,3,4.0,1694.0,1765.0,4000.0,nominal,0.0
14,17.0,5,3,1.0,1696.0,1743.0,4000.0,nominal,0.0
15,17.0,1,4,5.0,1678.0,1749.0,4000.0,nominal,0.0
16,17.0,2,4,5.0,1691.0,1745.0,4000.0,nominal,0.0
17,17.0,3,4,1.0,1620.0,1719.0,4000.0,nominal,0.0
18,17.0,4,4,5.0,1661.0,1742.0,4000.0,nominal,0.0
19,17.0,5,4,1.0,1610.0,1754.0,4000.0,nominal,0.0
20,17.0,1,5,1.0,1283.0,1340.0,4000.0,nominal,0.0
21,17.0,2,5,1.0,1280.0,1315.0,4000.0,nominal,0.0
22,17.0,3,5,3.0,1275.0,1396.0,4000.0,nominal,0.0
23,17.0,4,5,2.0,1194.0,1428.0,4000.0,nominal,0.0
24,17.0,5,5,5.0,1251.0,1388.0,4000.0,nominal,0.0
25,17.0,1,6,2.0,1408.0,1474.0,4000.0,nominal,0.0
26,17.0,2,6,3.0,1420.0,1470.0,4000.0,nominal,0.0
27,17.0,3,6,5.0,1427.0,1466.0,4000.0,nominal,0.0
28,17.0,4,6,2.0,1410.0,1469.0,4000.0,nominal,0.0
29,17.0,5,6,5.0,1408.0,1538.0,4000.0,nominal,0.0
30,17.0,1,7,2.0,1736.0,1797.0,4000.0,nominal,0.0
31,17.0,2,7,2.0,1746.0,1783.0,4000.0,nominal,0.0
32,17.0,3,7,5.0,1621.0,1741.0,4000.0,nominal,0.0
33,17.0,4,7,5.0,1707.0,1871.0,4000.0,nominal,0.0
34,17.0,5,7,5.0,1726.0,1743.0,4000.0,nominal,0.0
35,17.0,1,8,1.0,1942.0,1999.0,4000.0,ordinal,0.0
36,17.0,2,8,5.0,1943.0,1986.0,4000.0,ordinal,0.0
37,17.0,3,8,4.0,1849.0,1979.0,4000.0,ordinal,0.0
38,17.0,4,8,2.0,1936.0,2059.0,4000.0,ordinal,0.0
39,17.0,5,8,4.0,1992.0,2084.0,4000.0,ordinal,0.0
40,17.0,1,9,4.0,1440.0,1485.0,4000.0,ordinal,0.0
41,17.0,2,9,5.0,1413.0,1490.0,4000.0,ordinal,0.0
42,17.0,3,9,4.0,1284.0,1449.0,4000.0,ordinal,0.0
43,17.0,4,9,5.0,1411.0,1516.0,4000.0,ordinal,0.0
44,17.0,5,9,1.0,1420.0,1643.0,4000.0,ordinal,0.0
45,17.0,1,10,3.0,1562.0,1591.0,4000.0,ordinal,0.0
46,17.0,2,10,4.0,1589.0,1608.0,4000.0,ordinal,0.0
47,17.0,3,10,4.0,1623.0,1717.0,4000.0,ordinal,0.0
48,17.0,4,10,3.0,1559.0,1601.0,4000.0,ordinal,0.0
49,17.0,5,10,1.0,1370.0,1536.0,4000.0,ordinal,0.0
