,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,13.0,1,1,2.0,1923.0,1983.0,4000.0,nominal,0.0
1,13.0,2,1,3.0,1948.0,1991.0,4000.0,nominal,0.0
2,13.0,3,1,1.0,1921.0,1956.0,4000.0,nominal,0.0
3,13.0,4,1,4.0,1888.0,1991.0,4000.0,nominal,0.0
4,13.0,5,1,1.0,1774.0,2007.0,4000.0,nominal,0.0
5,13.0,1,2,4.0,1051.0,1146.0,4000.0,nominal,0.0
6,13.0,2,2,3.0,1108.0,1137.0,4000.0,nominal,0.0
7,13.0,3,2,5.0,1037.0,1201.0,4000.0,nominal,0.0
8,13.0,4,2,2.0,1008.0,1123.0,4000.0,nominal,0.0
9,13.0,5,2,5.0,1111.0,1181.0,4000.0,nominal,0.0
10,13.0,1,3,4.0,1619.0,1683.0,4000.0,nominal,0.0
11,13.0,2,3,3.0,1607.0,1677.0,4000.0,nominal,0.0
12,13.0,3,3,5.0,1596.0,1885.0,4000.0,nominal,0.0
13,13.0,4,3,3.0,1594.0,1685.0,4000.0,nominal,0.0
14,13.0,5,3,5.0,1610.0,1627.0,4000.0,nominal,0.0
15,13.0,1,4,1.0,1746.0,1802.0,4000.0,nominal,0.0
16,13.0,2,4,3.0,1774.0,1805.0,4000.0,nominal,0.0
17,13.0,3,4,5.0,1755.0,1906.0,4000.0,nominal,0.0
18,13.0,4,4,1.0,1781.0,1866.0,4000.0,nominal,0.0
19,13.0,5,4,3.0,1728.0,1912.0,4000.0,nominal,0.0
20,13.0,1,5,3.0,1799.0,1841.0,4000.0,nominal,0.0
21,13.0,2,5,1.0,1800.0,1811.0,4000.0,nominal,0.0
22,13.0,3,5,5.0,1811.0,1913.0,4000.0,nominal,0.0
23,13.0,4,5,3.0,1859.0,1912.0,4000.0,nominal,0.0
24,13.0,5,5,2.0,1820.0,1909.0,4000.0,nominal,0.0
25,13.0,1,6,3.0,1736.0,1764.0,4000.0,nominal,0.0
26,13.0,2,6,3.0,1757.0,1777.0,4000.0,nominal,0.0
27,13.0,3,6,2.0,1762.0,1846.0,4000.0,nominal,0.0
28,13.0,4,6,1.0,1653.0,1762.0,4000.0,nominal,0.0
29,13.0,5,6,4.0,1589.0,1922.0,4000.0,nominal,0.0
30,13.0,1,7,1.0,1278.0,1300.0,4000.0,nominal,0.0
31,13.0,2,7,2.0,1270.0,1308.0,4000.0,nominal,0.0
32,13.0,3,7,2.0,1235.0,1238.0,4000.0,nominal,0.0
33,13.0,4,7,1.0,1266.0,1294.0,4000.0,nominal,0.0
34,13.0,5,7,5.0,1178.0,1328.0,4000.0,nominal,0.0
35,13.0,1,8,1.0,1920.0,1923.0,4000.0,ordinal,0.0
36,13.0,2,8,1.0,1910.0,1947.0,4000.0,ordinal,0.0
37,13.0,3,8,5.0,1921.0,2002.0,4000.0,ordinal,0.0
38,13.0,4,8,1.0,1936.0,2009.0,4000.0,ordinal,0.0
39,13.0,5,8,3.0,1863.0,1951.0,4000.0,ordinal,0.0
40,13.0,1,9,1.0,1272.0,1325.0,4000.0,ordinal,0.0
41,13.0,2,9,1.0,1255.0,1321.0,4000.0,ordinal,0.0
42,13.0,3,9,3.0,1340.0,1389.0,4000.0,ordinal,0.0
43,13.0,4,9,1.0,1281.0,1346.0,4000.0,ordinal,0.0
44,13.0,5,9,4.0,1333.0,1456.0,4000.0,ordinal,0.0
45,13.0,1,10,1.0,1999.0,2079.0,4000.0,ordinal,0.0
46,13.0,2,10,1.0,2001.0,2043.0,4000.0,ordinal,0.0
47,13.0,3,10,3.0,1994.0,2114.0,4000.0,ordinal,0.0
48,13.0,4,10,1.0,2043.0,2045.0,4000.0,ordinal,0.0
49,13.0,5,10,5.0,1999.0,2185.0,4000.0,ordinal,0.0
