,sha256,article_number,filename,generator_uuid,generator_name,quiz_task_uuid,topic_name,case_number,offsets,arg_T1.Q1,arg_T1.Q2,arg_T1.Q3
293,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,1712,"""1712SSSArticle12.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,e051c1cb-8bc0-453c-b29b-37b3e7629736,Arguments,1,"[[1035, 1085, ""a new study in the New England Journal of Medicine""], [1138, 1255, ""found doctors’ prescribing habits — whether they give out opioids at a higher rate versus a lower rate — matter a lot""], [1745, 2120, ""This was a clever study design, since the major difference between the groups was how the doctors prescribed opioids, which allowed the researchers to figure out whether the prescribing patterns influenced patients’ long-term use of painkillers. (In the study, “long-term use” was described as six or more months of daily opioids in the 12-month period following the ER visit""], [2124, 2385, ""It turns out the doctors’ actions mattered hugely. The patients who saw the heavy opioid prescribers were three times more likely to receive a prescription for opioids compared with the patients who saw the more judicious opioid prescribers at the same hospital""], [2637, 2826, ""If our results represent a causal relationship, for every 48 patients prescribed a new opioid in the emergency department who might not otherwise use opioids, 1 will become a long-term user""], [2853, 3264, ""What’s more, the patients who, by chance, saw a doctor who more frequently prescribed the drugs were 30 percent more likely to become long-term users of painkillers. So the higher the chances of getting opioids at a single doctor visit, the higher the risk of becoming a regular user. These patients also had higher rates of opioid-related health complications like falls, fractures, constipation, and overdoses""], [3267, 3614, ""In a separate analysis, the researchers looked at doctors who gave out high doses versus low doses of painkillers when they prescribe, and found the same effect: 30 percent higher use when patients saw higher dose prescribers, though the researchers also acknowledged this long-term use required prescriptions from other doctors after the ER visit""], [4119, 4488, ""The research highlights the need to better educate doctors on how to safely prescribe these drugs, said lead  study author Michael  Barnett, an assistant professor of health policy and management at Harvard. There’s very little guidance in training and in medical practice on how much opioids to prescribe — which is why the profession is now galvanizing to change that""], [4569, 5000, ""But other researchers have found that in terms of sheer volume, family practice and internal medicine doctors, as well as nurse practitioners and physician assistants, prescribed the most opioids. ER doctors aren’t the heaviest opioid prescribers, as you can see in this chart of prescriptions per doctor. So the researchers can't say how the trend they found might be different for younger patients or those who see non-ER doctors""]]",1.0,5.0,6.0
810,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,100000,"""healtharticle1.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,2ba1d9d4-040b-412d-a946-30d05b5e4d68,Arguments,1,"[[114, 543, ""The amount a teenager sleeps is associated with how likely they are to engage in risky and suicidal behavior, a new study said.\n\n\""Fewer hours of sleep on an average school night [is] associated with increased odds of all selected unsafe behaviors,\"" the authors wrote, including risk-taking while driving, such as drunken driving, potentially unsafe sexual activity, aggressive behavior and use of alcohol, tobacco and other drugs""], [546, 706, ""Participants' sleep duration was categorized as eight hours or more, seven hours, six hours or less than six hours and then measured against high-risk behaviors""], [771, 1171, ""The team found the strongest associations in relation to mood and self-harm. Teens who slept for less than six hours per night were three times more likely to report considering suicide, planning a suicide attempt or attempting suicide, compared with teens who slept eight hours or more. They were also four times more likely to have reported a suicide attempt that resulted in them needing treatment""], [2983, 3174, ""Gruber advises parents to stay on top of their child's sleep schedule, as teenagers are not always able to manage their own sleep and may not know when is the best time to turn out the lights""]]",1.0,5.0,7.0
865,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,100001,"""politicalarticle3.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,02e6452c-0400-4d34-870c-8576a351e4fc,Arguments,1,"[[834, 1065, ""Abbott likened this year's U.S. Senate race in Texas to his own campaign four years ago against Democrat Wendy Davis, who he noted also gained national attention before losing by roughly 20 percentage points in the general election""]]",3.0,5.0,7.0
866,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,100001,"""politicalarticle3.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,4b0417b6-f2f0-481e-81ac-fcc71ec124bf,Arguments,2,"[[1068, 1321, ""O'Rourke has gained significant traction as he attempts to defeat Cruz in a traditionally Republican state. The Democrat has garnered national attention for his speeches and for his fundraising hauls, while the national GOP has mobilized to support Cruz""]]",1.0,3.0,6.0
901,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,100002,"""politicalarticle2.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,c8ee67a5-2f28-43f5-8cc3-7314ac9565c8,Arguments,3,"[[2108, 2372, ""Flake would have a difficult task gaining any traction in a Republican primary against Trump. Republican midterm primary voters showed their loyalty to the president by punishing some candidates who bucked him and boosting others who tied themselves closely to him""]]",2.0,5.0,6.0
900,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,100002,"""politicalarticle2.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,849fd0a3-80fb-4bca-8be7-a5da3c0e9b6e,Arguments,2,"[[1667, 2105, ""The senator has tried to build a brand as a conservative with a conscience during Trump's chaotic first term, and cast himself as a potential alternative. Flake has slammed the president's attacks on the press and his immigration and tariff policies. While he has voted against Trump's priorities more than most of his GOP colleagues, he remains a conservative, voting with his party on its tax plan and an Affordable Care Act repeal bill""], [2375, 2635, ""Flake's stances have angered many Trump supporters, and the president himself supported a primary challenge against the senator before he announced his retirement. Last year, Trump called Flake \""toxic\"" and \""WEAK on borders, crime and a non-factor in the Senate""]]",1.0,6.0,7.0
902,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,100002,"""politicalarticle2.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,f1e4ae8f-ce51-4efe-b479-f255926088d5,Arguments,1,"[[385, 579, ""Flake is coming off a dramatic moment Friday, when he made a deal with Democrats to call for an FBI investigation into sexual misconduct accusations against Supreme Court nominee Brett Kavanaugh""], [2831, 3101, ""Flake was at the center of a dramatic Senate moment on Friday. In the morning, he announced he would support Kavanaugh, only hours after the judge and his sexual assault accuser, Christine Blasey Ford, appeared before the Senate Judiciary Committee in dramatic testimony""]]",1.0,5.0,6.0
1025,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,100005,"""brain_science.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,9e1ea29f-59e7-40f1-b688-51418a14bc64,Arguments,1,"[[230, 300, ""We all know liberals and conservatives are different, broadly speaking""], [522, 620, ""These two political classes are so dissimilar that people like to joke they are “wired differently""], [2373, 3095, ""how this might extend to politics. Progressivism, the pursuit of progress, is, by definition, the pursuit of change, of new things. So, we might expect to see progressive ideology in people with more active dopamine circuits. And that’s just what we do find. Researchers from the University of California discovered that people who inherit particularly active dopamine receptor genes are more likely to subscribe to a liberal ideology. (They also tend to get bored easily and seek novelty, and can be impulsive, exploratory, excitable, quick-tempered and extravagant.) It’s no surprise that so many actors, artists, academics and writers tend to be liberal: Dopamine may be driving both their creativity and their politics""], [3097, 3310, ""Similarly, people with lower levels of dopamine and higher levels of the “Here & Now” brain chemicals are more likely to take their enjoyment from the appreciation of things they already have. They value tradition""], [3503, 3620, ""genes that code for a less active dopamine system have been linked to people who identify as conservative politically""], [3846, 3960, ""This chemical difference can also help explain why liberals tend to be more politically engaged than conservatives""]]",1.0,6.0,6.0
1026,01a5a4a393ab63d644e26ee786db6ee20656a25b530832a7e0d6bcf9b8fa48b8,100005,"""brain_science.txt""",feb3f398-7dc3-45a0-a28f-2837eda49a78,2019_04_16 URAP Argument Relevance,f6addebd-18a2-471c-b83c-c87c93d021e7,Arguments,2,"[[623, 871, ""But it turns out that might literally be true. Recent brain science suggests there are measurable differences in how liberal and conservative brains process information—distinctions that could have significant impact on what happens on Election Day""], [3962, 4223, ""A 2017 study conducted by the Public Religion Research Institute found that liberals were more likely than conservatives to express political opinions on social media, contact elected officials, donate money to a political campaign, and attend a political rally""], [4349, 5057, ""But even though under ordinary circumstances liberals are more engaged in the political process, liberals don’t always have the enthusiasm edge. Why? Because conservative brains, chemically inclined toward preserving the here and now, are more sensitive to threats that might undermine their current way of life. When a group of volunteers were divided by political affiliation, researchers found that, compared to liberals, conservatives had a stronger physiological reaction to frightening images, such as a spider crawling on a man’s face. Also, when presented with a selection of positive and negative images, conservatives spent more time gazing at the negative images—pictures that represented a threat""], [5059, 5704, ""This neuroscience suggests that the current confrontational political climate may be helping the conservative cause. News articles that describe public harassment by activists, for example, trigger threat circuits in the brain and can turn the ordinarily complacent conservative into an enthusiastic partisan. Perhaps conservative leaders know this, which is why they frequently emphasize threats. (See the GOP midterm campaign ads accusing Democrats of encouraging “mob rule.”) In response, liberal leaders might reduce conservatives’ motivation to vote by playing down confrontation, and instead emphasizing the commonality all Americans share""], [5749, 5820, ""neuroscientists study large groups of people and report on the averages""], [5949, 5950, "" ""]]",1.0,4.0,6.0
228,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,1712,"""1712SSSArticle12.txt""",80cce3ba-fdab-4843-a929-84bd7f7f748d,2019_04_16 URAP Quoted Source,7015008c-0f64-47e1-89db-be84a0a53d36,Quoted Sources,3,"[[4119, 4325, ""The research highlights the need to better educate doctors on how to safely prescribe these drugs, said lead  study author Michael  Barnett, an assistant professor of health policy and management at Harvard""], [5136, 5382, ""Barnett said the message is clear: “Patients should ask their physicians, ‘What are the side effects of me taking this opioid and do you think my pain could be treated effectively [another way], because I know how dangerous these medicines can be""]]",0.0,0.0,0.0
