,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0,article_num,article_sha256,quiz_task_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,Probability,2,,ordinal,1,0.0,Inappropriate confidence,59,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6fbb26fe-b954-46df-998e-d104237a4007,ordinal,1,0.9543918083934404,0.9543918083934404,[],nan,nan,0.9543918083934404,13,5,nan,To what extent does the confidence seem justified?,Completely justified,True,0.0,Probability
1,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,136,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.8082213927893762,0.8082213927893762,[],nan,nan,0.8082213927893762,12,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.4041106963946881,Probability
2,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,91,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.7882545281188738,0.7882545281188738,[],nan,nan,0.7882545281188738,11,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.3941272640594369,Probability
3,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,129,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.6866879778291937,0.6866879778291937,[],nan,nan,0.6866879778291937,12,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.34334398891459683,Probability
4,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,84,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.6813488190905544,0.6813488190905544,[],nan,nan,0.6813488190905544,13,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.3406744095452772,Probability
5,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,41,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.8269227161988467,0.8269227161988467,[],nan,nan,0.8269227161988467,12,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.41346135809942336,Probability
6,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,75,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.5859463646430214,0.5859463646430214,[],nan,nan,0.5859463646430214,13,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.2929731823215107,Probability
7,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,68,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.7240816441744341,0.7240816441744341,[],nan,nan,0.7240816441744341,12,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.36204082208721705,Probability
8,Probability,2,,ordinal,3,-1.0,Inappropriate confidence,122,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,46b42a03-4765-4644-a834-b6755171bc54,ordinal,3,0.8088286353081535,0.8088286353081535,[],nan,nan,0.8088286353081535,12,5,nan,To what extent does the confidence seem justified?,Somewhat justified,True,-0.8088286353081535,Probability
9,Probability,2,,ordinal,3,-1.0,Inappropriate confidence,152,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,46b42a03-4765-4644-a834-b6755171bc54,ordinal,3,0.6937809990113853,0.6937809990113853,[],nan,nan,0.6937809990113853,12,5,nan,To what extent does the confidence seem justified?,Somewhat justified,True,-0.6937809990113853,Probability
