,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
182,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,b2276416-3ad7-43e4-a349-526a79c8315f,Reasoning Specialist V4,1,checklist,5,0.7692307692307693,0.23076923076923075,[],,,0.7692307692307693,0.5,0.5,13,5,,Does the passage contain... (check all that apply):,None of the above,True
201,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d122b184-d61a-4080-858a-bf995697d823,Reasoning Specialist V4,1,checklist,2,0.6363636363636364,0.3636363636363637,"[5935, 5936, 5937, 5938, 5939, 5940, 5941, 5942, 5943, 5944, 5945, 5946, 5947, 5948, 5949, 5950, 5951, 5952, 5953, 5954, 5955, 5956, 5957, 5958, 5959, 5960, 5961, 5962, 5963, 5964, 5965, 5966, 5967, 5968, 5969, 5970, 5971, 5972, 5973, 5974, 5975, 5976, 5977, 5978, 5979, 5980, 5981, 5982, 5983, 5984, 5985, 5986, 5987, 5988, 5989, 5990, 5991, 5992, 5993, 5994, 5995, 5996, 5997, 5998, 5999, 6000, 6001, 6002, 6003, 6004, 6005, 6006, 6007, 6008, 6009, 6010, 6011, 6012, 6013, 6014, 6015, 6016, 6017, 6018, 6019, 6020, 6021, 6022, 6023, 6024, 6025, 6026, 6027, 6028, 6029, 6030, 6031, 6032, 6033, 6034, 6035, 6036, 6037, 6038]",0.7913172402511179,0.5193086667722298,0.7138404383073771,0.5,0.5,11,5,"I’ve seen a lot of things that my educational system said was real, but turned out to be completely fake",Does the passage contain... (check all that apply):,An evaluative judgment (claims about something being good or bad),True
117,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,71bbab1a-a97e-48bb-b732-f418a7fcadf2,Reasoning Specialist V4,1,checklist,2,0.6666666666666666,0.33333333333333337,"[3727, 3728, 3729, 3730, 3731, 3732, 3733, 3734, 3735, 3736, 3737, 3738, 3739, 3740, 3741, 3742, 3743, 3744, 3745, 3746, 3747, 3748, 3749, 3750, 3751, 3752, 3753, 3754, 3755, 3756, 3757, 3758, 3759, 3760, 3761, 3762, 3763, 3764, 3765, 3766, 3767, 3768, 3769, 3770, 3771, 3772, 3773, 3774, 3775, 3776, 3777, 3778, 3779, 3780, 3781, 3782, 3783, 3784, 3785, 3786]",0.757238396577813,0.757238396577813,0.7119525316222398,0.5,0.5,12,5,should look toward the Mediterranean diet as a heart healthy,Does the passage contain... (check all that apply):,An evaluative judgment (claims about something being good or bad),True
148,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,9cec162a-1dc7-40b0-b022-a8c6cc5ce1f6,Reasoning Specialist V4,1,checklist,2,0.8333333333333334,0.16666666666666666,"[139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229]",0.8334265352272159,0.8334265352272159,0.8333799342802746,0.5,0.5,12,5,spending an extended period of time in space can have detrimental effects to the human body,Does the passage contain... (check all that apply):,An evaluative judgment (claims about something being good or bad),True
232,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,dc82baa7-5671-4798-bf9b-14ef7517dd31,Reasoning Specialist V4,1,checklist,2,1.0,0.0,"[7264, 7265, 7266, 7267, 7268, 7269, 7270, 7271, 7272, 7273, 7274, 7275, 7276, 7277, 7278, 7279, 7280, 7281, 7282, 7283, 7284, 7285, 7286, 7287, 7288, 7289, 7290, 7292, 7293, 7294, 7295, 7296, 7297, 7298, 7299, 7300, 7301, 7302, 7303, 7304, 7305, 7306, 7307, 7308, 7309, 7310, 7311, 7312, 7313, 7314, 7315, 7316, 7317, 7318, 7319, 7320, 7321, 7322, 7323, 7324, 7325, 7326, 7327, 7328, 7329, 7330, 7331, 7332, 7333, 7334, 7335, 7336, 7337, 7338, 7339, 7340, 7341, 7342, 7343, 7344, 7345, 7346, 7347, 7348, 7349, 7350, 7351, 7352, 7353, 7354, 7355, 7356, 7357, 7358, 7359, 7360, 7361, 7362, 7363, 7364, 7365, 7366, 7367, 7368, 7369, 7370, 7371, 7372, 7373, 7374, 7375, 7376, 7377, 7378, 7379, 7380, 7381, 7382, 7383, 7384, 7385, 7386, 7387, 7388, 7389, 7390, 7391, 7392, 7393, 7394, 7395]",0.6717044629620206,0.5839794660034012,0.8358522314810103,0.5,0.5,12,5,supposedly ridiculous group//was far closer to the method of the aforementioned giants than what we see today from science as a whole,Does the passage contain... (check all that apply):,An evaluative judgment (claims about something being good or bad),True
3,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,1,checklist,4,0.6666666666666666,0.33333333333333337,"[4843, 4844, 4845, 4846, 4847, 4848, 4849, 4850, 4851, 4852, 4853, 4854, 4855, 4856, 4857, 4858, 4859, 4860, 4861, 4862, 4863, 4864, 4865, 4866, 4867, 4868, 4869, 4870, 4871, 4872, 4873, 4874, 4875, 4876, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4889, 4890, 4891, 4892, 4893, 4894, 4895, 4896, 4897, 4898, 4899, 4900, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4913, 4914, 4915, 4916, 4917, 4918, 4919, 4920, 4921, 4922, 4923]",0.7778836886135563,0.6294137807380566,0.7222751776401115,0.5,0.5,12,5,"it’s not so much about mistrust of science, as it is about mistrusting scientists",Does the passage contain... (check all that apply):,An effective critique of a reasoning error made by someone else,True
256,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,e07de70e-2080-4219-a69c-e9061b378fce,Reasoning Specialist V4,1,checklist,2,0.75,0.25,"[3403, 3404, 3405, 3406, 3407, 3408, 3409, 3410, 3411, 3412, 3413, 3414, 3415, 3416, 3417, 3418, 3419, 3420, 3421, 3422, 3423, 3424, 3425, 3426, 3427, 3428, 3429, 3430, 3431, 3432, 3433, 3434, 3435, 3436, 3437, 3438, 3439, 3440, 3441, 3442, 3443, 3444, 3445, 3446, 3447, 3448, 3449, 3450, 3451, 3452, 3453, 3454, 3455, 3456, 3457, 3458, 3459, 3460, 3461, 3462, 3463, 3464, 3465, 3466, 3467, 3468, 3469, 3470, 3471, 3472, 3473, 3474, 3475, 3476, 3477]",0.7346514069922253,0.620065900575006,0.7423257034961126,0.5,0.5,12,5,"Mediterranean diet may help the heart, eating this way can still make sense",Does the passage contain... (check all that apply):,An evaluative judgment (claims about something being good or bad),True
94,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,68a76ed1-a5f3-4077-aa76-8d82478dbb93,Reasoning Specialist V4,9,ordinal,5,0.775883262474482,0.775883262474482,[],,,0.775883262474482,0.5,0.5,11,10,,"How difficult was this task for you, on the whole?",5: Middling difficulty,True
284,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,e07de70e-2080-4219-a69c-e9061b378fce,Reasoning Specialist V4,9,ordinal,4,0.8274602583543011,0.8274602583543011,[],,,0.8274602583543011,0.5,0.5,12,10,,"How difficult was this task for you, on the whole?",4,True
114,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,6f3f18d1-e9e7-4b60-a126-89899180213e,Reasoning Specialist V4,9,ordinal,3,0.7964126419494932,0.7964126419494932,[],,,0.7964126419494932,0.5,0.5,11,10,,"How difficult was this task for you, on the whole?",3,True
