,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
90,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,1,ordinal,1,0.6113992332437558,0.6113992332437558,"[2213, 2214, 2215, 2216, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 2240, 2241, 2242, 2243, 2244, 2245, 2246, 2247, 2248, 2249, 2250, 2251, 2252, 2253, 2254, 2255, 2256, 2257, 2258, 2259, 2260, 2261, 2262, 2263, 2264]",0.37448460592730404,0.37448460592730404,0.4929419195855299,0.5,0.5,11,3,None//the diets increased HDL levels significantly,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
83,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,1,ordinal,2,0.7300173073594665,0.7300173073594665,"[9532, 9533, 9534, 9535, 9536, 9537, 9538, 9539, 9540, 9541, 9542, 9543, 9544, 9545, 9546, 9547, 9548, 9549, 9550, 9551, 9552, 9553, 9554, 9555, 9556, 9557, 9558, 9559, 9560, 9561, 9562, 9563, 9564, 9565]",0.4250476905760715,0.3582628200304664,0.577532498967769,0.5,0.5,13,3,possibility that we might be wrong,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
74,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,1,ordinal,2,0.7385023069461496,0.7385023069461496,"[1673, 1674, 1675, 1676, 1677, 1678, 1679, 1680, 1681, 1682, 1683, 1684, 1685, 1686, 1694, 1695, 1696, 1697, 1698, 1699, 1700]",0.2990448840312332,0.2990448840312332,0.5187735954886914,0.5,0.5,13,3,Often pregnant//presume,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
67,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,1,ordinal,2,0.7684461238129617,0.7684461238129617,"[, 997, , 998, , 999, 1000, 1001, 1002, 1003]",0.40208375766981097,0.40208375766981097,0.5852649407413864,0.5,0.5,12,3,seem to,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
58,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,1,ordinal,3,0.9751647364541168,0.9751647364541168,"[450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473]",0.6967407658229983,0.6967407658229983,0.8359527511385576,0.5,0.5,13,3,began taking a few puffs,Does the text make any claims with great confidence? Highlight the relevant part.,No,True
121,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,1,ordinal,1,0.918905779905134,0.918905779905134,"[3086, 3087, 3088, 3089, 3090, 3091, 3092]",0.19620989512347387,0.19114091392695287,0.5575578375143039,0.5,0.5,12,3,We know,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
40,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,1,ordinal,1,0.6773079182363039,0.6773079182363039,"[1628, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 1641, 1642, 1643]",0.27054100637169,0.21923837487612552,0.473924462303997,0.5,0.5,12,3,actually changed,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
135,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,1,ordinal,1,0.62074047540105,0.62074047540105,"[261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276]",0.465216982941137,0.2887262153644351,0.5429787291710935,0.5,0.5,12,3,at least in part,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
144,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability Specialist V4,1,ordinal,1,0.8530339859564858,0.8530339859564858,"[6840, 6841, 6842, 6843, 6844, 6845, 6846, 6847, 6848, 6849, 6850, 6851, 6852, 6853, 6854, 6855]",0.4310119901976832,0.4310119901976832,0.6420229880770845,0.5,0.5,12,3,the same risk as,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
128,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,1,ordinal,2,0.6838582616694376,0.6838582616694376,"[565, 566, 567, 568, 569, 570, 571, 572, 573, 574, 575, 576, 577, 578]",0.3088368609590739,0.3088368609590739,0.4963475613142558,0.5,0.5,12,3,has apparently,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
