,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
0,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,001a283f-b173-4670-becf-3cb6d0486db3,9b4166e6-1e47-4e4b-8aa3-bd328a14ac5c,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,1,0,checklist,L,0.0,1.0,L,L,L,0.0,4,9,L,Highlight whatever parts of the quoted or paraphrased source are...(check & highlight all that apply),L,True
354,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d947ea00-67e6-4ba9-9ac2-765bc7ec2555,86364057-1277-47ec-9ad3-ad67c81254e9,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,M,0.4166666666666667,0.5833333333333333,M,M,M,0.20833333333333331,12,6,M,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",M,True
392,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f31ca0f4-7714-415e-ae0c-40dd78bd56bd,7de9b174-c088-44e1-be11-daee881ffae8,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,4,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
376,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e7d3fde3-4d2a-41fe-bb60-fb5d0d7914c4,2048ae9f-4004-4525-9af4-66bc51fd33a3,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,18e70007-9e19-4498-a794-b8d1baad12f6,checklist,6,0.8,0.2,[],,,0.8,10,6,,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",Can't tell,True
375,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e7d3fde3-4d2a-41fe-bb60-fb5d0d7914c4,2048ae9f-4004-4525-9af4-66bc51fd33a3,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,10,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
374,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e7d3fde3-4d2a-41fe-bb60-fb5d0d7914c4,2048ae9f-4004-4525-9af4-66bc51fd33a3,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.2,0.8,L,L,L,0.1,10,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
373,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e7d3fde3-4d2a-41fe-bb60-fb5d0d7914c4,2048ae9f-4004-4525-9af4-66bc51fd33a3,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,10,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
353,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d947ea00-67e6-4ba9-9ac2-765bc7ec2555,86364057-1277-47ec-9ad3-ad67c81254e9,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.16666666666666666,0.8333333333333334,L,L,L,0.08333333333333333,12,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
372,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e7d3fde3-4d2a-41fe-bb60-fb5d0d7914c4,2048ae9f-4004-4525-9af4-66bc51fd33a3,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,10,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
131,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5ed1b8b8-cdb1-4fe9-8180-5bad41b7ce1e,f0777498-67bd-499c-b6c8-d0ce3f4092c2,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,11,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
355,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d947ea00-67e6-4ba9-9ac2-765bc7ec2555,86364057-1277-47ec-9ad3-ad67c81254e9,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,12,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
132,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5ed1b8b8-cdb1-4fe9-8180-5bad41b7ce1e,f0777498-67bd-499c-b6c8-d0ce3f4092c2,Source relevance,db4839b972de024425cd9cefd48cef529dc437c140c5df7a03a6401bd0853135,3,0,checklist,L,0.0,1.0,L,L,L,0.0,11,6,L,"Using the highlight options below, indicate how the quotes/paraphrases were gathered by the reporter:",L,True
