schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1,T1.Q2,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q3.A6,T1.Q3.A7,T1.Q3.A8,T1.Q3.A9,T1.Q3.A10,T1.Q3.A11,T1.Q4.A1,T1.Q4.A2,T1.Q4.A3,T1.Q4.A4,T1.Q4.A5,T1.Q5,T1.Q6,T1.Q7
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,91db25cf-af96-4653-9cd0-09953983d3c4,https://pe.goodlylabs.org/project/NYU_Overall/task/2516,5,5,NYU_Articles/Day 3/DoctorTellsCNNTrump’sWalter.txt,100039,DoctorTellsCNNTrump’sWalter.txt,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,922f5136-2c36-47e9-9ae1-861b6d698257,782cf148-ffac-43f1-99aa-27a9d64b5212,2019-11-19 00:05:46.134330,2019-11-19 00:10:45.218822,299.084492,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q6, T1.Q7",Slightly credible,Very biased,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,"Yes, but with a lot of exaggeration/clickbaitiness",Neither Agree nor Disagree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,91db25cf-af96-4653-9cd0-09953983d3c4,https://pe.goodlylabs.org/project/NYU_Overall/task/2516,5,5,NYU_Articles/Day 3/DoctorTellsCNNTrump’sWalter.txt,100039,DoctorTellsCNNTrump’sWalter.txt,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,fcdeb9b5-3afb-47c1-a167-ba697c69f549,ba9277ba-57bf-48b8-9796-0e765c4d484d,2019-11-18 23:51:36.686605,2019-11-19 00:01:48.940920,612.254315,"T1.Q1, T1.Q2, T1.Q3, T1.Q6, T1.Q7",Somewhat credible,Mildly biased,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,The title has very little to do with the text,Somewhat Disagree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,91db25cf-af96-4653-9cd0-09953983d3c4,https://pe.goodlylabs.org/project/NYU_Overall/task/2516,5,5,NYU_Articles/Day 3/DoctorTellsCNNTrump’sWalter.txt,100039,DoctorTellsCNNTrump’sWalter.txt,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,5fa2f551-b93c-44ef-a2c4-0edcfbe97827,bd786026-bad5-4fa8-9a3a-38ca03a16412,2019-11-18 22:58:43.236252,2019-11-18 22:58:43.307636,0.071384,"T1.Q1, T1.Q2, T1.Q3, T1.Q6, T1.Q7",Not at all credible,Very biased,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,"Yes, without exaggeration",Somewhat Disagree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,91db25cf-af96-4653-9cd0-09953983d3c4,https://pe.goodlylabs.org/project/NYU_Overall/task/2516,5,5,NYU_Articles/Day 3/DoctorTellsCNNTrump’sWalter.txt,100039,DoctorTellsCNNTrump’sWalter.txt,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,4f2786b5-3197-4d37-8a2e-aa61b61b536e,bd786026-bad5-4fa8-9a3a-38ca03a16412,2019-11-18 22:51:00.148868,2019-11-18 22:58:43.238335,463.089467,"T1.Q1, T1.Q2, T1.Q3, T1.Q6, T1.Q7",Not at all credible,Very biased,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,"Yes, without exaggeration",Somewhat Disagree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,91db25cf-af96-4653-9cd0-09953983d3c4,https://pe.goodlylabs.org/project/NYU_Overall/task/2516,5,5,NYU_Articles/Day 3/DoctorTellsCNNTrump’sWalter.txt,100039,DoctorTellsCNNTrump’sWalter.txt,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,50d5e7a9-7ec4-4430-878f-9e6c0b04e58f,7bf24adb-091e-48c8-8133-fea34936c5ca,2019-11-18 22:47:24.438974,2019-11-18 22:58:35.381782,670.942808,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q6, T1.Q7",Fairly credible,Mildly biased,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,"Yes, but with some exaggeration/clickbaitiness",Neither Agree nor Disagree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,6375834d-682b-489b-8000-b6c6e60c45f9,https://pe.goodlylabs.org/project/NYU_Overall/task/2517,5,5,NYU_Articles/Day 3/FamilyFacingJailforLiving.txt,100040,FamilyFacingJailforLiving.txt,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,5d251eed-d4eb-452b-9e59-fd7bc0194db3,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-19 22:50:03.004556,2019-11-19 22:51:28.533202,85.528646,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q6, T1.Q7",Somewhat credible,Mildly biased,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,"Yes, without exaggeration",Neither Agree nor Disagree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,6375834d-682b-489b-8000-b6c6e60c45f9,https://pe.goodlylabs.org/project/NYU_Overall/task/2517,5,5,NYU_Articles/Day 3/FamilyFacingJailforLiving.txt,100040,FamilyFacingJailforLiving.txt,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,cb15f54b-5b0b-4d58-9413-3f3f3c2a806d,ba9277ba-57bf-48b8-9796-0e765c4d484d,2019-11-18 23:51:36.800970,2019-11-19 00:21:44.165208,1807.364238,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q6, T1.Q7",Fairly credible,Not at all biased,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,"Yes, without exaggeration",Somewhat Agree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,6375834d-682b-489b-8000-b6c6e60c45f9,https://pe.goodlylabs.org/project/NYU_Overall/task/2517,5,5,NYU_Articles/Day 3/FamilyFacingJailforLiving.txt,100040,FamilyFacingJailforLiving.txt,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,072b8737-d371-46c6-bb4d-69451c0923b1,782cf148-ffac-43f1-99aa-27a9d64b5212,2019-11-19 00:05:46.295902,2019-11-19 00:17:48.240517,721.944615,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q6, T1.Q7",Somewhat credible,Very biased,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,"Yes, but with some exaggeration/clickbaitiness",Somewhat Agree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,6375834d-682b-489b-8000-b6c6e60c45f9,https://pe.goodlylabs.org/project/NYU_Overall/task/2517,5,5,NYU_Articles/Day 3/FamilyFacingJailforLiving.txt,100040,FamilyFacingJailforLiving.txt,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,a0da7d79-d15a-40d3-b178-6c3d4fafe4b0,7bf24adb-091e-48c8-8133-fea34936c5ca,2019-11-18 22:47:24.540193,2019-11-18 23:08:13.135088,1248.594895,"T1.Q1, T1.Q2, T1.Q3, T1.Q6, T1.Q7",Somewhat credible,Mildly biased,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes, without exaggeration",Somewhat Agree
NYU_Overall,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,6375834d-682b-489b-8000-b6c6e60c45f9,https://pe.goodlylabs.org/project/NYU_Overall/task/2517,5,5,NYU_Articles/Day 3/FamilyFacingJailforLiving.txt,100040,FamilyFacingJailforLiving.txt,ec47eb7633cadab64fdca9e163f61b889cb53dcb7c68eeac286b8167155268ed,c9828b6f-1ae5-4735-9d30-194dcae3b13d,bd786026-bad5-4fa8-9a3a-38ca03a16412,2019-11-18 22:51:00.253770,2019-11-18 23:02:26.779238,686.525468,"T1.Q1, T1.Q2, T1.Q3, T1.Q6, T1.Q7",Slightly credible,Very biased,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"Yes, but with some exaggeration/clickbaitiness",Somewhat Disagree
