schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q2.A1,T1.Q2.A2,T1.Q2.A3,T1.Q2.A4,T1.Q2.A5,T1.Q2.A6,T1.Q2.A7,T1.Q2.A8,T1.Q2.A9,T1.Q3,T1.Q4,T1.Q5,T1.Q6,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13,T1.Q14
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0ed20626-62af-4289-a986-eeef66272a33,9edd2824-48d3-49db-97ae-9713b37592d3,2019-09-21 00:31:12.498596,2019-09-21 00:54:39.788108,1407.289512,"T1.Q1, T1.Q2, T1.Q4, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,1,0,1,0,0,0,0,0,,Slightly representative,,,patients who want the opiates will find a doctor who will give it to them.,Somewhat less likely,Yes,Very Unlikely,Somewhat Likely,"Yes, implicitly",7,8
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,86cdfd7e-aa92-42ea-b6d1-78fbeba028dd,aa6922da-994c-4d34-aa93-ae9abc41d8f7,2019-09-21 00:30:32.882090,2019-09-21 00:54:43.243037,1450.360947,"T1.Q1, T1.Q2, T1.Q4, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,1,0,1,0,0,0,0,0,,Slightly representative,,,patients who want more opiates will request more,Somewhat less likely,Yes,Very Unlikely,Somewhat Likely,"Yes, implicitly",7,9
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,b828dc81-5e6a-4521-bbaa-5f66a15e5993,ad9e9ff6-b175-4aa0-a5f9-6d6df546a0da,2019-09-21 00:30:00.478246,2019-09-21 00:54:45.161626,1484.68338,"T1.Q1, T1.Q2, T1.Q4, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,1,0,0,0,0,0,0,0,,Slightly representative,,,Doctors of patients who eventually suffer from opioids work in ERs specifically for pain relief.,Equally likely,Yes,Very Unlikely,Somewhat Likely,"Yes, explicitly",5: Middling difficulty,7
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5aae7c73-dfb4-4f4c-a06b-553d59a8e974,50b97722-8671-4131-8a54-409491b48a1e,2019-09-21 00:29:30.502353,2019-09-21 00:54:51.422041,1520.919688,"T1.Q1, T1.Q2, T1.Q4, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,1,0,1,0,0,0,0,0,,Slightly representative,,,Patients who want more opiates will request more.,Somewhat less likely,Yes,Very Unlikely,Extremely Likely,"Yes, implicitly",7,7
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ad7ac0cf-e5e4-466b-9c92-865b5ec5e0ad,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-20 21:37:52.020104,2019-09-21 00:55:57.740229,11885.720125,"T1.Q1, T1.Q2, T1.Q4, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,1,0,1,0,0,0,0,0,,Slightly representative,,,Patients who want more opiates will request more,Somewhat less likely,Yes,Very Unlikely,Somewhat Likely,"Yes, implicitly",2,9
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,9b6f3379-46a0-42a9-b181-f067b1f0de46,59deb714-60fb-4368-ac51-101d628951ef,2019-09-21 00:30:03.528223,2019-09-21 00:57:37.500317,1653.972094,"T1.Q1, T1.Q2, T1.Q4, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,1,0,1,0,0,0,0,0,,Slightly representative,,,Patients who want more opiates will request more.,Somewhat less likely,Yes,Somewhat Likely,Somewhat Likely,"Yes, explicitly",4,7
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,01c8cf56-e445-44a4-b899-d23293a40137,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-09-24 16:54:16.366837,2019-09-24 17:00:42.308995,385.942158,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",0,1,1,0,0,0,0,1,0,0,0,0,,Slightly representative,Questionably appropriate control,Can't tell; not enough info,"""A lot"" of opioids can be interpreted in different ways",Much less likely,Yes,Neither Likely nor Unlikely,Not Sure,I can't tell,7,3
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,8a507059-5c5a-407b-9782-9359b6e91342,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-09-25 19:22:34.096782,2019-09-25 19:30:55.202152,501.10537,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,0,0,1,1,0,0,1,0,0,0,0,,Fairly representative,Appropriate control,No,,Somewhat less likely,Yes,Somewhat Unlikely,Somewhat Unlikely,"No, not at all",5: Middling difficulty,7
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,dfc95db8-c820-401c-bd67-28edc1024156,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-09-26 00:28:01.121792,2019-09-26 00:49:37.581044,1296.459252,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",1,1,0,0,0,0,0,1,1,0,0,0,,Slightly representative,No control,,"Some people are more susceptible to addiction (opioids, pain killers) than others, regardless of doctor. Those more addicted might tend to go to a doctor that gives out more opioids.",Somewhat less likely,Maybe,Neither Likely nor Unlikely,Not Sure,I can't tell,5: Middling difficulty,6
EvidenceSpecialist_2019_08_04,c0214f290c8f381a5f02b9fcb221ff897c903c4646af9fa73577f092c303926f,1e6165d5-1d0a-4646-bb0c-9ceea28d6378,https://pe.goodlylabs.org/project/BETA_Evidence/task/2191,19,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,022bae38-109b-4399-b8d3-b2101a10154b,12d9718f-030a-487e-872c-46372f945e17,2019-09-26 15:56:14.964201,2019-09-26 16:03:36.258805,441.294604,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q7, T1.Q8, T1.Q9, T1.Q12, T1.Q13, T1.Q14",1,0,0,0,0,0,0,1,0,0,0,0,,Somewhat representative,No control,,,Equally likely,No,,,I can't tell,5: Middling difficulty,6
