,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
0,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,1,69f3fb88-edd7-4c01-bd2c-b165743c682e,ordinal,3,0.9781394858317644,0.9781394858317644,[],,,0.9781394858317644,4,3,,Does the text make any claims with great confidence? Highlight the relevant part.,No,True
13,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,538be16d-6f08-44ce-bf72-36583c4e528f,99182ea4-a87a-4339-b3ac-bc29f260ab22,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,14,9ee3d72c-5c95-40a6-9663-afcd156bcdc1,ordinal,8,0.8864698968789162,0.8864698968789162,[],,,0.8864698968789162,4,10,,"How confident are you about your answers, on the whole?",8,True
19,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,cfecc271-3fc7-4fde-be29-ae3c743c2826,9f78d683-97cf-4a2b-9fe4-7c7e85039cca,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,13,2d6f751a-4a98-43b7-a074-38956aa326bd,ordinal,4,0.9444869106665612,0.9444869106665612,[],,,0.9444869106665612,4,10,,"How difficult was this task for you, on the whole?",4,True
5,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,13,2d6f751a-4a98-43b7-a074-38956aa326bd,ordinal,4,0.923998453277475,0.923998453277475,[],,,0.923998453277475,4,10,,"How difficult was this task for you, on the whole?",4,True
12,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,538be16d-6f08-44ce-bf72-36583c4e528f,99182ea4-a87a-4339-b3ac-bc29f260ab22,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,13,2d6f751a-4a98-43b7-a074-38956aa326bd,ordinal,4,0.923998453277475,0.923998453277475,[],,,0.923998453277475,4,10,,"How difficult was this task for you, on the whole?",4,True
18,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,cfecc271-3fc7-4fde-be29-ae3c743c2826,9f78d683-97cf-4a2b-9fe4-7c7e85039cca,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,11,4ddafbb5-c56e-470f-85e5-88fa5f09e311,ordinal,4,0.8552778762416621,0.8552778762416621,[],,,0.8552778762416621,4,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"No, not at all",True
4,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,11,e14ed590-965e-44dc-a2a0-dc3defa196ec,ordinal,3,0.8073549220576041,0.8073549220576041,[],,,0.8073549220576041,4,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
11,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,538be16d-6f08-44ce-bf72-36583c4e528f,99182ea4-a87a-4339-b3ac-bc29f260ab22,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,11,4ddafbb5-c56e-470f-85e5-88fa5f09e311,ordinal,4,0.8552778762416621,0.8552778762416621,[],,,0.8552778762416621,4,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"No, not at all",True
6,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,14,56e0c4d7-467d-4eb9-b459-206a80f8191e,ordinal,7,0.8864698968789162,0.8864698968789162,[],,,0.8864698968789162,4,10,,"How confident are you about your answers, on the whole?",7,True
3,100033,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,0f21a204-85a9-497a-89d5-3d65cfd95c75,f515fa73-0314-4e8a-b6cf-6642655c42d4,Probability Specialist V4,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,6,8ab7ae5b-336c-4c31-b76e-faa490dd9bf7,ordinal,1,1.0,1.0,[],,,1.0,4,3,,Are any numbers given?,No,True
