quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,namespace,topic_number,topic_name,question_number,question_text,answer_number,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,e9dd1186-f1e6-4f01-b8f4-14a68913b785,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,1,Highlight each of the following elements in the bold text to the left.,5,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",e0d965db-a8ab-43eb-95bb-4e01e8a71db2,e9dd1186-f1e6-4f01-b8f4-14a68913b785,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",1,4546,4553,experts,6672
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,e9dd1186-f1e6-4f01-b8f4-14a68913b785,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,1,Highlight each of the following elements in the bold text to the left.,5,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",e0d965db-a8ab-43eb-95bb-4e01e8a71db2,e9dd1186-f1e6-4f01-b8f4-14a68913b785,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",1,4731,4738,experts,6672
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,3ee38bad-37e8-4b0a-b074-8cfcbe6b5d9d,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,2,"Using the highlight options below, distinguish which portions of the bolded text to the left are direct quotes, which are paraphrases, and which of those were spoken or in writing.",5,A paraphrase of words apparently spoken to a reporter,6b6f4a4d-bdbf-42e7-892f-e9d3db2b26fd,3ee38bad-37e8-4b0a-b074-8cfcbe6b5d9d,A paraphrase of words apparently spoken to a reporter,1,4563,4729,"new findings did not necessarily point to the need to revisit the upper end of the guidelines. Cervical cancer progresses so slowly, with so many early-warning stages",6672
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,3ee38bad-37e8-4b0a-b074-8cfcbe6b5d9d,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,2,"Using the highlight options below, distinguish which portions of the bolded text to the left are direct quotes, which are paraphrases, and which of those were spoken or in writing.",5,A paraphrase of words apparently spoken to a reporter,6b6f4a4d-bdbf-42e7-892f-e9d3db2b26fd,3ee38bad-37e8-4b0a-b074-8cfcbe6b5d9d,A paraphrase of words apparently spoken to a reporter,1,4745,4872,that it is highly unlikely that a 65-year-old woman who had met guidelines’ requirements would subsequently develop the disease,6672
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,563e9373-ddf7-496d-add5-2168f574c7f4,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,3,How are the quoted sources' ideas important to the article or its author?,2,They provide important support to an important argument the author advances in the article.,d31dacee-3e7a-49c5-84d0-2885388cdf20,563e9373-ddf7-496d-add5-2168f574c7f4,They provide important support to an important argument the author advances in the article.,1,4229,4309,"Depending on circumstances, some women need to be screened only every five years",6672
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,16ec0f07-cbc7-4949-86f5-e2b36a00e7d5,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,1,Highlight each of the following elements in the bold text to the left.,5,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",e0d965db-a8ab-43eb-95bb-4e01e8a71db2,16ec0f07-cbc7-4949-86f5-e2b36a00e7d5,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",1,464,503,professor at the University of Michigan,2342
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,7fb93495-692d-418c-844e-b326f7fdcb38,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,1,Highlight each of the following elements in the bold text to the left.,6,Name of Organization the quoted person represents,65e3b2c9-7655-4d86-a568-16c4df65f122,7fb93495-692d-418c-844e-b326f7fdcb38,Name of Organization the quoted person represents,1,481,503,University of Michigan,2342
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,82c41c8a-5fde-4b2e-a6ed-7012ddab0fd7,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,1,Highlight each of the following elements in the bold text to the left.,2,First name of quoted or paraphrased person,f93c87f9-8973-46cd-afcd-2dab1b5e0a56,82c41c8a-5fde-4b2e-a6ed-7012ddab0fd7,First name of quoted or paraphrased person,1,445,452,Rachael,2342
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,0ec0ac7e-ec0f-443b-a7f6-b22d7ffcfa86,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,1,Highlight each of the following elements in the bold text to the left.,4,Last name,f29be72b-5103-47b5-b3ad-badd53240433,0ec0ac7e-ec0f-443b-a7f6-b22d7ffcfa86,Last name,1,453,460,Seidler,2342
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,86eb44da-3c2b-4d7f-a5fa-6c3698b578d1,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,2,"Using the highlight options below, distinguish which portions of the bolded text to the left are direct quotes, which are paraphrases, and which of those were spoken or in writing.",7,"A paraphrase of written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",d5460158-2be2-41ed-8edd-36ca651bc4e9,86eb44da-3c2b-4d7f-a5fa-6c3698b578d1,"A paraphrase of written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",1,505,641,"took MRI scans of over twenty astronauts before and after spaceflights of various lengths, and some of the changes observed are shocking",2342
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,792e9640-3285-459b-8948-1ad418861448,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,2,"Using the highlight options below, distinguish which portions of the bolded text to the left are direct quotes, which are paraphrases, and which of those were spoken or in writing.",3,"A direct quote of written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",f259d21c-1b38-4839-981e-0cf090ae7582,792e9640-3285-459b-8948-1ad418861448,"A direct quote of written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",1,1252,1380,"We found large regions of gray matter volume decreases, which could be related to redistribution of cerebrospinal fluid in space",2342
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,792e9640-3285-459b-8948-1ad418861448,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,2,"Using the highlight options below, distinguish which portions of the bolded text to the left are direct quotes, which are paraphrases, and which of those were spoken or in writing.",3,"A direct quote of written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",f259d21c-1b38-4839-981e-0cf090ae7582,792e9640-3285-459b-8948-1ad418861448,"A direct quote of written material that the source had previously written for public consumption (i.e. in a book, article, blog post, public social media post, etc.)",1,1433,1594,"Gravity is not available to pull fluids down in the body, resulting in so-called puffy face in space. This may result in a shift of brain position or compression",2342
1f8a5bc7-89b5-4e5e-99c8-880d73727b17,http://pe.goodlylabs.org/project/PreAlphaSources/task/1057,SSSPETest2,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,6d375ce0-70c3-440f-b887-1afcb9776f4c,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,SourceSpecialist2018_07_19,1,Source relevance,3,How are the quoted sources' ideas important to the article or its author?,1,They are the key idea/s the author is trying to advance with the article.,0c352dd8-129f-469d-b726-8cd061939d3b,6d375ce0-70c3-440f-b887-1afcb9776f4c,They are the key idea/s the author is trying to advance with the article.,1,304,420,new research suggests that microgravity can affect the human brain in ways that science is still struggling to grasp,2342
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,985a138b-dd9a-4a8f-bd5f-6b9e9a207f85,a5a393b4-b788-4c08-b838-08fd811bd138,SourceSpecialist2018_07_19,1,Source relevance,1,Highlight each of the following elements in the bold text to the left.,5,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",e0d965db-a8ab-43eb-95bb-4e01e8a71db2,985a138b-dd9a-4a8f-bd5f-6b9e9a207f85,"Description of person (i.e. ""Boston's favorite ice cream heiress"")",1,4779,4796,65-year-old woman,6672
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,54865471-f899-4079-a747-6e86ad0fb11f,a5a393b4-b788-4c08-b838-08fd811bd138,SourceSpecialist2018_07_19,1,Source relevance,2,"Using the highlight options below, distinguish which portions of the bolded text to the left are direct quotes, which are paraphrases, and which of those were spoken or in writing.",5,A paraphrase of words apparently spoken to a reporter,6b6f4a4d-bdbf-42e7-892f-e9d3db2b26fd,54865471-f899-4079-a747-6e86ad0fb11f,A paraphrase of words apparently spoken to a reporter,1,4559,4729,"the new findings did not necessarily point to the need to revisit the upper end of the guidelines. Cervical cancer progresses so slowly, with so many early-warning stages",6672
b943b06c-dedc-494e-9008-98392c671458,http://pe.goodlylabs.org/project/PreAlphaSources/task/1056,SSSPETest2,1738,1738SSSArticle.txt,9b9030e7254ff2c88d4b22763f3893d83d65944a9d64e6936f5513f3bbefe242,54865471-f899-4079-a747-6e86ad0fb11f,a5a393b4-b788-4c08-b838-08fd811bd138,SourceSpecialist2018_07_19,1,Source relevance,2,"Using the highlight options below, distinguish which portions of the bolded text to the left are direct quotes, which are paraphrases, and which of those were spoken or in writing.",5,A paraphrase of words apparently spoken to a reporter,6b6f4a4d-bdbf-42e7-892f-e9d3db2b26fd,54865471-f899-4079-a747-6e86ad0fb11f,A paraphrase of words apparently spoken to a reporter,1,4745,4872,that it is highly unlikely that a 65-year-old woman who had met guidelines’ requirements would subsequently develop the disease,6672
