highlight_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,start_pos,end_pos,target_text,source_text_length
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,9425686e-aeb5-4aa6-8e82-ec8153fdf137,,Quoted Sources,1,1145,1313,"according to data compiled by SportVU client manager Matt Scott at FiveThirtyEight’s request, the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league",3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,9425686e-aeb5-4aa6-8e82-ec8153fdf137,,Quoted Sources,1,2670,2897,"San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking, perhaps forcing opposing players to pull the trigger a split-second sooner than they otherwise would",3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,b29c3f6e-8350-4f92-b885-23a798312b8e,,Fact-check,1,1630,1693,where players complained about struggling with depth perception,3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,73905e3f-0fd2-44d3-9b1a-90fecd1fa258,,Arguments,1,298,340,the club’s perennially outstanding defense,3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,73905e3f-0fd2-44d3-9b1a-90fecd1fa258,,Arguments,1,343,722,"No team over the past two decades has been better at getting stops than the Spurs, who not only stand as the NBA’s best defense this year, but have ranked among the top 10 in defensive efficiency in 17 of the past 20 seasons.

In particular, dating back to last season, the Spurs have been fantastic at taking away corner 3-pointers, arguably the most valuable shot in basketball",3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,73905e3f-0fd2-44d3-9b1a-90fecd1fa258,,Arguments,1,1239,1375,"the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league; this year, they’re third from the bottom with a similar rate",3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,73905e3f-0fd2-44d3-9b1a-90fecd1fa258,,Arguments,1,2630,3098,"Beyond that, there’s also the fact that San Antonio’s players are tied for the league lead in terms of how fast they move on defense, according to SportVU’s tracking, perhaps forcing opposing players to pull the trigger a split-second sooner than they otherwise would. Kawhi Leonard and Danny Green, the team’s two best wing defenders, have been impactful when contesting shots, holding shooters to a combined 5-of-24 this season when closing out on corner three-point",3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,73905e3f-0fd2-44d3-9b1a-90fecd1fa258,,Arguments,1,2411,2626,"Still, that wouldn’t explain this season, given that the Rockets, Pelicans and Mavericks are all hitting corner 3s at about league-average rates, while the Grizzlies rank third best in the NBA in the category so far",3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,a9c059af-7bcf-4ba0-993f-2c9327caad05,35275e4c-f4b3-4a06-8142-fa99c58e1a5e,2018-07-12 01:32:03.987027,2018-07-12 01:53:27.995448,1284.008421,45159aa3-4d84-499b-81b6-bc46edd17b5a,,Arguments,2,1831,2408,"But while the numbers may represent an aberration — there’s an intelligent argument to be made that 3-point defense is somewhat random — a couple of things could explain how San Antonio has avoided getting burned from the corners. Last season, for example, the Spurs played in a division where the majority of the teams were among the NBA’s worst at connecting on corner 3-point tries. That meant they got to play against Memphis (worst), New Orleans (third-worst) and Houston (ninth-worst) four times each, whereas the majority of clubs wouldn’t have had that same opportunity",3110
d12a652e-842d-432a-93ae-7f64467216ca,http://pe.goodlylabs.org/project/FormTriager1.2C2/task/1016,SSSPETest2,1740,1740SSSArticle (1).txt,f891c248f4e29411ce2fe22da45e79e68b21c612f5b1256276f91b63f01384f4,8ec4d1d2-0ec0-40a9-9152-8c82f2de1323,f9c04b64-a008-41c0-a832-a02b9975c57c,2018-07-12 01:31:30.923436,2018-07-12 01:56:05.989379,1475.065943,d8e14f06-4260-4382-9659-7e4e078e1b50,,Quoted Sources,1,1145,1313,"according to data compiled by SportVU client manager Matt Scott at FiveThirtyEight’s request, the Spurs contested 35 percent of corner 3’s, seventh-lowest in the league",3110
