,02.11.2019 18:35,Unnamed: 0,answer_uuid,article_batch_name,article_filename,article_number,article_sha256,article_text_length,case_number,end_pos,ericwimsatt,ericwimsatt-ThinkPad-T440s,extra,file:///home/ericwimsatt/.config/libreoffice/4;,highlight_count,namespace,start_pos,target_text,task_uuid,topic_name,tua_batch_final,tua_batch_name,tua_batch_uuid,tua_group_name,tua_group_uuid,tua_uuid
6,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,4.0,5802.0,,,{},,1.0,NYU_Form,5292.0,"Giuliani has acknowledged broadly asking Ukraine to investigate the Bidens and defended the move as appropriate. Although he is a private citizen, not a government employee, he has claimed he acted at the State Department\u2019s behest. The State Department has not commented.\n\n\u201cI did not do this on my own, I did it at the request of the State Department \u2014 I have a \u2018thank you\u2019 from them for doing a good job,\u201d Giuliani said Sunday on CBS\u2019 \u201cFace the Nation.\u201d He said Secretary of State Michael R. Pompeo \u201cwas aware",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,8debf58f-e84e-4051-881b-7aa9f969805a
7,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,371.0,,,{},,5.0,NYU_Form,167.0,"Ukraine\u2019s former top law enforcement official says he repeatedly rebuffed demands by President Trump\u2019s personal lawyer to investigate Joe Biden and his son, insisting he had seen no evidence of wrongdoing",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
8,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,720.0,,,{},,5.0,NYU_Form,506.0,he would be happy to cooperate if the FBI or other U.S. authorities began their own investigation of the former vice president and his son Hunter but insisted they had not broken any Ukrainian laws to his knowledge,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
9,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,1158.0,,,{},,5.0,NYU_Form,786.0,"he had urged Giuliani to launch a U.S. inquiry and go to court if he had any evidence but not to use Ukraine to conduct a political vendetta that could affect the U.S. election.\n\n\u201cI said, \u2018Let\u2019s put this through prosecutors, not through presidents,\u2019 \u201d Lutsenko told The Times.\n\n\n\u201cI told him I could not start an investigation just for the interests of an American official",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
10,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,3075.0,,,{},,5.0,NYU_Form,2957.0,Lutsenko said he was eager to cooperate with Giuliani and Trump but did not have sufficient evidence to act on his own,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
11,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,6770.0,,,{},,5.0,NYU_Form,6588.0,"He was wondering why the case was closed,\u201d he said. \u201cI had to tell him how law enforcement functions here.\u201d\n\nHe said his hands were tied and he could not reopen the case just because",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
12,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,7.0,7236.0,,,{},,1.0,NYU_Form,6789.0,"Trump has suggested that one of Biden\u2019s misdeeds was to demand the firing of Lutsenko\u2019s predecessor, Viktor Shokin, to prevent him from investigating Hunter Biden.\n\nBut U.S. and European officials had demanded Shokin\u2019s ouster as part of a crackdown on widespread corruption in the former Soviet republic.\n\n\u201cThe thinking was Ukraine could do a lot more\u201d to fight corruption, David Cameron, the British prime minister at the time, said Sunday on CNN",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,0a6a6741-fac1-45fe-bd86-f790635e942b
0,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,1.0,2599.0,,,{},,1.0,NYU_Form,2305.0,"Yovanovitch had pushed Ukraine\u2019s government to more aggressively crack down on corruption. But the White House considered her insufficiently loyal to Trump, apparently because she resisted pressuring Ukraine on his priorities, and she became a target of conservative critics, including Giuliani",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,94431384-457d-4f51-a053-fcf560c43067
76,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,1.0,2599.0,,,{},,1.0,NYU_Form,2305.0,a  ,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Bias,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,94431384-457d-4f51-a053-fcf560c43067
77,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,1.0,2599.0,,,{},,1.0,NYU_Form,2305.0,D ,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Bias,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,94431384-457d-4f51-a053-fcf560c43067
