schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q2.A1,T1.Q2.A2,T1.Q2.A3,T1.Q2.A4,T1.Q2.A5,T1.Q2.A6,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q3.A6,T1.Q3.A7,T1.Q4,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q6.A9,T1.Q7,T1.Q8,T1.Q9,T1.Q10
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,6525f7cd-7a08-4576-84a9-5ca8d1c06b22,https://pe.goodlylabs.org/project/Demo3dhReas/task/1367,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,704a8234-5a27-484b-8cc6-ef8556b654a0,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-10-10 00:25:10.760294,2018-10-10 00:28:06.233914,175.47362,"T1.Q1, T1.Q2, T1.Q3, T1.Q6, T1.Q7, T1.Q9, T1.Q10",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,Somewhat,,8,Fun task! Yay!
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,6525f7cd-7a08-4576-84a9-5ca8d1c06b22,https://pe.goodlylabs.org/project/Demo3dhReas/task/1367,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a34d5a20-8c02-4af2-aa29-fc09c939e730,e44f5799-6915-45fd-874e-060f6afedcb9,2018-10-11 20:55:07.440808,2018-10-11 20:55:52.527007,45.086199,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,8,awkward that there was nothing wrong.  not sure if its me or the tua
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,6525f7cd-7a08-4576-84a9-5ca8d1c06b22,https://pe.goodlylabs.org/project/Demo3dhReas/task/1367,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5824b8b3-1eb5-4c69-9545-0ea595ba42b6,2abbe1a3-c9a7-41ab-9738-64ca86756d37,2018-10-14 21:29:13.508550,2018-10-14 21:32:40.575184,207.066634,"T1.Q1, T1.Q2, T1.Q3, T1.Q7, T1.Q9, T1.Q10",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,Very Slightly,,7,
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,6525f7cd-7a08-4576-84a9-5ca8d1c06b22,https://pe.goodlylabs.org/project/Demo3dhReas/task/1367,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e8396533-3a17-4a8f-bde6-a922f0996e44,789ee4ea-ea9b-4fa4-b25c-8fd978f82877,2018-10-15 17:14:13.258493,2018-10-15 17:24:44.899783,631.64129,"T1.Q1, T1.Q2, T1.Q9, T1.Q10",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,8,
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,686aba8e-a4ad-4276-864d-582ce9eb05fa,https://pe.goodlylabs.org/project/Demo3dhReas/task/1523,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,d7d90cba-6b27-43c1-95d9-639f0ece9728,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-11-03 00:37:43.442509,2018-11-03 00:50:37.495651,774.053142,"T1.Q1, T1.Q3, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,0,1,0,1,0,0,0,0,Very,"Speaking as if the speaker is obviously in the right, using normative language, without explaining why",8,
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,b0348267-f2fd-4065-adba-b2bd9cf484a9,https://pe.goodlylabs.org/project/Demo3dhReas/task/1524,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,c8be20f7-68e1-421d-97c8-ec988814f31d,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-11-03 00:37:43.567327,2018-11-03 00:51:12.425216,808.857889,"T1.Q1, T1.Q9, T1.Q10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,7,
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,e3e45e28-0b90-4c8a-aa75-db8f17333b86,https://pe.goodlylabs.org/project/Demo3dhReas/task/1525,Demo2,100000,healtharticle1.txt,ba27710859a59ea47ecc9f7223addd3ed9332a340cb6a21f820c86208c1445bf,20e25123-b2b6-420a-914f-a08404bf5455,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-11-03 00:50:38.208010,2018-11-03 00:52:10.694743,92.486733,"T1.Q1, T1.Q3, T1.Q9, T1.Q10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,,,5: 50-50 that I had it on any given item,
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,bba54b85-706d-461e-8b4e-8233fb43e732,https://pe.goodlylabs.org/project/Demo3dhReas/task/1526,Demo2,100003,politicalarticle4.txt,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,76cf7f27-c171-49bd-b848-d008b7e66464,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-11-03 00:51:12.645780,2018-11-03 00:54:29.158403,196.512623,"T1.Q1, T1.Q3, T1.Q6, T1.Q7, T1.Q9, T1.Q10",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,Very Slightly,,7,
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,bba54b85-706d-461e-8b4e-8233fb43e732,https://pe.goodlylabs.org/project/Demo3dhReas/task/1526,Demo2,100003,politicalarticle4.txt,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,a018db0b-e434-41f4-8721-a7325ac99e63,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:54:16.570076,2018-11-03 00:55:23.340488,66.770412,"T1.Q1, T1.Q3, T1.Q9, T1.Q10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,,,10: 100% certain about all my answers,
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,2439790b-4737-4221-9410-fae5ae72aa71,https://pe.goodlylabs.org/project/Demo3dhReas/task/1527,Demo2,100001,politicalarticle3.txt,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,35f3af6a-62b7-40f7-b88a-62338068c72f,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-11-03 00:52:10.955166,2018-11-03 00:56:45.635328,274.680162,"T1.Q1, T1.Q3, T1.Q6, T1.Q7, T1.Q9, T1.Q10",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,0,Somewhat,,7,
