schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,774b6b88-567a-49fe-a63e-a502f20b6419,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1462,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,100d2262-e41c-418d-9368-fa3a5bc93b1b,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:49:11.689014,2018-11-03 00:50:21.099946,69.410932,T1.Q1,It is an argument that is effectively and intentionally contradicted by the main argument/s of the article
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,b54212ef-47bb-4455-8705-3992e5a3151f,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1454,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,bc0d6e5a-bdd6-470e-b15b-edd0b9251192,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:43:27.465606,2018-11-03 00:44:39.309601,71.843995,T1.Q1,It is the main argument of the entire article
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,95f9e9a1-771e-4b66-ac26-88d22b81643c,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1458,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,a42bcb32-7016-4539-8ed0-5bcd6b0f2c82,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:45:18.266853,2018-11-03 00:47:45.256958,146.990105,T1.Q1,It is an argument that the author has only limited interest in supporting or refuting
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,f3a41cc2-1598-455b-8817-ad9dfb78ba0a,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1456,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,ddeabf02-16b0-477a-95ff-be8c042200ee,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:44:39.553351,2018-11-03 00:45:18.033670,38.480319,T1.Q1,It is the main argument of the entire article
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,429a2ea2-b686-4096-80ff-8e6df6a9bbea,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1459,Demo2,100001,politicalarticle3.txt,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,effc31fd-1025-4b05-8a2a-4d3b4159d5be,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:47:10.043376,2018-11-03 00:48:11.720962,61.677586,T1.Q1,It is an argument that the author has only limited interest in supporting or refuting
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,1c83e500-6720-43f3-9a63-495916a1072d,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1460,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,b529dc51-64c3-4d4a-b775-69467c0c1aae,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:47:45.489518,2018-11-03 00:49:11.437176,85.947658,T1.Q1,It is one of a few arguments the author wants the audience to agree with
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,e44e0dce-f689-4ca8-88e5-332074f56994,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1450,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,a9609d82-4cc6-45bf-b224-4096620b03e7,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:40:29.658971,2018-11-03 00:42:04.624559,94.965588,T1.Q1,It is one of a few arguments the author wants the audience to agree with
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,e44e0dce-f689-4ca8-88e5-332074f56994,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1450,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,995d1f28-d0fe-4f32-bd8b-20fe46de1b4b,03ac71da-8cfe-4503-8ada-1422a7227e45,2018-11-03 00:50:17.518804,2018-11-03 00:53:45.076928,207.558124,T1.Q1,It is an argument that the author has only limited interest in supporting or refuting
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,e44e0dce-f689-4ca8-88e5-332074f56994,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1450,Demo2,100002,politicalarticle2.txt,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,e2083577-218e-4176-939d-d25cde7f4e81,e0834165-64cc-41e5-994f-9be97a16ef93,2018-11-03 00:55:40.755401,2018-11-03 01:00:11.665707,270.910306,T1.Q1,It is one of a few arguments the author wants the audience to agree with
Pilot_ArgumentRelevance_2018_10_17,47b27e8c2e7489ef172533c4086749751761ab785f6fe1e9536228cd6df2d2ce,f8b7e728-7c83-44da-8f11-7ecedd2fc322,https://pe.goodlylabs.org/project/Demo3dhArgRel3/task/1455,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,21d5c8ed-d1b4-43d3-bcd6-735be935abbf,47f10cb0-4a56-4b77-ba40-5414b1332642,2018-11-03 00:43:57.853723,2018-11-03 00:45:00.008386,62.154663,T1.Q1,It is one of a few arguments the author wants the audience to agree with
