schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q6.A9,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,240a6131-bfa8-443b-8174-40ace50573eb,http://pe.goodlylabs.org/project/SSSPECaus2/task/793,SSSPETest1,174,174SSSArticle.txt,d7bbc095-6c8c-4338-9ee7-1cd0a3be1203,592dde9c-59d3-45b2-aaad-012ac8f07bdd,2018-03-21 07:19:15.350932,2018-03-21 07:34:01.219579,885.868647,,Somewhat credible,Yes,1,1,1,1,0,0,1,0,0,,Slightly representative,,,Mice's bodies are different to human bodies and hence see more poignant effects of cell repair. ,Somewhat more likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,240a6131-bfa8-443b-8174-40ace50573eb,http://pe.goodlylabs.org/project/SSSPECaus2/task/793,SSSPETest1,174,174SSSArticle.txt,d162b396-2590-413a-b397-ac2cc248f37d,a8e742ef-4299-4df8-9d4d-d2d1022942f3,2018-03-21 07:52:01.371417,2018-03-21 07:57:33.883626,332.512209,,Fairly credible,Yes,0,0,1,1,0,1,1,0,0,,,,,Treatment group has better genes and better body condition.,Somewhat less likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,240a6131-bfa8-443b-8174-40ace50573eb,http://pe.goodlylabs.org/project/SSSPECaus2/task/793,SSSPETest1,174,174SSSArticle.txt,347482c3-6c3b-4fc7-ab7f-49d84811d7f4,27be0002-1ecc-4522-820d-14a38cafdfc0,2018-03-21 07:39:41.857031,2018-03-21 08:05:34.942319,1553.085288,,Very credible,Yes,1,1,1,1,1,0,1,0,0,,Somewhat representative,There was an appropriate control condition,Can't tell; not enough info,Perhaps there were external stimuli on the treadmills that caused the change in the runners' heart cells,Much less likely,Very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,240a6131-bfa8-443b-8174-40ace50573eb,http://pe.goodlylabs.org/project/SSSPECaus2/task/793,SSSPETest1,174,174SSSArticle.txt,0be4354c-889b-49f9-bf21-d04b4677113f,7bb11c82-5a3b-4be4-90ec-1857fed5fc48,2018-03-21 07:53:13.350886,2018-03-21 08:20:27.956140,1634.605254,,Somewhat credible,Yes,1,0,1,0,1,0,1,0,0,,Slightly representative,"There was a control condition, but it was questionably appropriate",Can't tell; not enough info,"This claim may only hold true for mice, not people ",Somewhat less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,240a6131-bfa8-443b-8174-40ace50573eb,http://pe.goodlylabs.org/project/SSSPECaus2/task/793,SSSPETest1,174,174SSSArticle.txt,bc53088d-669a-482e-9234-c769fb944c48,235c604e-bc9c-4eea-b75c-20d7064ea751,2018-03-21 08:51:06.324361,2018-03-21 09:08:04.637806,1018.313445,,Somewhat credible,Yes,1,1,0,1,1,0,1,0,0,,Slightly representative,There was an appropriate control condition,No,The slight increases in proteins related to telomere length may be caused by a factor tied to physical activity but not directly linked.,Equally likely,Not very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,2381df5d-1599-4fef-ac63-63cb29c18b72,http://pe.goodlylabs.org/project/SSSPECaus2/task/790,SSSPETest3,1722,1722SSSArticle.txt,92883ed8-c2cf-41e2-a756-a8b999b8d285,52857e2e-b87b-489b-97d2-40e28053033c,2018-03-21 04:22:29.122801,2018-03-21 04:31:09.154137,520.031336,,Fairly credible,Yes,0,0,1,0,1,0,1,0,0,,Fairly representative,There was no control condition,Can't tell; not enough info,It's not due to cimate but just a natural reaction of the earh over time,Somewhat less likely,Very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,2381df5d-1599-4fef-ac63-63cb29c18b72,http://pe.goodlylabs.org/project/SSSPECaus2/task/790,SSSPETest3,1722,1722SSSArticle.txt,abf3d70e-fcf1-445c-9650-58809687164e,938c9661-7ad0-4a13-9f4b-6e67f2ecd6c0,2018-03-21 05:03:53.791547,2018-03-21 05:07:04.425046,190.633499,,Fairly credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,2381df5d-1599-4fef-ac63-63cb29c18b72,http://pe.goodlylabs.org/project/SSSPECaus2/task/790,SSSPETest3,1722,1722SSSArticle.txt,5f3a75c1-b131-4aaf-a535-098b622d30f6,9a32df74-4d7d-4e5f-8093-b38ce28bb43b,2018-03-21 05:34:19.844095,2018-03-21 05:36:57.278526,157.434431,,Somewhat credible,Yes,1,0,0,1,1,0,1,0,0,,Somewhat representative,There was no control condition,Can't tell; not enough info,Less wildlife in oceans leading to lower levels of dissolved oxygen.,Somewhat less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,2381df5d-1599-4fef-ac63-63cb29c18b72,http://pe.goodlylabs.org/project/SSSPECaus2/task/790,SSSPETest3,1722,1722SSSArticle.txt,bb239b00-71a5-485b-8cb8-e432183afb6c,b18b8534-c9ce-4bec-9670-9d3b5e7f73da,2018-03-21 05:39:02.503027,2018-03-21 06:00:57.260110,1314.757083,,Very credible,Yes,1,0,1,1,0,1,1,0,0,,Very representative (Also choose this if entire population is examined),,,i cant...,Much less likely,Very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,2381df5d-1599-4fef-ac63-63cb29c18b72,http://pe.goodlylabs.org/project/SSSPECaus2/task/790,SSSPETest3,1722,1722SSSArticle.txt,4814cb70-68a7-4e25-a79e-1f32ba9f89e6,2c80f962-3276-4ecb-afe0-cff059a2ec86,2018-03-21 06:26:58.584711,2018-03-21 06:38:51.293869,712.709158,,Very credible,Yes,1,0,1,1,0,1,1,1,0,"the study corroborates the predictions made; also, the regional analysis made gives context-specific evidence",Very representative (Also choose this if entire population is examined),,,both global warming and decrease in ocean oxygen are caused by the sun's distance,Much less likely,Very credible
