quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,namespace,topic_number,topic_name,question_number,question_text,answer_number,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,start_pos,end_pos,target_text,source_text_length
f8f3198e-5dcc-484e-8608-a5e863bf0ccc,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1151,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,fc726419-699e-49e4-8b7d-5495983716f4,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",2,"Title, role, or position of a quoted or paraphrased person",bf1dd93d-0b58-4a27-a55b-58a5fe487cbc,fc726419-699e-49e4-8b7d-5495983716f4,"Title, role, or position of a quoted or paraphrased person",1,4767,4782,lead researcher,6532
f8f3198e-5dcc-484e-8608-a5e863bf0ccc,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1151,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,54190277-1108-4576-8877-b62f935205db,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",3,First name of quoted or paraphrased person,cb41a996-22cd-4659-b5aa-ce13b6da2488,54190277-1108-4576-8877-b62f935205db,First name of quoted or paraphrased person,1,4784,4789,Subir,6532
f8f3198e-5dcc-484e-8608-a5e863bf0ccc,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1151,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,0fbfe2ce-440e-438e-9f22-b13702ab3512,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",5,Last name,87ec8c50-64c6-43ae-bf40-52afcbb1973e,0fbfe2ce-440e-438e-9f22-b13702ab3512,Last name,1,4790,4796,Sarkar,6532
f8f3198e-5dcc-484e-8608-a5e863bf0ccc,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1151,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,f1ada4a4-2158-43cc-8f4d-a66fcf584ff6,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",7,Name of Organization being quoted or paraphrased or being represented by quoted person,a78be65d-2046-483d-b117-07e834ff0c9d,f1ada4a4-2158-43cc-8f4d-a66fcf584ff6,Name of Organization being quoted or paraphrased or being represented by quoted person,1,4803,4827,the University of Oxford,6532
f8f3198e-5dcc-484e-8608-a5e863bf0ccc,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1151,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,4aca1f61-3743-4e95-83a3-d18cef9ee272,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,2,"Using the highlight options below, indicate which portions of the bolded text to the left are direct quotes and which are paraphrases.",1,A direct quote,6415f2ce-5d4e-4cb7-adde-054f77b12188,4aca1f61-3743-4e95-83a3-d18cef9ee272,A direct quote,1,4510,4755,"We analysed the latest catalogue of 740 Type Ia supernovae - over 10 times bigger than the original samples on which the discovery claim was based - and found that the evidence for accelerated expansion is, at most, what physicists call '3 sigma",6532
f8f3198e-5dcc-484e-8608-a5e863bf0ccc,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1151,SSSPETest2,1733,1733SSSArticle.txt,3b1f433b349070805f603e74f06a6dcbadd3e53a9f3f6dd20357dba130244bcc,19ff4bda-4e20-4b19-96e9-efcf031cf99e,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,4,How are the quoted sources' ideas important to the article or its author?,2,They provide important support to an important argument the author advances in the article.,9632ea5d-0c03-4ef6-a0dd-341b4894c62d,19ff4bda-4e20-4b19-96e9-efcf031cf99e,They provide important support to an important argument the author advances in the article.,1,4510,4755,"We analysed the latest catalogue of 740 Type Ia supernovae - over 10 times bigger than the original samples on which the discovery claim was based - and found that the evidence for accelerated expansion is, at most, what physicists call '3 sigma",6532
9c59907f-0bd2-4494-9df5-cca2abc72003,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1152,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,8fdce978-281b-4b63-bf4b-6b8e60fefcca,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",2,"Title, role, or position of a quoted or paraphrased person",bf1dd93d-0b58-4a27-a55b-58a5fe487cbc,8fdce978-281b-4b63-bf4b-6b8e60fefcca,"Title, role, or position of a quoted or paraphrased person",1,7677,7704,epidemiologist and director,10122
9c59907f-0bd2-4494-9df5-cca2abc72003,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1152,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,37999ccd-5b63-4abc-9bfe-284a196b9c98,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",3,First name of quoted or paraphrased person,cb41a996-22cd-4659-b5aa-ce13b6da2488,37999ccd-5b63-4abc-9bfe-284a196b9c98,First name of quoted or paraphrased person,1,7659,7666,Therese,10122
9c59907f-0bd2-4494-9df5-cca2abc72003,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1152,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,10c348fa-fcab-4331-ad22-d64763f8af2b,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",5,Last name,87ec8c50-64c6-43ae-bf40-52afcbb1973e,10c348fa-fcab-4331-ad22-d64763f8af2b,Last name,1,7667,7672,Grant,10122
9c59907f-0bd2-4494-9df5-cca2abc72003,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1152,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,3a065dc8-e043-4f1b-b7f4-339a8ac93fc2,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,1,"If they are present, highlight each of the following elements in the bold text to the left.",7,Name of Organization being quoted or paraphrased or being represented by quoted person,a78be65d-2046-483d-b117-07e834ff0c9d,3a065dc8-e043-4f1b-b7f4-339a8ac93fc2,Name of Organization being quoted or paraphrased or being represented by quoted person,1,7712,7766,University of Washington’s fetal alcohol and drug unit,10122
9c59907f-0bd2-4494-9df5-cca2abc72003,http://pe.goodlylabs.org/project/PreAlphaSources2/task/1152,SSSPETest2,1739,1739SSSArticle.txt,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,6b3b3827-5bfa-4492-a1f8-af1ae77f8893,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,SourceSpecialist2018_08_02,1,Source relevance,2,"Using the highlight options below, indicate which portions of the bolded text to the left are direct quotes and which are paraphrases.",1,A direct quote,6415f2ce-5d4e-4cb7-adde-054f77b12188,6b3b3827-5bfa-4492-a1f8-af1ae77f8893,A direct quote,1,7516,7651,All those really good earlier studies on marijuana effects aren’t telling us what we need to know now about higher concentration levels,10122
