,20.11.2019 10:35,Unnamed: 0,answer_uuid,article_batch_name,article_filename,article_number,article_sha256,article_text_length,case_number,end_pos,ericwimsatt,ericwimsatt-ThinkPad-T440s,extra,file:///home/ericwimsatt/.config/libreoffice/4;,highlight_count,namespace,start_pos,target_text,task_uuid,topic_name,tua_batch_final,tua_batch_name,tua_batch_uuid,tua_group_name,tua_group_uuid,tua_uuid
1,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,2.0,8475.0,,,{},,1.0,NYU_Form,7863.0,"The picture that is emerging of Giuliani\u2019s back-channel diplomacy suggests maneuvering that countered and ultimately undermined official U.S. foreign policy.\n\nThe U.S. Congress has voiced bipartisan support for Kyiv in its showdown with neighboring Russia, which seized the Crimea region in 2014 and has backed separatists in an armed insurgency in eastern Ukraine.\n\nTrump has been reluctant to criticize Moscow, and last week, when he met Zelensky on the sidelines of the United Nations General Assembly, the president appeared to startle the Ukrainian leader by urging him to settle his differences with Russia",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,888d2981-1703-475c-bf51-f118efc0d691
12,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,7.0,7236.0,,,{},,1.0,NYU_Form,6789.0,"Trump has suggested that one of Biden\u2019s misdeeds was to demand the firing of Lutsenko\u2019s predecessor, Viktor Shokin, to prevent him from investigating Hunter Biden.\n\nBut U.S. and European officials had demanded Shokin\u2019s ouster as part of a crackdown on widespread corruption in the former Soviet republic.\n\n\u201cThe thinking was Ukraine could do a lot more\u201d to fight corruption, David Cameron, the British prime minister at the time, said Sunday on CNN",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,0a6a6741-fac1-45fe-bd86-f790635e942b
7,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,371.0,,,{},,5.0,NYU_Form,167.0,"Ukraine\u2019s former top law enforcement official says he repeatedly rebuffed demands by President Trump\u2019s personal lawyer to investigate Joe Biden and his son, insisting he had seen no evidence of wrongdoing",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
8,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,720.0,,,{},,5.0,NYU_Form,506.0,he would be happy to cooperate if the FBI or other U.S. authorities began their own investigation of the former vice president and his son Hunter but insisted they had not broken any Ukrainian laws to his knowledge,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
9,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,1158.0,,,{},,5.0,NYU_Form,786.0,"he had urged Giuliani to launch a U.S. inquiry and go to court if he had any evidence but not to use Ukraine to conduct a political vendetta that could affect the U.S. election.\n\n\u201cI said, \u2018Let\u2019s put this through prosecutors, not through presidents,\u2019 \u201d Lutsenko told The Times.\n\n\n\u201cI told him I could not start an investigation just for the interests of an American official",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
10,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,3075.0,,,{},,5.0,NYU_Form,2957.0,Lutsenko said he was eager to cooperate with Giuliani and Trump but did not have sufficient evidence to act on his own,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
11,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,6.0,6770.0,,,{},,5.0,NYU_Form,6588.0,"He was wondering why the case was closed,\u201d he said. \u201cI had to tell him how law enforcement functions here.\u201d\n\nHe said his hands were tied and he could not reopen the case just because",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,986fdb1d-f5c7-44b3-8456-3445a0597598
6,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,4.0,5802.0,,,{},,1.0,NYU_Form,5292.0,"Giuliani has acknowledged broadly asking Ukraine to investigate the Bidens and defended the move as appropriate. Although he is a private citizen, not a government employee, he has claimed he acted at the State Department\u2019s behest. The State Department has not commented.\n\n\u201cI did not do this on my own, I did it at the request of the State Department \u2014 I have a \u2018thank you\u2019 from them for doing a good job,\u201d Giuliani said Sunday on CBS\u2019 \u201cFace the Nation.\u201d He said Secretary of State Michael R. Pompeo \u201cwas aware",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,8debf58f-e84e-4051-881b-7aa9f969805a
2,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,3.0,4365.0,,,{},,4.0,NYU_Form,3572.0,"On July 25, Trump spoke to Zelensky by telephone from the White House. According to a declassified memorandum released by the White House last week that reconstructed the conversation, Trump asked Zelensky for a \u201cfavor\u201d and urged him to \u201clook into\u201d Biden and his son.\n\nHe linked his comments directly to Zelensky\u2019s request to buy U.S. antitank weapons to help counter Russia-backed separatists in eastern Ukraine, and the new president\u2019s hopes of securing a White House meeting.\n\nDuring the 30-minute call, Trump asked Zelensky at least five times to work with Atty. Gen. William Barr in addition to Giuliani.\n\n\u201cI will have Mr. Giuliani give you a call and I am also going to have Atty. Gen. Barr call and we will get to the bottom of it,\u201d Trump told Zelensky. \u201cI\u2019m sure you will figure it out",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,4ae0e754-1bf1-46df-9c2a-18c1738219e8
3,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,3.0,5289.0,,,{},,4.0,NYU_Form,4519.0,"Trump also asked Zelensky to look into CrowdStrike, a cybersecurity company that did work for the Democrats in the 2016 election and was the focus of conspiracy theories. The company is based in Irvine, but Trump apparently believed it operated from Ukraine.\n\nA week before the call, Trump had ordered aides to withhold disbursement of nearly $400 million in military and State Department assistance that Congress had approved for Ukraine. He gave no reason for blocking the aid.\n\nPreviously, Trump had bragged about having secured the aid, saying it showed he was more supportive of Ukraine than President Obama had been. The funds and material were finally released this month after Congress was notified of a whistleblower complaint involving Trump\u2019s call to Zelensky",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,4ae0e754-1bf1-46df-9c2a-18c1738219e8
4,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,3.0,6410.0,,,{},,4.0,NYU_Form,6320.0,Giuliani quickly raised the issue of the Ukrainian gas company that had hired Hunter Biden,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,4ae0e754-1bf1-46df-9c2a-18c1738219e8
5,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,3.0,1626.0,,,{},,4.0,NYU_Form,1431.0,Lutsenko said he met Giuliani twice in person and had numerous conversations with him on the phone. He described the former New York mayor as obsessed with possible misconduct by Biden or his son,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,4ae0e754-1bf1-46df-9c2a-18c1738219e8
0,,,,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,FormerUkraineProsecutorSaysHe.txt,100028.0,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477.0,1.0,2599.0,,,{},,1.0,NYU_Form,2305.0,"Yovanovitch had pushed Ukraine\u2019s government to more aggressively crack down on corruption. But the White House considered her insufficiently loyal to Trump, apparently because she resisted pressuring Ukraine on his priorities, and she became a target of conservative critics, including Giuliani",a9bae9b6-6b98-4423-ae0f-88f1dda23b05,Arguments,True,Adjudicator nick task 1788 article number 100028,85c4a58f-ed38-42d2-9f46-ebffff46fed2,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,94431384-457d-4f51-a053-fcf560c43067
49,,,,NYU_Articles/Pilot/ExplosiveReportRepAdamSchiff.txt,ExplosiveReportRepAdamSchiff.txt,100029.0,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,3095.0,2.0,2019.0,,,{},,1.0,NYU_Form,1416.0,"Pasternak, who was raised and educated in Ukraine before immigrating to the United States, is a passionate promoter of Ukrainian culture and business. He has been active in both Los Angeles and Washington, D.C. to support increased bilateral ties between the two countries and has been especially active building awareness of Ukraine\u2019s strategic economic importance among Members of Congress. Since political protests broke out across Ukraine in late 2013, Pasternak has worked to personally inform and educate Members of Congress about the geostrategic importance of Ukraine to European and US security",5c72bafd-fef5-4000-a23e-4dfad412d96d,Arguments,True,Adjudicator nick task 1789 article number 100029,c663b849-a770-4bc8-aa32-221533dcc5a1,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,7a3065b1-31a3-43c5-aa55-c6950e0df218
50,,,,NYU_Articles/Pilot/ExplosiveReportRepAdamSchiff.txt,ExplosiveReportRepAdamSchiff.txt,100029.0,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,3095.0,3.0,2324.0,,,{},,2.0,NYU_Form,2022.0,"In late February 2014, during the final hours of the Yanukovych Presidency, Pasternak travelled to Kyiv for diplomatic reasons in response to the outbreak of violence that had started less than 48 hours earlier, and to support peaceful transitions amid the rapid changes now taking place across Ukraine",5c72bafd-fef5-4000-a23e-4dfad412d96d,Arguments,True,Adjudicator nick task 1789 article number 100029,c663b849-a770-4bc8-aa32-221533dcc5a1,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,cd9cdb16-957e-4504-97ab-63e437a40f3e
51,,,,NYU_Articles/Pilot/ExplosiveReportRepAdamSchiff.txt,ExplosiveReportRepAdamSchiff.txt,100029.0,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,3095.0,3.0,2851.0,,,{},,2.0,NYU_Form,2479.0,Schiff was reportedly scheduled to be in the Ukraine just last month with the Atlantic Counsel.\n\nAdam Schiff\u2019s staffer made the trip.\n\nhttps://twitter.com/sewwutnow/status/1177766806070517760\n\nThis is also the same time that Schiff tweeted that information on the Ukraine \u2013\n\nThe earlier tweet was at the exact same time Schiff was reportedly scheduled to be in the Ukraine,5c72bafd-fef5-4000-a23e-4dfad412d96d,Arguments,True,Adjudicator nick task 1789 article number 100029,c663b849-a770-4bc8-aa32-221533dcc5a1,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,cd9cdb16-957e-4504-97ab-63e437a40f3e
45,,,,NYU_Articles/Pilot/ExplosiveReportRepAdamSchiff.txt,ExplosiveReportRepAdamSchiff.txt,100029.0,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,3095.0,1.0,1048.0,,,{},,4.0,NYU_Form,971.0,Now we know why Schiff is lying \u2013 he\u2019s connected with a Ukrainian Arms Dealer,5c72bafd-fef5-4000-a23e-4dfad412d96d,Arguments,True,Adjudicator nick task 1789 article number 100029,c663b849-a770-4bc8-aa32-221533dcc5a1,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,a7fb23dd-5b91-48f9-a276-aadf80c01f36
46,,,,NYU_Articles/Pilot/ExplosiveReportRepAdamSchiff.txt,ExplosiveReportRepAdamSchiff.txt,100029.0,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,3095.0,1.0,252.0,,,{},,4.0,NYU_Form,131.0,Democrat Rep. Adam Schiff is connected to a Ukrainian arms dealer. Is this why he\u2019s willing to lie in front of the nation,5c72bafd-fef5-4000-a23e-4dfad412d96d,Arguments,True,Adjudicator nick task 1789 article number 100029,c663b849-a770-4bc8-aa32-221533dcc5a1,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,a7fb23dd-5b91-48f9-a276-aadf80c01f36
47,,,,NYU_Articles/Pilot/ExplosiveReportRepAdamSchiff.txt,ExplosiveReportRepAdamSchiff.txt,100029.0,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,3095.0,1.0,848.0,,,{},,4.0,NYU_Form,591.0,Schiff lied in his opening remarks and claimed numerous falsehoods about the President\u2019s call in spite of the transcript being provided the day before.\n\nHis entire description of the President\u2019s call was a lie \u2013 we have the transcript and this was not in it,5c72bafd-fef5-4000-a23e-4dfad412d96d,Arguments,True,Adjudicator nick task 1789 article number 100029,c663b849-a770-4bc8-aa32-221533dcc5a1,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,a7fb23dd-5b91-48f9-a276-aadf80c01f36
48,,,,NYU_Articles/Pilot/ExplosiveReportRepAdamSchiff.txt,ExplosiveReportRepAdamSchiff.txt,100029.0,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,3095.0,1.0,3056.0,,,{},,4.0,NYU_Form,2855.0,What the hell is going on with Shifty Lying Schiff and his Ukraine Arms Dealer \u2013 Is Schiff being paid off?  Is this why he is willing to lie on national TV about President Trump\u2019s action in the Ukraine,5c72bafd-fef5-4000-a23e-4dfad412d96d,Arguments,True,Adjudicator nick task 1789 article number 100029,c663b849-a770-4bc8-aa32-221533dcc5a1,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,a7fb23dd-5b91-48f9-a276-aadf80c01f36
58,,,,NYU_Articles/Pilot/CouldTrumpsImpeachmentPushHilary.txt,CouldTrumpsImpeachmentPushHilary.txt,100030.0,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,3181.0,1.0,1161.0,,,{},,1.0,NYU_Form,301.0,"Hillary Clinton has been one of President Trump\u2019s most consistent rivals since they campaigned against each other in the election of 2016. That election destroyed what appeared to be a longstanding friendship between the Clinton and Trump families. In fact, Donald Trump was friends with many politicians before he took office, it was only after he announced his candidacy that he became such a polarizing figure.\n\nIn many respects, the election of 2016 had a negative impact on Clinton\u2019s reputation just as much as it did on Trump\u2019s. With the many scandals surrounding the Clinton team during the election, Hillary lost much of her credibility with voters. However, she has continued to position herself against Trump since the election, and has continued to insist that she should have actually won, and that the country would have been better off if she had",93516d21-56f5-4b96-a8c4-1a51f12365f9,Arguments,True,Adjudicator nick task 1790 article number 100030,81dcb6c6-2799-48fd-8406-b1074ecd727c,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,6701cdc6-28ae-4df9-8e69-2618e0f3b374
60,,,,NYU_Articles/Pilot/CouldTrumpsImpeachmentPushHilary.txt,CouldTrumpsImpeachmentPushHilary.txt,100030.0,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,3181.0,3.0,2535.0,,,{},,1.0,NYU_Form,2012.0,"However, for his part, President Trump says that he did nothing wrong, and that he was in fact doing his job as president by investigating possible corruption that people within the establishment were involved in.\n\nThe Trump administration does not think that this impeachment issue will negatively affect their campaign at all, and in fact, they actually think it will improve their chances of winning, because they believe the situation proves that Trump is fulfilling his promise of \u201cdraining the swamp\u201d in Washington DC",93516d21-56f5-4b96-a8c4-1a51f12365f9,Arguments,True,Adjudicator nick task 1790 article number 100030,81dcb6c6-2799-48fd-8406-b1074ecd727c,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,5bd46ef7-9efa-4fe3-8000-27ecdae5035d
59,,,,NYU_Articles/Pilot/CouldTrumpsImpeachmentPushHilary.txt,CouldTrumpsImpeachmentPushHilary.txt,100030.0,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,3181.0,2.0,2010.0,,,{},,1.0,NYU_Form,1721.0,conversation that took place between Donald Trump and the Ukrainian President is the subject of the impeachment movement against Trump. Democrats are accusing Donald Trump of using his position as President to dig up dirt on his political opponent Joe Biden and thus influence the election,93516d21-56f5-4b96-a8c4-1a51f12365f9,Arguments,True,Adjudicator nick task 1790 article number 100030,81dcb6c6-2799-48fd-8406-b1074ecd727c,NYU_Form.adjudicated,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,ec41783a-5e89-4b51-b5d8-967e78cac56e
