,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,36.0,1,1,4.0,1826.0,1881.0,4000.0,nominal,0.0
1,36.0,2,1,4.0,1853.0,1908.0,4000.0,nominal,0.0
2,36.0,3,1,5.0,1838.0,1936.0,4000.0,nominal,0.0
3,36.0,4,1,4.0,1856.0,1888.0,4000.0,nominal,0.0
4,36.0,5,1,3.0,1867.0,1885.0,4000.0,nominal,0.0
5,36.0,1,2,1.0,1324.0,1421.0,4000.0,nominal,0.0
6,36.0,2,2,1.0,1321.0,1397.0,4000.0,nominal,0.0
7,36.0,3,2,1.0,1311.0,1379.0,4000.0,nominal,0.0
8,36.0,4,2,2.0,1350.0,1419.0,4000.0,nominal,0.0
9,36.0,5,2,5.0,1204.0,1394.0,4000.0,nominal,0.0
10,36.0,1,3,5.0,1171.0,1241.0,4000.0,nominal,0.0
11,36.0,2,3,2.0,1173.0,1253.0,4000.0,nominal,0.0
12,36.0,3,3,5.0,1204.0,1287.0,4000.0,nominal,0.0
13,36.0,4,3,4.0,1186.0,1248.0,4000.0,nominal,0.0
14,36.0,5,3,2.0,1213.0,1226.0,4000.0,nominal,0.0
15,36.0,1,4,1.0,1819.0,1886.0,4000.0,nominal,0.0
16,36.0,2,4,1.0,1835.0,1859.0,4000.0,nominal,0.0
17,36.0,3,4,1.0,1809.0,1891.0,4000.0,nominal,0.0
18,36.0,4,4,1.0,1819.0,1873.0,4000.0,nominal,0.0
19,36.0,5,4,2.0,1763.0,1987.0,4000.0,nominal,0.0
20,36.0,1,5,2.0,1411.0,1418.0,4000.0,nominal,0.0
21,36.0,2,5,4.0,1392.0,1425.0,4000.0,nominal,0.0
22,36.0,3,5,4.0,1389.0,1451.0,4000.0,nominal,0.0
23,36.0,4,5,4.0,1394.0,1420.0,4000.0,nominal,0.0
24,36.0,5,5,1.0,1335.0,1457.0,4000.0,nominal,0.0
25,36.0,1,6,2.0,1214.0,1253.0,4000.0,nominal,0.0
26,36.0,2,6,2.0,1194.0,1258.0,4000.0,nominal,0.0
27,36.0,3,6,2.0,1190.0,1244.0,4000.0,nominal,0.0
28,36.0,4,6,1.0,1221.0,1271.0,4000.0,nominal,0.0
29,36.0,5,6,5.0,1171.0,1388.0,4000.0,nominal,0.0
30,36.0,1,7,2.0,1537.0,1575.0,4000.0,nominal,0.0
31,36.0,2,7,3.0,1540.0,1584.0,4000.0,nominal,0.0
32,36.0,3,7,3.0,1536.0,1614.0,4000.0,nominal,0.0
33,36.0,4,7,3.0,1533.0,1597.0,4000.0,nominal,0.0
34,36.0,5,7,1.0,1391.0,1542.0,4000.0,nominal,0.0
35,36.0,1,8,5.0,1576.0,1634.0,4000.0,ordinal,0.0
36,36.0,2,8,5.0,1573.0,1622.0,4000.0,ordinal,0.0
37,36.0,3,8,5.0,1565.0,1619.0,4000.0,ordinal,0.0
38,36.0,4,8,4.0,1550.0,1635.0,4000.0,ordinal,0.0
39,36.0,5,8,2.0,1549.0,1700.0,4000.0,ordinal,0.0
40,36.0,1,9,4.0,1518.0,1551.0,4000.0,ordinal,0.0
41,36.0,2,9,4.0,1487.0,1568.0,4000.0,ordinal,0.0
42,36.0,3,9,1.0,1497.0,1556.0,4000.0,ordinal,0.0
43,36.0,4,9,5.0,1527.0,1563.0,4000.0,ordinal,0.0
44,36.0,5,9,2.0,1355.0,1772.0,4000.0,ordinal,0.0
45,36.0,1,10,3.0,1640.0,1676.0,4000.0,ordinal,0.0
46,36.0,2,10,3.0,1626.0,1664.0,4000.0,ordinal,0.0
47,36.0,3,10,3.0,1667.0,1673.0,4000.0,ordinal,0.0
48,36.0,4,10,2.0,1603.0,1659.0,4000.0,ordinal,0.0
49,36.0,5,10,2.0,1624.0,1778.0,4000.0,ordinal,0.0
