,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,1.0,1,1,1.0,1969.0,1994.0,4000.0,nominal,0.0
1,1.0,2,1,2.0,1953.0,2001.0,4000.0,nominal,0.0
2,1.0,3,1,5.0,1894.0,1935.0,4000.0,nominal,0.0
3,1.0,4,1,3.0,1953.0,2009.0,4000.0,nominal,0.0
4,1.0,5,1,5.0,1996.0,2168.0,4000.0,nominal,0.0
5,1.0,1,2,2.0,1378.0,1452.0,4000.0,nominal,0.0
6,1.0,2,2,2.0,1384.0,1453.0,4000.0,nominal,0.0
7,1.0,3,2,3.0,1406.0,1447.0,4000.0,nominal,0.0
8,1.0,4,2,5.0,1375.0,1377.0,4000.0,nominal,0.0
9,1.0,5,2,5.0,1397.0,1440.0,4000.0,nominal,0.0
10,1.0,1,3,5.0,1799.0,1862.0,4000.0,nominal,0.0
11,1.0,2,3,4.0,1799.0,1859.0,4000.0,nominal,0.0
12,1.0,3,3,3.0,1872.0,1918.0,4000.0,nominal,0.0
13,1.0,4,3,4.0,1854.0,1856.0,4000.0,nominal,0.0
14,1.0,5,3,1.0,1767.0,2116.0,4000.0,nominal,0.0
15,1.0,1,4,2.0,1178.0,1233.0,4000.0,nominal,0.0
16,1.0,2,4,2.0,1210.0,1233.0,4000.0,nominal,0.0
17,1.0,3,4,5.0,1116.0,1162.0,4000.0,nominal,0.0
18,1.0,4,4,4.0,1111.0,1402.0,4000.0,nominal,0.0
19,1.0,5,4,3.0,1188.0,1268.0,4000.0,nominal,0.0
20,1.0,1,5,2.0,1306.0,1337.0,4000.0,nominal,0.0
21,1.0,2,5,3.0,1281.0,1339.0,4000.0,nominal,0.0
22,1.0,3,5,1.0,1224.0,1383.0,4000.0,nominal,0.0
23,1.0,4,5,2.0,1240.0,1244.0,4000.0,nominal,0.0
24,1.0,5,5,4.0,1430.0,1430.0,4000.0,nominal,0.0
25,1.0,1,6,1.0,1690.0,1753.0,4000.0,nominal,0.0
26,1.0,2,6,1.0,1708.0,1741.0,4000.0,nominal,0.0
27,1.0,3,6,4.0,1624.0,1653.0,4000.0,nominal,0.0
28,1.0,4,6,5.0,1721.0,1728.0,4000.0,nominal,0.0
29,1.0,5,6,4.0,1829.0,1862.0,4000.0,nominal,0.0
30,1.0,1,7,4.0,1954.0,1999.0,4000.0,nominal,0.0
31,1.0,2,7,4.0,1950.0,1984.0,4000.0,nominal,0.0
32,1.0,3,7,3.0,1964.0,2032.0,4000.0,nominal,0.0
33,1.0,4,7,3.0,1965.0,1981.0,4000.0,nominal,0.0
34,1.0,5,7,3.0,2035.0,2058.0,4000.0,nominal,0.0
35,1.0,1,8,3.0,1079.0,1104.0,4000.0,ordinal,0.0
36,1.0,2,8,3.0,1070.0,1133.0,4000.0,ordinal,0.0
37,1.0,3,8,5.0,1111.0,1180.0,4000.0,ordinal,0.0
38,1.0,4,8,2.0,1044.0,1259.0,4000.0,ordinal,0.0
39,1.0,5,8,1.0,1065.0,1115.0,4000.0,ordinal,0.0
40,1.0,1,9,4.0,1894.0,1902.0,4000.0,ordinal,0.0
41,1.0,2,9,5.0,1852.0,1880.0,4000.0,ordinal,0.0
42,1.0,3,9,2.0,1973.0,2095.0,4000.0,ordinal,0.0
43,1.0,4,9,2.0,1799.0,1951.0,4000.0,ordinal,0.0
44,1.0,5,9,1.0,1862.0,1917.0,4000.0,ordinal,0.0
45,1.0,1,10,1.0,1804.0,1809.0,4000.0,ordinal,0.0
46,1.0,2,10,2.0,1771.0,1826.0,4000.0,ordinal,0.0
47,1.0,3,10,5.0,1748.0,1869.0,4000.0,ordinal,0.0
48,1.0,4,10,2.0,1757.0,1846.0,4000.0,ordinal,0.0
49,1.0,5,10,4.0,1604.0,1804.0,4000.0,ordinal,0.0
