,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,39.0,1,1,3.0,1716.0,1780.0,4000.0,nominal,0.0
1,39.0,2,1,3.0,1694.0,1744.0,4000.0,nominal,0.0
2,39.0,3,1,3.0,1698.0,1764.0,4000.0,nominal,0.0
3,39.0,4,1,3.0,1703.0,1735.0,4000.0,nominal,0.0
4,39.0,5,1,5.0,1809.0,1877.0,4000.0,nominal,0.0
5,39.0,1,2,1.0,1298.0,1361.0,4000.0,nominal,0.0
6,39.0,2,2,3.0,1290.0,1356.0,4000.0,nominal,0.0
7,39.0,3,2,1.0,1307.0,1345.0,4000.0,nominal,0.0
8,39.0,4,2,1.0,1313.0,1340.0,4000.0,nominal,0.0
9,39.0,5,2,5.0,1266.0,1350.0,4000.0,nominal,0.0
10,39.0,1,3,2.0,1081.0,1137.0,4000.0,nominal,0.0
11,39.0,2,3,2.0,1089.0,1141.0,4000.0,nominal,0.0
12,39.0,3,3,1.0,1076.0,1139.0,4000.0,nominal,0.0
13,39.0,4,3,1.0,1051.0,1146.0,4000.0,nominal,0.0
14,39.0,5,3,3.0,979.0,1191.0,4000.0,nominal,0.0
15,39.0,1,4,5.0,1068.0,1085.0,4000.0,nominal,0.0
16,39.0,2,4,1.0,1049.0,1080.0,4000.0,nominal,0.0
17,39.0,3,4,1.0,1058.0,1073.0,4000.0,nominal,0.0
18,39.0,4,4,1.0,1028.0,1086.0,4000.0,nominal,0.0
19,39.0,5,4,2.0,949.0,1111.0,4000.0,nominal,0.0
20,39.0,1,5,4.0,1837.0,1842.0,4000.0,nominal,0.0
21,39.0,2,5,3.0,1836.0,1879.0,4000.0,nominal,0.0
22,39.0,3,5,3.0,1828.0,1864.0,4000.0,nominal,0.0
23,39.0,4,5,4.0,1800.0,1860.0,4000.0,nominal,0.0
24,39.0,5,5,1.0,1812.0,1901.0,4000.0,nominal,0.0
25,39.0,1,6,3.0,1451.0,1472.0,4000.0,nominal,0.0
26,39.0,2,6,3.0,1421.0,1478.0,4000.0,nominal,0.0
27,39.0,3,6,3.0,1418.0,1482.0,4000.0,nominal,0.0
28,39.0,4,6,3.0,1437.0,1501.0,4000.0,nominal,0.0
29,39.0,5,6,1.0,1458.0,1594.0,4000.0,nominal,0.0
30,39.0,1,7,2.0,1051.0,1110.0,4000.0,nominal,0.0
31,39.0,2,7,2.0,1052.0,1097.0,4000.0,nominal,0.0
32,39.0,3,7,2.0,1051.0,1097.0,4000.0,nominal,0.0
33,39.0,4,7,2.0,1048.0,1079.0,4000.0,nominal,0.0
34,39.0,5,7,5.0,761.0,1160.0,4000.0,nominal,0.0
35,39.0,1,8,3.0,1060.0,1096.0,4000.0,ordinal,0.0
36,39.0,2,8,3.0,1061.0,1099.0,4000.0,ordinal,0.0
37,39.0,3,8,3.0,1040.0,1100.0,4000.0,ordinal,0.0
38,39.0,4,8,3.0,1056.0,1084.0,4000.0,ordinal,0.0
39,39.0,5,8,1.0,987.0,1108.0,4000.0,ordinal,0.0
40,39.0,1,9,3.0,1669.0,1690.0,4000.0,ordinal,0.0
41,39.0,2,9,3.0,1681.0,1723.0,4000.0,ordinal,0.0
42,39.0,3,9,3.0,1651.0,1715.0,4000.0,ordinal,0.0
43,39.0,4,9,4.0,1639.0,1724.0,4000.0,ordinal,0.0
44,39.0,5,9,5.0,1678.0,1829.0,4000.0,ordinal,0.0
45,39.0,1,10,3.0,1034.0,1105.0,4000.0,ordinal,0.0
46,39.0,2,10,3.0,1020.0,1088.0,4000.0,ordinal,0.0
47,39.0,3,10,3.0,1046.0,1094.0,4000.0,ordinal,0.0
48,39.0,4,10,3.0,1021.0,1103.0,4000.0,ordinal,0.0
49,39.0,5,10,2.0,769.0,1119.0,4000.0,ordinal,0.0
