,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,49.0,1,1,3.0,1081.0,1144.0,4000.0,nominal,0.0
1,49.0,2,1,3.0,1101.0,1130.0,4000.0,nominal,0.0
2,49.0,3,1,3.0,1099.0,1125.0,4000.0,nominal,0.0
3,49.0,4,1,5.0,798.0,1241.0,4000.0,nominal,0.0
4,49.0,5,1,4.0,1016.0,1169.0,4000.0,nominal,0.0
5,49.0,1,2,4.0,1231.0,1293.0,4000.0,nominal,0.0
6,49.0,2,2,4.0,1264.0,1306.0,4000.0,nominal,0.0
7,49.0,3,2,4.0,1246.0,1275.0,4000.0,nominal,0.0
8,49.0,4,2,1.0,1138.0,1555.0,4000.0,nominal,0.0
9,49.0,5,2,3.0,1200.0,1542.0,4000.0,nominal,0.0
10,49.0,1,3,4.0,1804.0,1833.0,4000.0,nominal,0.0
11,49.0,2,3,4.0,1781.0,1810.0,4000.0,nominal,0.0
12,49.0,3,3,5.0,1785.0,1836.0,4000.0,nominal,0.0
13,49.0,4,3,2.0,1770.0,1794.0,4000.0,nominal,0.0
14,49.0,5,3,1.0,1774.0,1984.0,4000.0,nominal,0.0
15,49.0,1,4,1.0,1602.0,1674.0,4000.0,nominal,0.0
16,49.0,2,4,1.0,1627.0,1668.0,4000.0,nominal,0.0
17,49.0,3,4,3.0,1642.0,1649.0,4000.0,nominal,0.0
18,49.0,4,4,5.0,1709.0,1779.0,4000.0,nominal,0.0
19,49.0,5,4,5.0,1602.0,1794.0,4000.0,nominal,0.0
20,49.0,1,5,4.0,1959.0,2025.0,4000.0,nominal,0.0
21,49.0,2,5,4.0,1959.0,2044.0,4000.0,nominal,0.0
22,49.0,3,5,4.0,1948.0,2023.0,4000.0,nominal,0.0
23,49.0,4,5,5.0,1820.0,1937.0,4000.0,nominal,0.0
24,49.0,5,5,1.0,1960.0,1967.0,4000.0,nominal,0.0
25,49.0,1,6,3.0,1292.0,1338.0,4000.0,nominal,0.0
26,49.0,2,6,3.0,1257.0,1352.0,4000.0,nominal,0.0
27,49.0,3,6,3.0,1271.0,1335.0,4000.0,nominal,0.0
28,49.0,4,6,2.0,1271.0,1318.0,4000.0,nominal,0.0
29,49.0,5,6,1.0,1243.0,1318.0,4000.0,nominal,0.0
30,49.0,1,7,5.0,1539.0,1588.0,4000.0,nominal,0.0
31,49.0,2,7,5.0,1527.0,1581.0,4000.0,nominal,0.0
32,49.0,3,7,4.0,1544.0,1558.0,4000.0,nominal,0.0
33,49.0,4,7,1.0,1547.0,1736.0,4000.0,nominal,0.0
34,49.0,5,7,1.0,1601.0,1606.0,4000.0,nominal,0.0
35,49.0,1,8,2.0,1912.0,1959.0,4000.0,ordinal,0.0
36,49.0,2,8,3.0,1932.0,1954.0,4000.0,ordinal,0.0
37,49.0,3,8,2.0,1912.0,1954.0,4000.0,ordinal,0.0
38,49.0,4,8,5.0,2004.0,2043.0,4000.0,ordinal,0.0
39,49.0,5,8,1.0,1853.0,1860.0,4000.0,ordinal,0.0
40,49.0,1,9,4.0,1132.0,1219.0,4000.0,ordinal,0.0
41,49.0,2,9,3.0,1164.0,1219.0,4000.0,ordinal,0.0
42,49.0,3,9,4.0,1162.0,1216.0,4000.0,ordinal,0.0
43,49.0,4,9,2.0,1034.0,1311.0,4000.0,ordinal,0.0
44,49.0,5,9,3.0,1213.0,1457.0,4000.0,ordinal,0.0
45,49.0,1,10,1.0,1845.0,1907.0,4000.0,ordinal,0.0
46,49.0,2,10,3.0,1845.0,1901.0,4000.0,ordinal,0.0
47,49.0,3,10,4.0,1848.0,1911.0,4000.0,ordinal,0.0
48,49.0,4,10,1.0,1685.0,1815.0,4000.0,ordinal,0.0
49,49.0,5,10,1.0,1834.0,1927.0,4000.0,ordinal,0.0
