,taskrun_article_number,contributor_id,question_number,answer_number,start_pos,end_pos,source_text_length,answer_type,question_text
0,31.0,1,1,3.0,1986.0,2024.0,4000.0,nominal,0.0
1,31.0,2,1,4.0,1972.0,2008.0,4000.0,nominal,0.0
2,31.0,3,1,4.0,1944.0,2019.0,4000.0,nominal,0.0
3,31.0,4,1,4.0,1956.0,2061.0,4000.0,nominal,0.0
4,31.0,5,1,2.0,1848.0,2004.0,4000.0,nominal,0.0
5,31.0,1,2,5.0,1970.0,1993.0,4000.0,nominal,0.0
6,31.0,2,2,5.0,1965.0,2025.0,4000.0,nominal,0.0
7,31.0,3,2,5.0,1968.0,1972.0,4000.0,nominal,0.0
8,31.0,4,2,2.0,1916.0,1986.0,4000.0,nominal,0.0
9,31.0,5,2,1.0,1975.0,2101.0,4000.0,nominal,0.0
10,31.0,1,3,5.0,1087.0,1140.0,4000.0,nominal,0.0
11,31.0,2,3,3.0,1101.0,1116.0,4000.0,nominal,0.0
12,31.0,3,3,3.0,1075.0,1190.0,4000.0,nominal,0.0
13,31.0,4,3,5.0,1059.0,1119.0,4000.0,nominal,0.0
14,31.0,5,3,2.0,1196.0,1409.0,4000.0,nominal,0.0
15,31.0,1,4,5.0,1980.0,2025.0,4000.0,nominal,0.0
16,31.0,2,4,5.0,1974.0,2033.0,4000.0,nominal,0.0
17,31.0,3,4,5.0,2011.0,2042.0,4000.0,nominal,0.0
18,31.0,4,4,5.0,1975.0,2046.0,4000.0,nominal,0.0
19,31.0,5,4,2.0,1962.0,2128.0,4000.0,nominal,0.0
20,31.0,1,5,4.0,1921.0,1946.0,4000.0,nominal,0.0
21,31.0,2,5,4.0,1890.0,1953.0,4000.0,nominal,0.0
22,31.0,3,5,5.0,1877.0,1894.0,4000.0,nominal,0.0
23,31.0,4,5,4.0,1934.0,1946.0,4000.0,nominal,0.0
24,31.0,5,5,2.0,1936.0,2076.0,4000.0,nominal,0.0
25,31.0,1,6,1.0,1655.0,1686.0,4000.0,nominal,0.0
26,31.0,2,6,1.0,1651.0,1691.0,4000.0,nominal,0.0
27,31.0,3,6,1.0,1658.0,1707.0,4000.0,nominal,0.0
28,31.0,4,6,3.0,1659.0,1714.0,4000.0,nominal,0.0
29,31.0,5,6,5.0,1586.0,1626.0,4000.0,nominal,0.0
30,31.0,1,7,5.0,1421.0,1500.0,4000.0,nominal,0.0
31,31.0,2,7,4.0,1442.0,1503.0,4000.0,nominal,0.0
32,31.0,3,7,1.0,1400.0,1504.0,4000.0,nominal,0.0
33,31.0,4,7,4.0,1451.0,1474.0,4000.0,nominal,0.0
34,31.0,5,7,2.0,1377.0,1421.0,4000.0,nominal,0.0
35,31.0,1,8,2.0,1131.0,1164.0,4000.0,ordinal,0.0
36,31.0,2,8,1.0,1111.0,1157.0,4000.0,ordinal,0.0
37,31.0,3,8,1.0,1089.0,1182.0,4000.0,ordinal,0.0
38,31.0,4,8,2.0,1113.0,1135.0,4000.0,ordinal,0.0
39,31.0,5,8,2.0,993.0,1262.0,4000.0,ordinal,0.0
40,31.0,1,9,3.0,1256.0,1325.0,4000.0,ordinal,0.0
41,31.0,2,9,2.0,1268.0,1318.0,4000.0,ordinal,0.0
42,31.0,3,9,3.0,1196.0,1318.0,4000.0,ordinal,0.0
43,31.0,4,9,3.0,1268.0,1344.0,4000.0,ordinal,0.0
44,31.0,5,9,1.0,1220.0,1476.0,4000.0,ordinal,0.0
45,31.0,1,10,2.0,1486.0,1523.0,4000.0,ordinal,0.0
46,31.0,2,10,2.0,1457.0,1527.0,4000.0,ordinal,0.0
47,31.0,3,10,2.0,1451.0,1516.0,4000.0,ordinal,0.0
48,31.0,4,10,1.0,1484.0,1536.0,4000.0,ordinal,0.0
49,31.0,5,10,5.0,1437.0,1438.0,4000.0,ordinal,0.0
