,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,Probability,2,,ordinal,1,0.0,Inappropriate confidence,1,100029,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,0495a1e9-0dcf-4361-8b64-8dbe5a160a9a,ad281778-db6c-42e1-8c49-402748ffd73c,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,63b2b253-e122-4778-9a19-b1a3555cc082,ordinal,1,0.7853812700750918,0.7853812700750918,[],nan,nan,0.7853812700750918,3,5,nan,To what extent does the confidence seem justified?,Completely justified,True,0.0,Probability
1,Probability,2,,ordinal,1,0.0,Inappropriate confidence,53,100029,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,82f4eb23-306c-445c-ab09-1255fb056f8a,ea707282-0420-45fc-8e22-76405b434c45,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,63b2b253-e122-4778-9a19-b1a3555cc082,ordinal,1,0.9559032884214784,0.9559032884214784,[],nan,nan,0.9559032884214784,4,5,nan,To what extent does the confidence seem justified?,Completely justified,True,0.0,Probability
2,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,92,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,e5a95ea8-925c-430f-a1a9-15128986953d,328e6c74-02dd-4ec4-97b4-48cb3262747a,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,be49d63d-3beb-467a-aa7c-718edc7ed4f7,ordinal,2,0.6226809495855694,0.6226809495855694,[],nan,nan,0.6226809495855694,3,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.3113404747927847,Probability
3,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,45,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,71aee45d-9e92-4b79-81c0-617a45d18e9b,762b001a-45af-4cd8-84a9-3168755d2bcf,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,be49d63d-3beb-467a-aa7c-718edc7ed4f7,ordinal,2,0.8648259251435817,0.8648259251435817,[],nan,nan,0.8648259251435817,3,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.43241296257179085,Probability
4,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,69,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,a6065bd7-6b98-4b54-95a8-322a80a16cc0,5bb581c4-7408-417a-8956-405c0a7298a8,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,be49d63d-3beb-467a-aa7c-718edc7ed4f7,ordinal,2,0.7132130893646421,0.7132130893646421,[],nan,nan,0.7132130893646421,3,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.35660654468232106,Probability
5,Probability,2,,ordinal,2,-0.5,Inappropriate confidence,76,100030,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,bd28227f-65ab-426b-b41b-a0b9cbecea28,0ab1b8ae-c3a5-49d7-b84c-29d8067d877b,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,be49d63d-3beb-467a-aa7c-718edc7ed4f7,ordinal,2,0.7853812700750918,0.7853812700750918,[],nan,nan,0.7853812700750918,3,5,nan,To what extent does the confidence seem justified?,Mostly justified,True,-0.3926906350375459,Probability
6,Probability,2,,ordinal,3,-1.0,Inappropriate confidence,31,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,4cccdac9-e8cb-4d80-8180-15ec7eb14009,c296c8e1-dbcb-439c-99de-08772c490da7,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,7dff2434-b492-4089-8f8f-5da4704ce257,ordinal,3,0.713213089364642,0.713213089364642,[],nan,nan,0.713213089364642,3,5,nan,To what extent does the confidence seem justified?,Somewhat justified,True,-0.713213089364642,Probability
7,Probability,2,,ordinal,3,-1.0,Inappropriate confidence,60,100029,4c3b112770659ce6b8ac1363730d5843907463a9f5535277b674a6ad19e87364,8382977c-de75-41b9-b409-e710a79e14b6,0d1a7b45-6e09-4efc-b467-22f5e3cfd7e2,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,7dff2434-b492-4089-8f8f-5da4704ce257,ordinal,3,0.631517202916897,0.631517202916897,[],nan,nan,0.631517202916897,4,5,nan,To what extent does the confidence seem justified?,Somewhat justified,True,-0.631517202916897,Probability
8,Probability,2,,ordinal,3,-1.0,Inappropriate confidence,23,100030,dafa2bb8de86d276aa69797936139a5fdb4c067ef5353f586b53fab36bdd360b,47e97070-1a56-45e5-8f38-5a43880bb6ef,b620fa65-6dc8-469d-a657-26a523b6a4f1,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,7dff2434-b492-4089-8f8f-5da4704ce257,ordinal,3,1.0,1.0,[],nan,nan,1.0,3,5,nan,To what extent does the confidence seem justified?,Somewhat justified,True,-1.0,Probability
9,Probability,2,,ordinal,3,-1.0,Inappropriate confidence,15,100031,729c16dbf760152f8bb67a7ecfbb15a25ae7f594fe35bd711c1d5e1ef1ff5c1f,25d71212-797d-4a1f-9acd-5fc86d14ede4,32224b0d-85e0-4906-9f85-19c48746b091,Probability Specialist V4,65f41c5a11228e225f5a1f7fecdda76385de5b42626d8b7e4f6223081093b7f6,7dff2434-b492-4089-8f8f-5da4704ce257,ordinal,3,0.7853812700750918,0.7853812700750918,[],nan,nan,0.7853812700750918,3,5,nan,To what extent does the confidence seem justified?,Somewhat justified,True,-0.7853812700750918,Probability
