schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q1.A10,T1.Q1.A11,T1.Q1.A12,T1.Q1.A13,T1.Q2,T1.Q3,T1.Q4,T1.Q5.A1,T1.Q5.A2,T1.Q5.A3,T1.Q5.A4,T1.Q5.A5,T1.Q5.A6,T1.Q5.A7,T1.Q5.A8,T1.Q6,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11.A1,T1.Q11.A2,T1.Q11.A3,T1.Q11.A4,T1.Q12
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,ccb0c1a5-5b70-4d35-9d0a-0b534cd8ee58,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-04 16:35:34.362345,2018-09-04 16:36:18.594442,44.232097,"T1.Q1, T1.Q11, T1.Q12",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,5: 50-50
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,fd0f92b8-b1a1-4fe2-8f63-e4d624370dd4,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-04 17:01:39.102932,2018-09-04 17:01:39.143194,0.040262,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,Not at all,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,ebd10f70-a53e-4a96-a8a2-4d0e5d1436e3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-09-04 18:26:20.368494,2018-09-04 18:30:20.518390,240.149896,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,15f78195-abb7-47c7-ab96-8fe0ccaa3f2a,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-10-19 18:07:56.200582,2018-10-19 18:07:56.247681,0.047099,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Mildly,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,bd651799-eb40-452a-81ab-9219e3d2a1d2,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-02-26 23:33:33.633002,2019-02-26 23:51:41.036873,1087.403871,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,51c820c5-f48f-4ffb-b7d0-91f87fe19763,47f10cb0-4a56-4b77-ba40-5414b1332642,2019-02-27 00:07:33.113989,2019-02-27 00:09:29.133745,116.019756,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Mildly,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,8ff0ca73-f52a-499f-bee6-8aed429c1714,f18207d6-37cb-4349-a31e-a4ff2adcf299,2019-03-02 19:24:51.628869,2019-03-02 19:25:53.671782,62.042913,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,07a51958-96fa-4bc5-b4b7-6e2f06e2bd63,93b5d16a-4388-49d6-9217-d6607167f6c2,2019-03-02 22:13:02.281451,2019-03-02 22:27:05.058508,842.777057,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,81e8d566-0ac5-4e3b-99be-c3a14c1ecfa8,d970aaa4-3cde-4e75-937b-ea73fb0ca0f1,2019-03-03 06:09:19.969433,2019-03-03 06:10:46.177176,86.207743,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,Mildly,0,1,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,936a7155-5aa4-4c75-9a66-75b840257ede,fb0bfdce-316c-46b8-a7f3-097457d92afb,2019-03-03 18:13:18.464751,2019-03-03 18:29:59.282062,1000.817311,"T1.Q1, T1.Q3, T1.Q11, T1.Q12",0,1,0,0,0,0,0,0,0,0,0,0,0,,Considerable misrepresentation,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,8
