schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q1.A10,T1.Q1.A11,T1.Q1.A12,T1.Q1.A13,T1.Q2,T1.Q3,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q7,T1.Q9,T1.Q10,T1.Q11,T1.Q12.A1,T1.Q12.A2,T1.Q12.A3,T1.Q12.A4,T1.Q13,T1.Q15
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7e42d615-d2af-4fa5-97e4-55fa9735109c,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-08-29 18:30:28.894952,2018-08-29 18:32:08.145818,99.250866,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q13, T1.Q15",0,1,0,0,1,1,0,0,0,1,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Maybe,,1,0,0,0,Mildly,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,47a3de70-d3d4-43a7-83bd-f98c9169cce6,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-08-26 04:17:27.097995,2018-08-26 04:18:48.756668,81.658673,"T1.Q1, T1.Q2, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q15",1,0,1,0,0,1,0,1,0,0,0,0,0,MILDLY excessive/inappropriate,,,0,0,0,0,0,0,0,0,,Mildly inappropriate,"Yes, somewhat",Not at all,0,1,0,0,,5: 50-50
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,361071d9-b962-4a1c-8f14-cab6053cff1f,2abbe1a3-c9a7-41ab-9738-64ca86756d37,2018-08-26 22:58:53.164746,2018-08-26 23:05:27.018139,393.853393,"T1.Q1, T1.Q2, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q15",1,1,1,0,1,1,0,0,0,0,0,1,0,MILDLY excessive/inappropriate,Minor misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,No,,1,0,0,0,,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,61f8f225-e23a-4ab7-8746-e648192c33db,e4a2f20b-0ee3-4d4c-a622-e392d1150ec8,2018-08-27 05:03:41.282680,2018-08-27 05:07:25.522872,224.240192,"T1.Q1, T1.Q2, T1.Q9, T1.Q10, T1.Q12, T1.Q15",1,0,0,0,1,1,0,0,0,0,1,0,0,MILDLY excessive/inappropriate,,,0,0,0,0,0,0,0,0,,Completely appropriate,No,,1,0,0,0,,9
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,76d4f391-68d6-417b-8a5b-3a83b214e0b6,789ee4ea-ea9b-4fa4-b25c-8fd978f82877,2018-08-27 19:27:07.297663,2018-08-27 19:30:18.244727,190.947064,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,1,0,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,21e95226-e06a-4cbe-84e1-38b397a7e875,fed45769-aa61-4b8b-847e-a9c799acce15,2018-08-28 01:59:54.060261,2018-08-28 02:01:28.895495,94.835234,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,1: I was guessing randomly for everything
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,211cb397-f340-4e38-90ac-d2687180ef6b,4d73af15-21ec-432e-9ca0-cb19c21a62a3,2018-08-28 20:02:25.789113,2018-08-28 20:16:45.182058,859.392945,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q15",0,1,0,0,1,1,0,0,0,0,0,0,0,,Considerable misrepresentation,,0,0,0,0,0,0,0,0,,Somewhat inappropriate,No,,1,0,0,0,,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,cf07df70-a149-485b-8435-6412259db0a2,6ac98bad-9204-48e3-8c52-e0911a795664,2018-08-28 20:36:05.675599,2018-08-28 20:40:18.782091,253.106492,"T1.Q1, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q15",0,0,0,1,0,1,0,1,0,0,0,0,0,,,Very strong,0,0,1,0,0,0,0,0,,Moderately inappropriate,Maybe,Not at all,1,0,0,0,,7
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,22fd1f22-eed3-4a5b-9831-48575de510cf,566f0fa0-7d81-4f43-9c3f-dca97642bd5f,2018-08-28 20:57:50.381093,2018-08-28 21:09:28.978021,698.596928,"T1.Q1, T1.Q9, T1.Q10, T1.Q12, T1.Q15",0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,Mildly inappropriate,"Yes, somewhat",,0,1,0,0,,7
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,eae5eaa9-df05-4e0c-a138-1f973995f146,8f5ca426-1f9e-4999-b229-0f567b6a5a84,2018-08-28 23:08:40.199809,2018-08-28 23:13:31.872899,291.67309,"T1.Q1, T1.Q3, T1.Q12, T1.Q13, T1.Q15",0,1,0,0,1,0,0,0,0,1,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,Somewhat,8
