,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
0,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,1,1.0,0.0,L,L,L,0.5,0.5,0.5,5,3,,Is a causal claim made? Highlight the section(s) that supports your answer.,"Yes: General Causal Claim (i.e., in general, X causes Y)",True
1,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,2,0.8,0.2,L,L,L,0.4,0.5,0.5,5,3,,Is a causal claim made? Highlight the section(s) that supports your answer.,"Yes: Singular Causal Claim (i.e., in this particular case, A caused/is causing B)",True
2,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,5,3,L,Is a causal claim made? Highlight the section(s) that supports your answer.,L,True
12,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,3,0,0,0.0,0.0,0,0,0,0.0,0.5,0.5,0,0,0,What other evidence is given?,zero,True
13,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,4,ordinal,1,0.9553605099474312,0.9553605099474312,[],,,0.9553605099474312,0.5,0.5,5,5,,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,Fully,True
14,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,5,ordinal,3,0.8334701898431784,0.8334701898431784,L,L,L,0.4167350949215892,0.5,0.5,5,6,,How representative is the sample of the population that the claim is made about?,Somewhat representative,True
15,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,6,ordinal,3,0.7636275885860788,0.7636275885860788,L,L,L,0.3818137942930394,0.5,0.5,5,6,,"Was there an adequate control? If so, highlight section.",Questionably appropriate control,True
17,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,8,0,0,0.0,0.0,0,0,0,0.0,0.5,0.5,0,0,0,What is the best alternative explanation you can think of that could lead to the same set of evidence?,zero,True
18,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,9,ordinal,1,0.9505023280326036,0.9505023280326036,[],,,0.9505023280326036,0.5,0.5,5,7,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Much more likely than author’s,True
21,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,12,ordinal,1,0.970778541358644,0.970778541358644,[],,,0.970778541358644,0.5,0.5,4,5,,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could NOT be canceled out by collecting more data)?",Extremely Likely,True
22,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,13,ordinal,1,0.7387138949015927,0.7387138949015927,L,L,L,0.3693569474507963,0.5,0.5,5,4,,Does the author suggest in any way that further evidence might improve our understanding of the topic?,"Yes, expicitly",True
23,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,14,ordinal,7,0.8911425723165086,0.8911425723165086,[],,,0.8911425723165086,0.5,0.5,5,10,,"How confident are you about your answers, on the whole?",7,True
24,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,15,0,0,0.0,0.0,0,0,0,0.0,0.5,0.5,0,0,0,Please let us know if you have suggestions for how we might improve this task or its interface. Thank you for participating!,zero,True
