,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content
0,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,1,1.0,0.0,L,L,L,0.5,0.5,0.5,5,3,,Is a causal claim made? Highlight the section(s) that supports your answer.,"Yes: General Causal Claim (i.e., in general, X causes Y)"
1,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,2,0.8,0.2,L,L,L,0.4,0.5,0.5,5,3,,Is a causal claim made? Highlight the section(s) that supports your answer.,"Yes: Singular Causal Claim (i.e., in this particular case, A caused/is causing B)"
2,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,1,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,5,3,L,Is a causal claim made? Highlight the section(s) that supports your answer.,L
3,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,M,0.6,0.4,M,M,M,0.3,0.5,0.5,5,9,M,What evidence is given for the primary causal claim? Select all that apply.,M
4,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,M,0.4,0.6,M,M,M,0.2,0.5,0.5,5,9,M,What evidence is given for the primary causal claim? Select all that apply.,M
5,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
6,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
7,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,5,1.0,0.0,L,L,L,0.5,0.5,0.5,5,9,,What evidence is given for the primary causal claim? Select all that apply.,"An experimental study was conducted (natural experiments OK, including before/after comparison)"
8,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,M,0.4,0.6,M,M,M,0.2,0.5,0.5,5,9,M,What evidence is given for the primary causal claim? Select all that apply.,M
9,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
10,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.2,0.8,L,L,L,0.1,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
11,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,2,checklist,L,0.0,1.0,L,L,L,0.0,0.5,0.5,5,9,L,What evidence is given for the primary causal claim? Select all that apply.,L
12,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,3,0,0,0.0,0.0,0,0,0,0.0,0.5,0.5,0,0,0,What other evidence is given?,zero
13,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,4,ordinal,1,0.9553605099474312,0.9553605099474312,[],,,0.9553605099474312,0.5,0.5,5,5,,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,Fully
14,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,5,ordinal,3,0.8334701898431784,0.8334701898431784,L,L,L,0.4167350949215892,0.5,0.5,5,6,,How representative is the sample of the population that the claim is made about?,Somewhat representative
15,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,6,ordinal,3,0.7636275885860788,0.7636275885860788,L,L,L,0.3818137942930394,0.5,0.5,5,6,,"Was there an adequate control? If so, highlight section.",Questionably appropriate control
16,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,7,nominal,M,0.75,0.5,M,M,M,0.375,0.5,0.5,4,3,M,Was randomized assignment used?,M
17,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,8,0,0,0.0,0.0,0,0,0,0.0,0.5,0.5,0,0,0,What is the best alternative explanation you can think of that could lead to the same set of evidence?,zero
18,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,9,ordinal,1,0.9505023280326036,0.9505023280326036,[],,,0.9505023280326036,0.5,0.5,5,7,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Much more likely than author’s
19,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,10,ordinal,M,0.6149321633158761,0.6149321633158761,M,M,M,0.30746608165793804,0.5,0.5,5,3,M,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,M
20,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,11,ordinal,M,0.7605078530008333,0.7605078530008333,M,M,M,0.3802539265004167,0.5,0.5,4,5,M,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",M
21,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,12,ordinal,1,0.970778541358644,0.970778541358644,[],,,0.970778541358644,0.5,0.5,4,5,,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could NOT be canceled out by collecting more data)?",Extremely Likely
22,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,13,ordinal,1,0.7387138949015927,0.7387138949015927,L,L,L,0.3693569474507963,0.5,0.5,5,4,,Does the author suggest in any way that further evidence might improve our understanding of the topic?,"Yes, expicitly"
23,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5a5f70f3-28c1-4fda-b657-adbd78ada7b5,Evidence Specialist 3,14,ordinal,7,0.8911425723165086,0.8911425723165086,[],,,0.8911425723165086,0.5,0.5,5,10,,"How confident are you about your answers, on the whole?",7
