,article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text,arg_T1.Q1,source_T1.Q1,source_T1.Q2,source_T1.Q3,source_T1.Q4
6,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,8debf58f-e84e-4051-881b-7aa9f969805a,NYU_Form,Arguments,4,,{},1,5292,5802,"Giuliani has acknowledged broadly asking Ukraine to investigate the Bidens and defended the move as appropriate. Although he is a private citizen, not a government employee, he has claimed he acted at the State Department\u2019s behest. The State Department has not commented.\n\n\u201cI did not do this on my own, I did it at the request of the State Department \u2014 I have a \u2018thank you\u2019 from them for doing a good job,\u201d Giuliani said Sunday on CBS\u2019 \u201cFace the Nation.\u201d He said Secretary of State Michael R. Pompeo \u201cwas aware",M,0.0,0.0,0.0,0.0
7,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,986fdb1d-f5c7-44b3-8456-3445a0597598,NYU_Form,Arguments,6,,{},5,167,371,"Ukraine\u2019s former top law enforcement official says he repeatedly rebuffed demands by President Trump\u2019s personal lawyer to investigate Joe Biden and his son, insisting he had seen no evidence of wrongdoing",1,0.0,0.0,0.0,0.0
8,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,986fdb1d-f5c7-44b3-8456-3445a0597598,NYU_Form,Arguments,6,,{},5,506,720,he would be happy to cooperate if the FBI or other U.S. authorities began their own investigation of the former vice president and his son Hunter but insisted they had not broken any Ukrainian laws to his knowledge,1,0.0,0.0,0.0,0.0
9,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,986fdb1d-f5c7-44b3-8456-3445a0597598,NYU_Form,Arguments,6,,{},5,786,1158,"he had urged Giuliani to launch a U.S. inquiry and go to court if he had any evidence but not to use Ukraine to conduct a political vendetta that could affect the U.S. election.\n\n\u201cI said, \u2018Let\u2019s put this through prosecutors, not through presidents,\u2019 \u201d Lutsenko told The Times.\n\n\n\u201cI told him I could not start an investigation just for the interests of an American official",1,0.0,0.0,0.0,0.0
10,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,986fdb1d-f5c7-44b3-8456-3445a0597598,NYU_Form,Arguments,6,,{},5,2957,3075,Lutsenko said he was eager to cooperate with Giuliani and Trump but did not have sufficient evidence to act on his own,1,0.0,0.0,0.0,0.0
11,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,986fdb1d-f5c7-44b3-8456-3445a0597598,NYU_Form,Arguments,6,,{},5,6588,6770,"He was wondering why the case was closed,\u201d he said. \u201cI had to tell him how law enforcement functions here.\u201d\n\nHe said his hands were tied and he could not reopen the case just because",1,0.0,0.0,0.0,0.0
12,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,0a6a6741-fac1-45fe-bd86-f790635e942b,NYU_Form,Arguments,7,,{},1,6789,7236,"Trump has suggested that one of Biden\u2019s misdeeds was to demand the firing of Lutsenko\u2019s predecessor, Viktor Shokin, to prevent him from investigating Hunter Biden.\n\nBut U.S. and European officials had demanded Shokin\u2019s ouster as part of a crackdown on widespread corruption in the former Soviet republic.\n\n\u201cThe thinking was Ukraine could do a lot more\u201d to fight corruption, David Cameron, the British prime minister at the time, said Sunday on CNN",2,0.0,0.0,0.0,0.0
0,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,94431384-457d-4f51-a053-fcf560c43067,NYU_Form,Arguments,1,,{},1,2305,2599,"Yovanovitch had pushed Ukraine\u2019s government to more aggressively crack down on corruption. But the White House considered her insufficiently loyal to Trump, apparently because she resisted pressuring Ukraine on his priorities, and she became a target of conservative critics, including Giuliani",3,0.0,0.0,0.0,0.0
2,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,4ae0e754-1bf1-46df-9c2a-18c1738219e8,NYU_Form,Arguments,3,,{},4,3572,4365,"On July 25, Trump spoke to Zelensky by telephone from the White House. According to a declassified memorandum released by the White House last week that reconstructed the conversation, Trump asked Zelensky for a \u201cfavor\u201d and urged him to \u201clook into\u201d Biden and his son.\n\nHe linked his comments directly to Zelensky\u2019s request to buy U.S. antitank weapons to help counter Russia-backed separatists in eastern Ukraine, and the new president\u2019s hopes of securing a White House meeting.\n\nDuring the 30-minute call, Trump asked Zelensky at least five times to work with Atty. Gen. William Barr in addition to Giuliani.\n\n\u201cI will have Mr. Giuliani give you a call and I am also going to have Atty. Gen. Barr call and we will get to the bottom of it,\u201d Trump told Zelensky. \u201cI\u2019m sure you will figure it out",2,0.0,0.0,0.0,0.0
3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8477,27c9f907-e03b-4f8b-a51c-3a0ca4c675b5,NYU_Form.adjudicated,85c4a58f-ed38-42d2-9f46-ebffff46fed2,Adjudicator nick task 1788 article number 100028,True,a9bae9b6-6b98-4423-ae0f-88f1dda23b05,4ae0e754-1bf1-46df-9c2a-18c1738219e8,NYU_Form,Arguments,3,,{},4,4519,5289,"Trump also asked Zelensky to look into CrowdStrike, a cybersecurity company that did work for the Democrats in the 2016 election and was the focus of conspiracy theories. The company is based in Irvine, but Trump apparently believed it operated from Ukraine.\n\nA week before the call, Trump had ordered aides to withhold disbursement of nearly $400 million in military and State Department assistance that Congress had approved for Ukraine. He gave no reason for blocking the aid.\n\nPreviously, Trump had bragged about having secured the aid, saying it showed he was more supportive of Ukraine than President Obama had been. The funds and material were finally released this month after Congress was notified of a whistleblower complaint involving Trump\u2019s call to Zelensky",2,0.0,0.0,0.0,0.0
