schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q1.A10,T1.Q1.A11,T1.Q1.A12,T1.Q1.A13,T1.Q2,T1.Q3,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q7,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13,T1.Q14,T1.Q15
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,f61eaa56-1afa-44f1-b317-222bfa47ae0b,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.615246,2019-11-13 20:12:40.192977,305.577731,"T1.Q1, T1.Q3, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,0,0,0,0,0,0,1,0,0,,The exaggeration could not possibly mislead anyone,,0,0,0,0,0,0,0,0,,,,,Nope,,4,6
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,8469a9ba-a4e3-4ee1-94fb-7236166c641a,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 20:28:23.586047,2019-11-13 20:36:27.327483,483.741436,"T1.Q1, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,0,0,1,0,1,0,0,0,0,0,0,0,,,Somewhat strong,1,0,0,0,1,0,0,0,,Moderately inappropriate,No,,Good job!,,5: Middling difficulty,7
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,294436d3-7451-40fe-9a0d-6d3996d02900,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2019-11-13 21:46:08.812870,2019-11-13 21:59:32.988443,804.175573,"T1.Q1, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,0,0,1,0,1,0,0,0,0,1,0,0,,,Somewhat strong,0,0,1,0,1,0,0,0,,Completely appropriate,"Yes, somewhat",,Excellent job! (artfully and fairly presenting a very difficult subject),,6,6
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,f02ce3de-1a9c-415b-b652-838f2128ef4e,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-13 22:05:16.303567,2019-11-13 22:06:26.139663,69.836096,"T1.Q1, T1.Q5, T1.Q6, T1.Q12, T1.Q14, T1.Q15",0,0,0,1,0,0,0,0,0,0,0,0,0,,,Very mild,0,0,0,0,0,0,1,0,,,,,Nope,,6,5: 50-50
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,54c0bd02-0a38-4390-8825-867e46e85b56,https://pe.goodlylabs.org/project/NYU_Language2/task/2409,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,d2e805e9-4a32-48cb-9621-0bc6a676cf5f,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-11-13 22:26:28.552129,2019-11-13 22:32:04.830108,336.277979,"T1.Q1, T1.Q3, T1.Q5, T1.Q6, T1.Q12, T1.Q14, T1.Q15",0,1,0,1,0,0,0,0,0,0,0,0,0,,Considerable misrepresentation,Moderate,1,0,0,0,1,0,0,0,,,,,Nope,,5: Middling difficulty,5: 50-50
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,b372e02c-a073-40f9-88dc-facd3ddd6e25,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2019-11-13 20:07:34.837033,2019-11-13 20:16:40.205800,545.368767,"T1.Q1, T1.Q12, T1.Q13, T1.Q14, T1.Q15",0,0,1,0,0,0,0,0,0,1,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,Nope,Very Mildly,3,8
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,39e2e035-131b-41e7-9cd2-b6213f13e29c,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 20:28:23.705975,2019-11-13 20:39:50.441080,686.735105,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,,,,Good job!,,5: Middling difficulty,7
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,2b848ef3-299e-47ca-9379-c3c518ea4c90,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2019-11-13 21:46:08.952192,2019-11-13 22:02:39.198826,990.246634,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,,,,Excellent job! (artfully and fairly presenting a very difficult subject),,6,6
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,a20f117d-060c-49e3-b31a-54494c2705f5,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-13 22:05:16.509538,2019-11-13 22:07:57.372406,160.862868,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,,,,Good job!,,5: Middling difficulty,6
NYU_Language2,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,25826f59-1fe3-440f-868d-ce59cc15b977,https://pe.goodlylabs.org/project/NYU_Language2/task/2410,5,3,NYU_Articles/Pilot/FormerUkraineProsecutorSaysHe.txt,100028,FormerUkraineProsecutorSaysHe.txt,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,ad304ad0-dc42-4035-bc1d-333471ecd4b3,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-11-13 22:26:28.687481,2019-11-13 22:34:24.168770,475.481289,"T1.Q1, T1.Q5, T1.Q6, T1.Q12, T1.Q14, T1.Q15",0,0,0,1,0,0,0,0,0,0,0,0,0,,,Moderate,1,1,0,0,0,0,0,0,,,,,Nope,,5: Middling difficulty,6
