schema_namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,task_uuid,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,submitted_tua
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,99182ea4-a87a-4339-b3ac-bc29f260ab22,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,df6507e7-c1e8-45e4-a991-dfdffb3ed610,3,4,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,Probability Specialist V4,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,234ad83d-cd43-4b6b-9bf1-66185614d37e,e5c95815-6ada-4ac4-a0e9-5fbe23f860e2,Yes,1,1,"[{""case_number"": 1, ""text"": ""to the fact"", ""answer_id"": 4803, ""end"": 496, ""start"": 485}]"
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,99182ea4-a87a-4339-b3ac-bc29f260ab22,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,df6507e7-c1e8-45e4-a991-dfdffb3ed610,3,4,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,Probability Specialist V4,T1.Q2,To what extent does the confidence seem justified?,T1.Q2.A3,Somewhat justified,e1c45989-f0aa-4490-bd2b-0836b199bc34,bc97891c-fbb1-4714-b718-6bdb92f02ddb,Somewhat justified,0,0,[]
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,99182ea4-a87a-4339-b3ac-bc29f260ab22,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,df6507e7-c1e8-45e4-a991-dfdffb3ed610,3,4,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,Probability Specialist V4,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",T1.Q5.A3,No,a8ab9ba4-6aad-4109-8072-52f5a51bbba9,c4789e50-711b-470e-bb1f-ecea4ea97a77,No,0,0,[]
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,99182ea4-a87a-4339-b3ac-bc29f260ab22,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,df6507e7-c1e8-45e4-a991-dfdffb3ed610,3,4,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,Probability Specialist V4,T1.Q6,Are any numbers given?,T1.Q6.A1,No,8ab7ae5b-336c-4c31-b76e-faa490dd9bf7,5f5fa373-005a-44ba-9f36-3d1112db69cb,No,0,0,[]
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,99182ea4-a87a-4339-b3ac-bc29f260ab22,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,df6507e7-c1e8-45e4-a991-dfdffb3ed610,3,4,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,Probability Specialist V4,T1.Q11,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,T1.Q11.A4,"No, not at all",4ddafbb5-c56e-470f-85e5-88fa5f09e311,f3639b10-9e36-4451-8777-0006c721c637,"No, not at all",0,0,[]
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,99182ea4-a87a-4339-b3ac-bc29f260ab22,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,df6507e7-c1e8-45e4-a991-dfdffb3ed610,3,4,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,Probability Specialist V4,T1.Q13,"How difficult was this task for you, on the whole?",T1.Q13.A5,5: Middling difficulty,e052e1ad-127d-404e-8388-c0a3019ec713,c9bd7baf-55bb-4bbb-9764-e44c6b4c9f0f,5: Middling difficulty,0,0,[]
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,99182ea4-a87a-4339-b3ac-bc29f260ab22,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,df6507e7-c1e8-45e4-a991-dfdffb3ed610,3,4,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,Probability Specialist V4,T1.Q14,"How confident are you about your answers, on the whole?",T1.Q14.A8,8,9ee3d72c-5c95-40a6-9663-afcd156bcdc1,8ae3de16-5e20-479f-a53a-b5c41237c4ef,8,0,0,[]
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,cfecc271-3fc7-4fde-be29-ae3c743c2826,https://pe.goodlylabs.org/project/NYU_Probability2/task/2454,9f78d683-97cf-4a2b-9fe4-7c7e85039cca,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,9c7cf7c5-006a-4d5d-badc-ccda9c6e5461,3,4,fb7019c5-3960-4e82-8717-dacdeb7e8eb1,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.432547,2019-11-13 21:27:23.475880,64.043333,Probability Specialist V4,T1.Q1,Does the text make any claims with great confidence? Highlight the relevant part.,T1.Q1.A1,Yes,234ad83d-cd43-4b6b-9bf1-66185614d37e,3090f8fc-f207-406d-9b2d-2d4626c1d6d6,Yes,1,1,"[{""case_number"": 1, ""text"": ""the picture is pretty clear that"", ""answer_id"": 4803, ""end"": 2149, ""start"": 2117}]"
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,cfecc271-3fc7-4fde-be29-ae3c743c2826,https://pe.goodlylabs.org/project/NYU_Probability2/task/2454,9f78d683-97cf-4a2b-9fe4-7c7e85039cca,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,9c7cf7c5-006a-4d5d-badc-ccda9c6e5461,3,4,fb7019c5-3960-4e82-8717-dacdeb7e8eb1,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.432547,2019-11-13 21:27:23.475880,64.043333,Probability Specialist V4,T1.Q2,To what extent does the confidence seem justified?,T1.Q2.A2,Mostly justified,5b18caac-a3ac-4f1c-acdd-9c8354d9fb0e,f775062b-0ac4-4e71-97fa-69e12b1cce24,Mostly justified,0,0,[]
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,cfecc271-3fc7-4fde-be29-ae3c743c2826,https://pe.goodlylabs.org/project/NYU_Probability2/task/2454,9f78d683-97cf-4a2b-9fe4-7c7e85039cca,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,2442,9c7cf7c5-006a-4d5d-badc-ccda9c6e5461,3,4,fb7019c5-3960-4e82-8717-dacdeb7e8eb1,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.432547,2019-11-13 21:27:23.475880,64.043333,Probability Specialist V4,T1.Q5,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",T1.Q5.A3,No,a8ab9ba4-6aad-4109-8072-52f5a51bbba9,e50ff399-898e-4634-8836-58d472d28266,No,0,0,[]
