schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1,T1.Q2,T1.Q5,T1.Q6,T1.Q7,T1.Q10,T1.Q11,T1.Q12.A1,T1.Q12.A2,T1.Q12.A3,T1.Q12.A4,T1.Q12.A5,T1.Q13,T1.Q14
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,3ab643a6-7eee-4d81-9958-a93a674187f6,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-11-13 23:15:46.240744,2019-11-13 23:16:47.000305,60.759561,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Not at all justified,No,No,,,"No, not at all",0,0,0,0,0,4,7
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,6dcb6bfd-37e8-4bd7-b2a7-57a3ee6d5e5a,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-13 22:09:51.978914,2019-11-13 22:10:33.581124,41.60221,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Somewhat justified,"Yes, implicitly",No,,,I can't tell,0,0,0,0,0,4,6
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,288b9c80-bd85-4be0-b377-d77538d03f6e,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2019-11-13 21:31:38.909450,2019-11-13 21:35:37.753471,238.844021,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Completely justified,No,No,,,"No, not at all",0,0,0,0,0,3,8
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,538be16d-6f08-44ce-bf72-36583c4e528f,https://pe.goodlylabs.org/project/NYU_Probability2/task/2453,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,5a7d55af-bc3b-42b5-822b-1aeb5bf700fc,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.319201,2019-11-13 21:26:41.598769,22.279568,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Somewhat justified,No,No,,,"No, not at all",0,0,0,0,0,5: Middling difficulty,8
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,cfecc271-3fc7-4fde-be29-ae3c743c2826,https://pe.goodlylabs.org/project/NYU_Probability2/task/2454,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,bb826073-47d4-4cac-8cb2-02faa2947726,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-11-13 23:15:46.596450,2019-11-13 23:17:20.694464,94.098014,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Not at all justified,No,No,,,"No, not at all",0,0,0,0,0,4,7
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,cfecc271-3fc7-4fde-be29-ae3c743c2826,https://pe.goodlylabs.org/project/NYU_Probability2/task/2454,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,b003321d-bead-4968-8420-1b9592b0042a,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-13 22:11:10.197086,2019-11-13 22:12:13.324298,63.127212,"T1.Q1, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",No,,No,No,,,"No, not at all",0,0,0,0,0,4,6
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,cfecc271-3fc7-4fde-be29-ae3c743c2826,https://pe.goodlylabs.org/project/NYU_Probability2/task/2454,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,b7901c9e-e233-4d8e-8e4c-25317c9c1f51,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2019-11-13 21:31:39.132740,2019-11-13 21:43:37.946895,718.814155,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Somewhat justified,No,No,,,"No, not at all",0,0,0,0,0,4,7
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,cfecc271-3fc7-4fde-be29-ae3c743c2826,https://pe.goodlylabs.org/project/NYU_Probability2/task/2454,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,fb7019c5-3960-4e82-8717-dacdeb7e8eb1,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-11-13 21:26:19.432547,2019-11-13 21:27:23.475880,64.043333,"T1.Q1, T1.Q2, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",Yes,Mostly justified,No,No,,,I can't tell,0,0,0,0,0,5: Middling difficulty,9
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,0f21a204-85a9-497a-89d5-3d65cfd95c75,https://pe.goodlylabs.org/project/NYU_Probability2/task/2455,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,97cccbfb-91ee-4206-afe3-fa19d659efe4,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-11-13 23:16:47.314282,2019-11-13 23:17:40.518269,53.203987,"T1.Q1, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",No,,No,No,,,"No, not at all",0,0,0,0,0,3,7
NYU_Probability2,420dc8660318a2f5335151c374ae2aaafb958a7b677e094fed1373a8954468f9,0f21a204-85a9-497a-89d5-3d65cfd95c75,https://pe.goodlylabs.org/project/NYU_Probability2/task/2455,4,3,NYU_Articles/Day1/RogerStoneTrialEndsRick.txt,100033,RogerStoneTrialEndsRick.txt,86d0e1839d825b8b56f2c7430efa716f4777e45dd001dd29ff68a3d232069e4c,eaee99ce-b4f2-4dfe-9542-70afa7353faa,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-11-13 22:11:10.528850,2019-11-13 22:16:03.481170,292.95232,"T1.Q1, T1.Q5, T1.Q6, T1.Q11, T1.Q13, T1.Q14",No,,No,No,,,I can't tell,0,0,0,0,0,4,8
