,Unnamed: 0,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0.1,article_num,article_sha256,quiz_task_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema,arg_match_score,source_match_score,arg_offsets,arg_case_number,src_offsets,src_case_number,arg_T1.Q1,arg_T1.Q2,arg_T1.Q3,points
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,Evidence,2.0,,categorical,1.0,0.0,Quality of evidence,135.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,bff699c4-cc50-4f82-8bf1-d13354bc0f29,checklist,1.0,0.7647058823529411,0.2352941176470589,L,L,L,0.38235294117647056,17.0,3.0,,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,"General Causation (in general, X causes Y)",True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Evidence,2.0,,categorical,1.0,0.0,Quality of evidence,44.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0b99412a-f09e-4153-9a36-74674e987a79,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,bff699c4-cc50-4f82-8bf1-d13354bc0f29,checklist,1.0,0.6470588235294118,0.3529411764705882,"[1144, 1145, 1146, 1147, 1148, 1149, 1150, 1151, 1152, 1153, 1154, 1155, 1156, 1157, 1158, 1159, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1193, 1194, 1195, 1196, 1197, 1198, 1199, 1200, 1201, 1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254]",0.507896944602386,0.3349191807438019,0.577477884065899,17.0,3.0,doctors’ prescribing habits — whether they give out opioids at a higher rate versus a lower rate — matter a lot,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,"General Causation (in general, X causes Y)",True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Evidence,2.0,,categorical,1.0,0.0,Quality of evidence,67.0,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,bff699c4-cc50-4f82-8bf1-d13354bc0f29,checklist,1.0,0.6470588235294118,0.3529411764705882,L,L,L,0.3235294117647059,17.0,3.0,,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,"General Causation (in general, X causes Y)",True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Evidence,2.0,,categorical,3.0,0.0,Quality of evidence,116.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,983244f8-22a2-4674-8c34-b2c83e3c755e,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,d583c4ea-bac3-4231-bf02-3305a841e26b,checklist,3.0,0.8823529411764706,0.11764705882352945,[],,,0.8823529411764706,17.0,3.0,,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,No causal claim made,True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Evidence,2.0,,categorical,3.0,0.0,Quality of evidence,2.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,d583c4ea-bac3-4231-bf02-3305a841e26b,checklist,3.0,0.6842105263157895,0.3157894736842105,[],,,0.6842105263157895,19.0,3.0,,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,No causal claim made,True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Evidence,5.0,,ordinal,1.0,0.0,Sample representativeness,80.0,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,71a296b3-a9b8-4cf9-aca7-68863b33fc62,ordinal,1.0,0.9566714047007924,0.9566714047007924,L,L,L,0.4783357023503962,14.0,6.0,,How representative is the sample of the population that the claim is made about?,Very representative (Also choose this if entire population is examined),True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Evidence,5.0,,ordinal,2.0,-0.4,Sample representativeness,56.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0b99412a-f09e-4153-9a36-74674e987a79,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,14832e61-b250-4465-9f1e-18fa6dbaf4a0,ordinal,2.0,0.7642184301183759,0.7642184301183759,"[1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1433, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448]",0.4487848161843404,0.29445311200186153,0.6065016231513581,13.0,6.0,"375,000 Medicare patients//an emergency department for//common reasons",How representative is the sample of the population that the claim is made about?,Fairly representative,True,-0.2426006492605433,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2426006492605433
7,7,Evidence,5.0,,ordinal,3.0,-1.0,Sample representativeness,147.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,b973e4c0-55d5-4878-b41a-69c65db81b11,ordinal,3.0,0.689411164686254,0.689411164686254,L,L,L,0.344705582343127,15.0,6.0,,How representative is the sample of the population that the claim is made about?,Somewhat representative,True,-0.344705582343127,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.344705582343127
8,8,Evidence,9.0,,ordinal,3.0,-2.0,Alternative explanation,174.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,d2de0341-c711-40d0-9790-176e94e84c67,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,0fb832e6-99a8-4bec-b8b1-b73594019f7c,ordinal,3.0,0.7966412823139591,0.7966412823139591,[],,,0.7966412823139591,10.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Equally likely,True,-1.5932825646279185,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5932825646279185
9,9,Evidence,9.0,,ordinal,4.0,-1.0,Alternative explanation,151.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,35499046-45e5-40b4-a10d-01d58df21318,ordinal,4.0,0.610051862786448,0.610051862786448,[],,,0.610051862786448,17.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Somewhat less likely,True,-0.610051862786448,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.610051862786448
10,10,Evidence,9.0,,ordinal,4.0,-1.0,Alternative explanation,197.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f676179d-3cf0-4ab1-9bb3-5126cd117f2f,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,35499046-45e5-40b4-a10d-01d58df21318,ordinal,4.0,0.6854769611161382,0.6854769611161382,[],,,0.6854769611161382,14.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Somewhat less likely,True,-0.6854769611161382,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6854769611161382
11,11,Evidence,9.0,,ordinal,5.0,0.0,Alternative explanation,60.0,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0b99412a-f09e-4153-9a36-74674e987a79,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,9e75d97b-2c03-4988-9cf6-079eb0b75308,ordinal,5.0,0.9558304053593006,0.9558304053593006,[],,,0.9558304053593006,13.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Much less likely,True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,Evidence,9.0,,ordinal,5.0,0.0,Alternative explanation,15.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,9e75d97b-2c03-4988-9cf6-079eb0b75308,ordinal,5.0,0.8648259251435817,0.8648259251435817,[],,,0.8648259251435817,6.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Much less likely,True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Evidence,9.0,,ordinal,5.0,0.0,Alternative explanation,37.0,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,0a3bcbba-d029-4e0e-a5e3-88f2781f5772,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,9e75d97b-2c03-4988-9cf6-079eb0b75308,ordinal,5.0,0.7936657589582087,0.7936657589582087,[],,,0.7936657589582087,7.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Much less likely,True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,Evidence,9.0,,ordinal,5.0,0.0,Alternative explanation,107.0,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,719108fa-1be3-40a7-8a4a-1c8a0312ecf6,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,9e75d97b-2c03-4988-9cf6-079eb0b75308,ordinal,5.0,0.779631851931354,0.779631851931354,[],,,0.779631851931354,11.0,5.0,,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",Much less likely,True,0.0,Evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
