Article Number,Question Number,Nick Agreement,Alpha Agreement
1,1,1.0,1.0
1,2,1.0,1.0
1,3,1.0,1.0
1,4,1.0,1.0
1,5,1.0,1.0
1,6,0.383909619993153,0.383909619993153
1,7,1.0,1.0
1,8,nan,nan
1,9,nan,-0.005294906166219748
1,10,0.49331081081081085,0.49331081081081085
1,12,-0.32445916311047784,-0.32445916311047784
1,13,0.6918219178082192,0.6918219178082192
1,14,0.2078521126760564,0.2078521126760564
1,15,nan,0.32443693693693687
1,16,nan,0.32443693693693687
1,17,nan,nan
1,19,nan,-0.013175675675675791
1,20,1.0,1.0
1,21,1.0,1.0
1,22,1.0,1.0
3,18,0.8292486338797814,0.8292486338797814
6,11,0.8198648648648649,0.8198648648648649
