schema,question_from,answer_from,question_to,answer_to,type
Language Specialist V2,1,1,2,-1,unitizing
Language Specialist V2,1,2,3,-1,unitizing
Language Specialist V2,1,3,4,-1,unitizing
Language Specialist V2,1,4,6,-1,unitizing
Language Specialist V2,1,4,5,-1,unitizing
Language Specialist V2,1,5,8,-1,unitizing
Language Specialist V2,1,6,9,-1,unitizing
Language Specialist V2,1,6,10,-1,unitizing
Language Specialist V2,1,7,11,-1,unitizing
Language Specialist V2,1,8,11,-1,unitizing
Language Specialist V2,1,9,11,-1,unitizing
Language Specialist V2,1,10,13,-1,unitizing
