if_schema,if_question,if_answer,if_ans_uuid,then_schema,then_q,mult
Overall,3,2,b1689186-39bb-4cc3-80b6-859d4bf0d371,Overall,2,2
Overall,3,3,2f47d547-9431-4fe3-8d43-631d64acb0af,Overall,2,1
Overall,3,4,8a734c5c-a493-4780-88cd-558d6b1282da,Overall,2,1
Overall,3,5,2990b2dd-ba55-4748-b594-e38f0c820947,Overall,2,0.7
Overall,3,6,0cd2d035-57f4-44da-ac37-64e57e6ae82f,Overall,2,1.5
Overall,3,7,0c2ec9f5-ed1d-41af-986a-2986ccf1e791,Overall,2,1
Overall,3,8,a44bbc54-31e6-450f-8abc-67b40add9f93,Overall,2,1
Overall,3,9,2877bb09-0a7a-4cfc-ae68-291ce2e9b74d,Overall,2,1
Overall,3,10,d12884e3-65d5-41f5-9abc-18ac8b6af3e5,Overall,2,0
,4,1,26b004af-e376-4fdd-9f14-ad01e1bd8511,Overall,2,3
,4,2,bdfcfa4c-edbe-42b5-931c-c5c499fba2e0,Overall,2,2.5
,4,3,cdb7b990-476b-463f-b9c9-bff2a4f68949,Overall,2,2.5
,4,4,6572c136-a566-40f7-9578-86bc864fa3a7,Overall,2,2
