article_filename,article_sha256,task_uuid,namespace,start_pos,end_pos,topic_name,case_number,target_text
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,9cf68cff-31d0-4395-8942-3f9dfc4622a5,nan,580,1663,Evidence,1,"The study involved 110 people with relapsing multiple sclerosis, a condition in which cells in the immune system start to inexplicably attack the critical covering that protects nerve cells in the spinal cord, brain and eye. Without the coating, nerves gradually lose their ability to send important electrical messages that control things like movement and vision. In the study, people were randomly assigned to receive current treatments for the disease, which can help slow the progression of the immune-driven damage to the nerve cells, or a stem cell transplant.\r\n\r\nPeople in the stem cell transplant group received chemotherapy to wipe out most of their current immune cells that were wrongly attacking neurons. They then took special medications to coax their stem cells, which produce the entire population of immune cells, out of the bone marrow and into the blood to start churning out new immune cells. After approximately three years, about 6% of the stem cell group experienced relapses, while 60% of the people in the control group receiving standard treatment relapsed"
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,9cf68cff-31d0-4395-8942-3f9dfc4622a5,nan,3452,3842,Evidence,1,"Bebo also notes that the trial involved people with relapsing MS, so it\u2019s not clear whether those with progressive MS \u2014 which accounts for about half of people currently living with the disease, according to the National MS Society \u2014 might benefit. While about 80% to 85% of people first diagnosed with MS are diagnosed with the relapsing form, that can evolve into progressive MS over time"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,b74f1577-1a8e-4cdc-bbf2-03b3f326ed26,nan,1555,1574,Language,1,is dismissive of Dr
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,b74f1577-1a8e-4cdc-bbf2-03b3f326ed26,nan,1584,1605,Language,1,come to Jesus\u201d moment
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,b74f1577-1a8e-4cdc-bbf2-03b3f326ed26,nan,1783,1791,Language,1,crackpot
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,b74f1577-1a8e-4cdc-bbf2-03b3f326ed26,nan,1818,1833,Language,1,Give me a break
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,9ae71874-7f31-4e6b-8ee5-e3b58c3e8992,nan,1963,1980,Language,1,there goes my hip
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,154e8fea-af3f-4c58-8020-6d603430ff75,nan,725,836,Reasoning,1,"a hard choice for the institution: either fire him immediately, or admit tacit denial of modern climate science"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,154e8fea-af3f-4c58-8020-6d603430ff75,nan,838,1000,Reasoning,1,"After all, if the climate isn\u2019t changing, how can we make sense of the Houston flooding, the 2018 California Wildfires, or the Chicago polar vortex just this year"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,154e8fea-af3f-4c58-8020-6d603430ff75,nan,2105,2312,Reasoning,2,"People forget that SKEPTIC actually endorsed more studies that corroborated warming global temperatures\u201d than otherwise because \u201cclimate studies are usually released in the fall, when joints aren\u2019t acting up"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,5d61641f-4704-4857-b370-3e2afb8e9a46,nan,2314,2344,Reasoning,2,"Plus, I didn\u2019t choose the name"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,bbe53a2b-6e09-4957-80ef-7a8b46f9b15e,nan,3457,3562,Reasoning,1,"Indeed, after Dr. Troy\u2019s hiring, the Twitter hashtag #neveragain has been trending among the student body"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,0abdff68-f8cb-4fe6-a55e-72555e306ecb,nan,423,599,Evidence,1,The study reveals a 30% greater chance that ice sheets of more than 100 square kilometers will break off of continental glaciers than ones that are 10 square kilometers or less
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,0abdff68-f8cb-4fe6-a55e-72555e306ecb,nan,727,874,Evidence,1,"That assumption, according to most experts at the NOAA, is responsible for every trusted model of sea level rise that gets cited in federal reports"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,0abdff68-f8cb-4fe6-a55e-72555e306ecb,nan,994,1623,Evidence,1,"Look, we have no direct evidence of ice sheets that large having broken off in the last 30 years. That\u2019s when models like this became somewhat more reliable in terms of available data,\u201d said Dr. Marolf, perhaps the highest-profile NOAA member who dismissed the study. \u201cEven before that, the few examples of breaks we\u2019ve accounted for were so rare and poorly-understood that they constitute edge cases. And the simulation also ignores recent climate commitments from the OECD countries that should lower projected carbon emissions. So you see, this study is an extrapolation, on top of an extrapolation, on top of an extrapolation"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,0abdff68-f8cb-4fe6-a55e-72555e306ecb,nan,1627,1748,Evidence,1,Dr. Marolf suggests that a follow-up simulation that incorporates most of her concerns would be worth paying attention to
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,5cfb8236-9328-46ca-8828-cf0bade9818c,nan,1760,1918,Evidence,1,ideally [she would] want new ice core samples from at least a quarter of the sheets they\u2019ve pointed to\u201d so that the previous study could be somewhat falsified
