schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options,
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,0e046506-16e6-4465-8f7d-dd6c8463f7de,T1.Q1,Is a causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,NONE,,{},3,faaaa143-e95b-42d0-9b7c-94465892dd1c,T1.Q1.A1,"Yes: General Causal Claim (i.e., in general, X causes Y)","T1.Q2, T1.Q4",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,0e046506-16e6-4465-8f7d-dd6c8463f7de,T1.Q1,Is a causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,NONE,,{},3,34a2d9a3-0ffd-465c-9c7d-458cf9a83b1a,T1.Q1.A2,"Yes: Singular Causal Claim (i.e., in this particular case, A caused/is causing B)","T1.Q2, T1.Q4",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,0e046506-16e6-4465-8f7d-dd6c8463f7de,T1.Q1,Is a causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,NONE,,{},3,200818a0-2175-41c0-8309-abbcaaf05c27,T1.Q1.A3,No causal claim made,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,3e61649a-43de-4df2-a6ed-fe0be3ca9d93,T1.Q2.A1,Correlation,T1.Q5,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,eebff473-914e-4394-8ee3-dff8ea742a71,T1.Q2.A2,Cause precedes effect,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,762c7ff5-196c-479f-8bfb-19074923b34b,T1.Q2.A3,The correlation appears across multiple independent contexts,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,57878c24-e5d9-473b-af68-fa825ec746d5,T1.Q2.A4,A plausible mechanism is proposed,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,840b2c53-3145-425a-945b-01495e915f63,T1.Q2.A5,"An experimental study was conducted (natural experiments OK, including before/after comparison)",T1.Q5,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,3262f543-2836-431e-a21a-50b640cd61f6,T1.Q2.A6,There is a clear dose-response curve,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,1ff8cfac-8599-451d-aa05-e54635064add,T1.Q2.A7,Experts are cited,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
