schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,35bcf1b9-ff9d-4966-bac5-26a4f873cc39,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1297,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,06115d17-a548-4032-b1d4-f8819dbc4199,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 18:59:34.848805,2018-08-30 19:00:50.609527,75.760722,T1.Q1,It is one of a few arguments the author wants the audience to agree with
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,35bcf1b9-ff9d-4966-bac5-26a4f873cc39,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1297,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,e9d84e61-58f5-405c-8335-1f13abc748dc,c37ed572-0042-460d-a585-7280158e1687,2018-08-30 22:43:54.232322,2018-08-30 22:47:23.589319,209.356997,T1.Q1,It is the main argument of the entire article
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,35bcf1b9-ff9d-4966-bac5-26a4f873cc39,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1297,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,113e931c-49b2-4129-b415-89c771ae4417,c5fa6934-8c1c-47d0-83a9-2d93d422fca8,2018-08-31 20:14:53.701833,2018-08-31 20:15:19.631495,25.929662,T1.Q1,It is the main argument of the entire article
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,0a7316d3-70b0-4720-8722-1b1fa2bc9ed1,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1298,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,32b03e88-2406-44f8-9857-d3f69c119218,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 18:59:35.007519,2018-08-30 19:01:36.367685,121.360166,T1.Q1,It is one of a few arguments the author wants the audience to agree with
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,0a7316d3-70b0-4720-8722-1b1fa2bc9ed1,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1298,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,f2f35073-89a9-49bf-a565-ca8c154e8332,c37ed572-0042-460d-a585-7280158e1687,2018-08-30 22:43:54.350755,2018-08-30 22:49:51.141909,356.791154,T1.Q1,It is one of a few arguments the author wants the audience to agree with
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,0a7316d3-70b0-4720-8722-1b1fa2bc9ed1,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1298,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,deda4f50-5cf4-4a17-975f-d0c1ca245485,c5fa6934-8c1c-47d0-83a9-2d93d422fca8,2018-08-31 20:14:53.811599,2018-08-31 20:15:43.929469,50.11787,T1.Q1,It is an argument that is effectively and intentionally contradicted by the main argument/s of the article
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,57d5b331-4a98-4918-b4ab-1be3137507d0,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1299,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,55bee304-3afe-4af3-bf3b-8ba88123c2ac,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:00:50.852003,2018-08-30 19:02:41.916547,111.064544,T1.Q1,It is an argument that the author has only limited interest in supporting or refuting
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,57d5b331-4a98-4918-b4ab-1be3137507d0,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1299,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,7da8e24a-3f20-4f57-95f2-ae9c84755f62,c37ed572-0042-460d-a585-7280158e1687,2018-08-30 22:47:23.801189,2018-08-30 22:50:22.738145,178.936956,T1.Q1,It is an argument that the author has only limited interest in supporting or refuting
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,57d5b331-4a98-4918-b4ab-1be3137507d0,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1299,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,61ed8f61-0543-4a87-9f78-0625b4c6709e,c5fa6934-8c1c-47d0-83a9-2d93d422fca8,2018-08-31 20:15:19.859129,2018-08-31 20:16:05.235116,45.375987,T1.Q1,It is an argument that successfully contradicts the author's main argument (intentionally or not) # deduct 7 points from article and author
ArgumentRelevance_2018_07_05,e2dd80ff1e72cfb22b8f6b162ae90df5c58295fbea225dc2b4fdc51f292c472b,3d666eee-e46f-431c-96f6-e921e90c1eec,http://pe.goodlylabs.org/project/Demo1ArgRel3/task/1300,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,36073ae7-a0a4-4b00-a34c-dfe6e720cdef,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:01:36.641107,2018-08-30 19:03:05.694636,89.053529,T1.Q1,It is an argument that the author has only limited interest in supporting or refuting
