schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,fedee132-f386-4cf7-a6ea-13bfad511ee6,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,NONE,,{},5,9bd6a65f-a4e9-4900-a153-1a099ff69599,T1.Q1.A1,"Estimates of the likelihood/probability or frequency of an event (past, present, or future)",T1.Q2,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,fedee132-f386-4cf7-a6ea-13bfad511ee6,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,NONE,,{},5,46ed1f35-73e7-41e2-a44f-e54357f320a4,T1.Q1.A2,An evaluative judgment (claims about something being good or bad),T1.Q3,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,fedee132-f386-4cf7-a6ea-13bfad511ee6,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,NONE,,{},5,f18a8bb1-3988-415d-9c64-c373d4a60824,T1.Q1.A3,Confusion of the argument,T1.Q6,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,fedee132-f386-4cf7-a6ea-13bfad511ee6,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,NONE,,{},5,3a27ec1c-282d-4742-b9b7-142a691276b2,T1.Q1.A4,An effective critique of a reasoning error made by someone else,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,fedee132-f386-4cf7-a6ea-13bfad511ee6,T1.Q1,Does the passage contain... (check all that apply):,CHECKBOX,NONE,,{},5,581b62fb-48f9-4658-809b-debd2626bb64,T1.Q1.A5,None of the above,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,e128ecae-7fe0-4dc6-a96c-3d9b4f8efef3,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,NONE,,{},6,a83edf1a-8648-4c50-b6b0-c4743b589615,T1.Q2.A1,"Availability Heuristic (taking something as common because instances of it are easy to think of, when in fact it is not common)",T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,e128ecae-7fe0-4dc6-a96c-3d9b4f8efef3,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,NONE,,{},6,af808d94-aaf3-4b52-9442-ef8ca62b9ace,T1.Q2.A2,Stereotyping (assuming that an individual or case has certain properties simply because they are a member of a group associated with those properties),T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,e128ecae-7fe0-4dc6-a96c-3d9b4f8efef3,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,NONE,,{},6,5bf14a30-f0d6-44dc-89e2-15204b99e38f,T1.Q2.A3,Hindsight Bias (treat past ignorance as foolish simply because now we know more),T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,e128ecae-7fe0-4dc6-a96c-3d9b4f8efef3,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,NONE,,{},6,71d2fbaa-c020-447e-b6d8-63eaf513725e,T1.Q2.A4,"Gambler's Fallacy (the idea that if things happened one way before, they will happen differently next time to balance things out)",T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Reasoning_2018_10_09,9edb25f5d28f139874b562b9b968cdc6112a196f74ae04b6af3483e7cafa8c9e,141c08c1-5132-4dd8-9c93-a257cacfed48,Beginner Reasoning Specialist Structured,e128ecae-7fe0-4dc6-a96c-3d9b4f8efef3,T1.Q2,Does the argument contain any of the following misleading forms of reasoning? Check all that apply.,CHECKBOX,NONE,,{},6,bb54c967-9201-40e0-bec9-fbc0ed022014,T1.Q2.A5,Other misleading reasoning about probability or frequency,"T1.Q7, T1.Q8",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
