schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q1.A10,T1.Q1.A11,T1.Q1.A12,T1.Q1.A13,T1.Q2,T1.Q3,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q7,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13,T1.Q14,T1.Q15
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,8e7ab0d7-8aeb-472d-a759-1a3fc82d3e98,https://pe.goodlylabs.org/project/BETA_Language/task/2187,6,30,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,14ebb647-de7c-4212-93eb-2cde31411529,782cf148-ffac-43f1-99aa-27a9d64b5212,2019-09-19 23:13:23.496172,2019-09-19 23:14:01.905667,38.409495,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,,,,Good job!,,3,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,8e7ab0d7-8aeb-472d-a759-1a3fc82d3e98,https://pe.goodlylabs.org/project/BETA_Language/task/2187,6,30,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,54c3130b-f4df-46e5-b185-2e97e3814ceb,40e8da50-18a7-4eaf-aba1-69b3ee956fc1,2019-09-20 07:41:10.525625,2019-09-20 07:51:01.600981,591.075356,"T1.Q1, T1.Q12, T1.Q13, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,1,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,Nope,Very Mildly,5: Middling difficulty,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,8e7ab0d7-8aeb-472d-a759-1a3fc82d3e98,https://pe.goodlylabs.org/project/BETA_Language/task/2187,6,30,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,9cbd5ca6-194a-47c9-8419-84e2581b5399,2b2f1081-fac7-4884-b56c-28501b89abb8,2019-09-21 00:20:30.958033,2019-09-21 00:24:40.370899,249.412866,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,,,,Nope,,3,6
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,8e7ab0d7-8aeb-472d-a759-1a3fc82d3e98,https://pe.goodlylabs.org/project/BETA_Language/task/2187,6,30,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,dc59a90e-2717-4c4e-a259-d40aae5bec63,3c97d749-8996-4a96-97af-73ecdc5a4716,2019-09-21 00:47:49.082615,2019-09-21 00:50:40.128611,171.045996,"T1.Q1, T1.Q5, T1.Q6, T1.Q12, T1.Q14, T1.Q15",0,0,0,1,0,0,0,0,0,0,0,0,0,,,Moderate,0,0,0,0,0,0,1,0,,,,,Good job!,,2,9
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,8e7ab0d7-8aeb-472d-a759-1a3fc82d3e98,https://pe.goodlylabs.org/project/BETA_Language/task/2187,6,30,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,2afc9dc6-4c52-47d2-907e-ec68f57d964a,a31c365c-986b-4dbe-b752-bbb5986cc7f2,2019-09-28 08:00:12.304147,2019-09-28 08:01:18.627012,66.322865,"T1.Q1, T1.Q3, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,0,0,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,Nope,,2,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,8e7ab0d7-8aeb-472d-a759-1a3fc82d3e98,https://pe.goodlylabs.org/project/BETA_Language/task/2187,6,30,Demo2,100004,politicalarticle1.txt,2bfaa604a990c02dc2524689f6c1f067431344bb8dd6d209275c396c7017a1e0,bfb9bdce-ca65-4ad8-936a-d36f4f77a6a3,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,2019-10-02 23:04:39.463345,2019-10-02 23:06:12.811685,93.34834,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,,,,Good job!,,5: Middling difficulty,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,6d196fca-ed52-43c4-9818-a920f9fa789c,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-04 23:58:04.831378,2019-09-04 23:59:12.997157,68.165779,"T1.Q1, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Good job!,,4,5: 50-50
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,4184dcca-4395-4df4-9d24-8c6b5dc0d6c2,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-05 01:41:47.704870,2019-09-05 01:42:24.534878,36.830008,"T1.Q1, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q12, T1.Q13, T1.Q14, T1.Q15",0,0,0,1,1,1,0,0,0,1,0,0,0,,,Moderate,0,0,0,1,0,0,0,0,,Completely appropriate,No,,Nope,Very Mildly,5: Middling difficulty,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,7bf26078-daf2-409c-80d3-1559a56ca504,45c40bb3-569d-4d6c-9067-bdf0cb3ce923,2019-09-05 01:26:09.326283,2019-09-05 01:47:32.613129,1283.286846,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,0,1,0,0,0,0,1,1,0,,The exaggeration could not possibly mislead anyone,,0,0,0,0,0,0,0,0,,Mildly inappropriate,No,,Good job!,,8,7
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2c48f5e3-caf9-44e9-844d-5d223c9422f7,40e8da50-18a7-4eaf-aba1-69b3ee956fc1,2019-09-05 01:20:41.315043,2019-09-05 01:47:56.704504,1635.389461,"T1.Q1, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,1,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,Moderately inappropriate,No,,Nope,,6,9
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,3436b1b7-ae1f-45e0-b9b5-078b6ee5e1d6,e0834165-64cc-41e5-994f-9be97a16ef93,2019-09-05 01:46:21.785292,2019-09-05 01:49:36.579093,194.793801,"T1.Q1, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,Completely appropriate,No,,Nope,,6,4
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,963d5eb6-a36e-48f4-be33-c621aedab4fa,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2019-09-05 01:49:37.526054,2019-09-05 01:51:14.704715,97.178661,"T1.Q1, T1.Q12, T1.Q13, T1.Q14, T1.Q15",0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Nope,Somewhat,3,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,87d91032-8d9c-4e4e-a3be-969314ea0267,bd786026-bad5-4fa8-9a3a-38ca03a16412,2019-09-05 01:51:43.410600,2019-09-05 01:51:43.458845,0.048245,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,1,0,0,0,1,0,0,0,0,1,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,Completely appropriate,No,,Nope,,5: Middling difficulty,3
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,befb410c-67a5-430a-9f76-efd5d3cba95d,12d9718f-030a-487e-872c-46372f945e17,2019-09-05 01:46:07.891506,2019-09-05 01:51:49.928493,342.036987,"T1.Q1, T1.Q11, T1.Q12, T1.Q14, T1.Q15",0,0,0,0,0,0,0,1,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,,,Somewhat,Nope,,4,5: 50-50
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f62e4d8d-1928-48d2-aedf-f87192bcf703,46c713ca-b363-4ed6-aa35-6f5b24db7d5e,2019-09-05 01:46:28.984378,2019-09-05 01:52:49.245298,380.26092,"T1.Q1, T1.Q3, T1.Q9, T1.Q10, T1.Q12, T1.Q13, T1.Q14, T1.Q15",0,1,0,0,0,1,0,0,0,1,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Maybe,,Nope,Somewhat,4,8
LanguageSpecialist_2019_08_08,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f65e3f32-7347-42b3-a6b2-39bc62e226c2,https://pe.goodlylabs.org/project/BETA_Language/task/2172,36,30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,77a1d475-ccc8-4e38-bdc5-a47bac3c985b,38fb75e6-c5d5-499a-a351-90fedf929474,2019-09-05 01:46:10.878063,2019-09-05 01:54:20.732279,489.854216,"T1.Q1, T1.Q3, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q12, T1.Q14, T1.Q15",0,1,0,1,0,1,0,0,0,0,1,0,0,,Some misrepresentation,Mild,0,0,0,0,0,0,0,0,,Mildly inappropriate,No,,Nope,,4,7
