schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1,T1.Q2,T1.Q4,T1.Q5,T1.Q6,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11,T1.Q12.A1,T1.Q12.A2,T1.Q12.A3,T1.Q12.A4,T1.Q13,T1.Q14
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,f3234c78-5d5c-44c9-9e70-c817a5a48b36,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,2018-08-27 05:21:21.463424,2018-08-27 05:37:36.193623,974.730199,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Not at all justified,No,No,No numbers,No,,,No,I can't tell,0,0,0,0,3,9
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49e6b548-d140-4ff3-9624-e40de9445a9f,daa7dee2-9725-46f6-94a9-9f97905c4795,2018-08-27 19:45:09.103435,2018-08-27 19:47:25.035449,135.932014,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Slightly justified,No,No,No numbers,No,,,Explicitly,"No, not at all",0,0,0,0,4,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,cdce2fd6-8998-4a9f-a124-0703201eb77c,c37ed572-0042-460d-a585-7280158e1687,2018-08-27 21:08:13.193859,2018-08-27 21:11:09.579083,176.385224,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Mostly justified,No,No,No numbers,No,,,No,"No, not at all",0,0,0,0,4,6
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5f5762a6-f7fe-4981-905a-3625ab68e829,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-08-28 08:51:04.766530,2018-08-28 08:52:55.764661,110.998131,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Completely justified,No,No,No numbers,"Yes, implicitly",Somewhat Unlikely,Somewhat Unlikely,Explicitly,I can't tell,0,0,0,0,7,5: 50-50
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,9a03b2b0-6f41-450a-8255-5ded351ed6c2,fb89d9f5-3f50-42f1-9c7c-b82c648c2854,2018-08-28 22:36:01.501333,2018-08-28 22:46:23.858353,622.35702,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Mostly justified,No,No,"Number given, no comparison number given",No,,,No,"No, not at all",0,0,0,0,3,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,0dc98256-d0d3-4a23-b2f4-788bf7fdb577,298dd529-895c-42ee-97a0-9dc131edfd57,2018-08-28 23:34:33.513114,2018-08-28 23:37:54.774799,201.261685,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Mostly justified,No,No,No numbers,"Yes, explicitly",Somewhat Unlikely,Somewhat Unlikely,Explicitly,I can't tell,0,0,0,0,6,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,2012914b-42bb-4f7f-9e84-e002a9c402e6,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-29 07:44:25.564365,2018-08-29 07:46:07.990152,102.425787,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Completely justified,No,No,No numbers,"Yes, implicitly",Neither Likely Nor Unlikely,Neither Likely Nor Unlikely,No,"No, not at all",0,0,0,0,2,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,b329f062-5e7f-4402-9591-5e839b647eee,http://pe.goodlylabs.org/project/Demo1Prob/task/1262,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,8d85d754-efd2-45c0-9d2b-b693adfc56e7,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-29 19:11:45.268084,2018-08-29 19:17:38.265164,352.99708,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Completely justified,No,No,No numbers,"Yes, explicitly",Somewhat Unlikely,Somewhat Unlikely,No,I can't tell,0,0,0,0,3,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,562b9549-fa38-430f-9e55-e3cbbc128d37,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,2018-08-27 05:21:24.349193,2018-08-27 05:39:04.603060,1060.253867,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Completely justified,No,No,Very different comparison number given for contrast,No,,,No,I can't tell,0,0,0,0,2,9
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,2cad21b6-57bc-4e3d-805f-fc44922e4e8f,daa7dee2-9725-46f6-94a9-9f97905c4795,2018-08-27 19:45:10.960044,2018-08-27 19:51:26.367915,375.407871,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Mostly justified,No,No,Baseline number given,"Yes, explicitly",Somewhat Likely,Somewhat Unlikely,Explicitly,"No, not at all",0,0,0,0,5: Middling difficulty,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5d20608a-16a5-4b52-ad55-032e9e6d297a,c37ed572-0042-460d-a585-7280158e1687,2018-08-27 21:08:15.060898,2018-08-27 21:12:58.894385,283.833487,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Mostly justified,No,No,"Number given, no comparison number given",No,,,No,"No, not at all",0,0,0,0,4,6
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,3c3212b8-69b3-4ea7-9b61-dc0b9bb916fb,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-08-28 08:51:04.890062,2018-08-28 08:59:29.087926,504.197864,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Somewhat justified,No,No,No numbers,"Yes, implicitly",Neither Likely Nor Unlikely,Neither Likely Nor Unlikely,No,I can't tell,0,0,0,0,6,4
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,fa952474-55d0-4b32-98f7-0ec494058fe8,fb89d9f5-3f50-42f1-9c7c-b82c648c2854,2018-08-28 22:36:02.902125,2018-08-28 22:47:50.399828,707.497703,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Completely justified,No,No,"Number given, no comparison number given","Yes, explicitly",Very Unlikely,Very Unlikely,No,I can't tell,0,0,0,0,3,9
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d3e9b444-d223-4678-be69-be3d75299974,298dd529-895c-42ee-97a0-9dc131edfd57,2018-08-28 23:34:35.505096,2018-08-28 23:42:51.383257,495.878161,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Somewhat justified,No,No,Baseline number given,"Yes, explicitly",Extremely Likely,Somewhat Unlikely,Explicitly,I can't tell,0,0,0,0,6,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,155f5551-deed-4d0b-97c6-0f54137546cb,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-29 07:44:26.748550,2018-08-29 07:47:45.691596,198.943046,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Completely justified,No,No,Baseline number given,"Yes, explicitly",Somewhat Unlikely,Somewhat Unlikely,No,"No, not at all",0,0,0,0,3,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,18e80b45-1ad9-4c5a-a93d-2ca3a9820d0a,http://pe.goodlylabs.org/project/Demo1Prob/task/1263,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,4723fd63-5673-4278-8061-69c9dc4b00aa,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-29 19:11:46.454097,2018-08-29 19:19:18.342291,451.888194,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Slightly justified,No,No,Baseline number given,No,,,Implicitly,"Yes, implicitly",0,0,0,0,4,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,08d6df96-d00b-409a-b8c0-ce32a3a20550,ae80eb09-28d8-4d0e-9526-5291e0b7ce37,2018-08-27 05:37:36.399574,2018-08-27 05:47:20.247540,583.847966,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Not at all justified,No,"Yes, explicitly",No numbers,No,,,No,"Yes, explicitly",0,0,1,0,3,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,3cbdda76-d1b9-49e0-acd4-870741c36112,daa7dee2-9725-46f6-94a9-9f97905c4795,2018-08-27 19:47:25.255855,2018-08-27 19:54:33.972648,428.716793,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Completely justified,"Yes, explicitly","Yes, explicitly",No numbers,No,,,No,"Yes, implicitly",0,1,1,1,4,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,8bc92f17-2bd6-4bda-9082-13dc246884da,fb89d9f5-3f50-42f1-9c7c-b82c648c2854,2018-08-28 22:46:24.047810,2018-08-28 22:49:50.986307,206.938497,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Mostly justified,"Yes, implicitly","Yes, explicitly",No numbers,No,,,No,I can't tell,0,0,0,0,3,9
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,5f77e1df-63f2-493d-987c-0a61fa5e6bab,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-08-28 23:34:40.102688,2018-08-28 23:38:16.494213,216.391525,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Completely justified,"Yes, implicitly","Yes, implicitly",No numbers,"Yes, explicitly",Somewhat Likely,Somewhat Likely,No,I can't tell,0,0,0,0,6,5: 50-50
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,5d63444b-2724-4bb1-a568-21a76f13ed7d,298dd529-895c-42ee-97a0-9dc131edfd57,2018-08-28 23:37:55.011094,2018-08-28 23:46:51.578675,536.567581,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Somewhat justified,No,"Yes, explicitly",No numbers,No,,,No,"Yes, implicitly",1,1,1,1,4,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,387bdbb8-d952-49b7-8da4-681c2c1cb515,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-29 07:46:08.285918,2018-08-29 07:48:49.501368,161.21545,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Completely justified,"Yes, explicitly","Yes, explicitly",No numbers,No,,,Explicitly,"No, not at all",0,0,0,0,3,8
