schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,167dc0c5-1445-4e44-9d10-4b77c057f567,570cd855-dfc7-4afd-9930-f45285d207bc,2020-03-23 18:53:40.128198,2020-03-23 18:54:04.917135,24.788937,T1.Q1,It is the main argument of the entire article
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,37fc2776-ddda-4908-9796-b2dc9b70d3a7,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 20:24:46.430492,2020-03-22 20:26:18.094519,91.664027,T1.Q1,It is the main argument of the entire article
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,9cd190b6-e64c-4173-b82b-e45bbf0b2dc1,3c387871-0619-43f5-8aaf-4c1a9849c740,2020-03-21 15:16:34.184452,2020-03-21 15:17:24.676089,50.491637,T1.Q1,It is the main argument of the entire article
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,51c3475d-b122-4dd4-926f-0c97dd52b8d0,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2809,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,16681207-1d0b-477f-86e4-d3909272ad8d,570cd855-dfc7-4afd-9930-f45285d207bc,2020-03-23 18:53:40.273819,2020-03-23 18:54:23.329294,43.055475,T1.Q1,It is one of a few arguments the author wants the audience to appreciate
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,51c3475d-b122-4dd4-926f-0c97dd52b8d0,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2809,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,bd30f446-ce90-44b6-b3ec-6fee6e9e7f1d,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 20:24:46.561613,2020-03-22 20:29:07.206868,260.645255,T1.Q1,It is the main argument of the entire article
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,51c3475d-b122-4dd4-926f-0c97dd52b8d0,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2809,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,ed257d2d-170d-47c6-8cb7-3c97d6754e61,3c387871-0619-43f5-8aaf-4c1a9849c740,2020-03-21 15:16:34.404810,2020-03-21 15:22:25.770065,351.365255,T1.Q1,It is one of a few arguments the author wants the audience to appreciate
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,5eb93742-5040-413e-9174-d3660c8e477d,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2810,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,5c61951d-ea82-4b45-824a-fbe930d86f83,0b2ee377-65f2-4ac1-98da-5bc093fee7aa,2020-03-23 19:50:10.311944,2020-03-23 19:51:26.297057,75.985113,T1.Q1,It is the main argument of the entire article
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,5eb93742-5040-413e-9174-d3660c8e477d,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2810,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,57a30767-2938-48e0-b71e-cf66130bab81,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 20:26:18.323111,2020-03-22 20:30:07.249425,228.926314,T1.Q1,It is one of a few arguments the author wants the audience to appreciate
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,5eb93742-5040-413e-9174-d3660c8e477d,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2810,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,845e8194-017a-45a5-a3d6-fa2cad628069,3c387871-0619-43f5-8aaf-4c1a9849c740,2020-03-22 13:20:12.154479,2020-03-22 13:23:51.028823,218.874344,T1.Q1,It is one of a few arguments the author wants the audience to appreciate
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,02c3a392-eb70-45a0-a615-dd44b58e957d,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2811,3,3,CovidArticles/USMightBeComplementingIran.txt,100054,USMightBeComplementingIran.txt,7360da3cdcf83a48e365821654ef0750810f3483efb8e25ad792eed6f4bf0b6f,54797a3e-205a-4751-ba25-e18dc1343d40,0b2ee377-65f2-4ac1-98da-5bc093fee7aa,2020-03-23 19:50:10.508394,2020-03-23 19:51:41.339434,90.83104,T1.Q1,It is an argument that the author has only limited interest in supporting or refuting
