,article_num,article_sha256,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
59,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,7,17a92411-0558-4f35-be50-27cd29e26aa8,ordinal,4,0.8540536313144019,0.8540536313144019,[],,,0.8540536313144019,5,5,,To what extent do you agree with the central claim of the article (regardless of the quality of this particular article)?,Somewhat Disagree,True
50,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,2877bb09-0a7a-4cfc-ae68-291ce2e9b74d,checklist,9,0.0,1.0,[],,,0.0,5,11,,What type of article is this?,Science News,True
49,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,a44bbc54-31e6-450f-8abc-67b40add9f93,checklist,8,0.0,1.0,[],,,0.0,5,11,,What type of article is this?,Health News,True
48,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,0c2ec9f5-ed1d-41af-986a-2986ccf1e791,checklist,7,0.4,0.6,[],,,0.4,5,11,,What type of article is this?,Hyper-Partisan,True
47,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,0cd2d035-57f4-44da-ac37-64e57e6ae82f,checklist,6,0.0,1.0,[],,,0.0,5,11,,What type of article is this?,Interview,True
46,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,2990b2dd-ba55-4748-b594-e38f0c820947,checklist,5,0.0,1.0,[],,,0.0,5,11,,What type of article is this?,Letter to the Editor,True
45,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,8a734c5c-a493-4780-88cd-558d6b1282da,checklist,4,0.0,1.0,[],,,0.0,5,11,,What type of article is this?,Sponsored piece,True
44,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,2f47d547-9431-4fe3-8d43-631d64acb0af,checklist,3,0.0,1.0,[],,,0.0,5,11,,What type of article is this?,Opinion piece/Editorial/Op Ed,True
43,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,b1689186-39bb-4cc3-80b6-859d4bf0d371,checklist,2,0.0,1.0,[],,,0.0,5,11,,What type of article is this?,Feature article/In depth analysis,True
42,100039,ea908e535280e57805f9f5f093d5694d37623279c3cd90ee46dff92144237ad7,91db25cf-af96-4653-9cd0-09953983d3c4,,Holistic Evaluation of Article,73547c3c231ca8366dfcec3758c9248bd090123e5fd8e249c635222488b354da,3,e517992b-dfb3-4b01-8034-fdedbd2a883f,checklist,1,0.4,0.6,[],,,0.4,5,11,,What type of article is this?,News report,True
