,Schema,Question_Number,Question_Number_V2,Question_Type,Answer_Number,Point_Recommendation,Label,Unnamed: 0,article_num,article_sha256,quiz_task_uuid,schema_namespace,schema_sha256,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed,agreement_adjusted_points,schema
0,Language,3,,ordinal,1,-5.0,Exaggeration,184,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,887ec9e8-c7e0-4eed-8cbf-ad7fc96a60d5,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,77928fdf-999d-4e4e-ab88-f2a180af839f,ordinal,1,0.9637568809409032,0.9637568809409032,[],nan,nan,0.9637568809409032,9,5,nan,How much does the exaggeration misrepresent reality?,Enormous misrepresentation,True,-4.818784404704516,Language
1,Language,3,,ordinal,2,-3.75,Exaggeration,208,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,8a155187-7903-4284-97a2-c40404008deb,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,2af77450-063e-4c16-8831-8d120771d9bf,ordinal,2,0.7266806818112128,0.7266806818112128,[],nan,nan,0.7266806818112128,19,5,nan,How much does the exaggeration misrepresent reality?,Considerable misrepresentation,True,-2.725052556792048,Language
2,Language,3,,ordinal,2,-3.75,Exaggeration,374,100003,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,da7af1d8-5f23-4c4e-9f2a-f0bb35798aaf,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,2af77450-063e-4c16-8831-8d120771d9bf,ordinal,2,0.7798613481571379,0.7798613481571379,[],nan,nan,0.7798613481571379,9,5,nan,How much does the exaggeration misrepresent reality?,Considerable misrepresentation,True,-2.9244800555892674,Language
3,Language,3,,ordinal,3,-2.5,Exaggeration,290,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7583971071719305,0.7583971071719305,[],nan,nan,0.7583971071719305,26,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.8959927679298263,Language
4,Language,3,,ordinal,3,-2.5,Exaggeration,100,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,6c7879c3-c0da-4b76-bd7b-8b766e6b353d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.8345455436369562,0.8345455436369562,[],nan,nan,0.8345455436369562,12,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-2.0863638590923905,Language
5,Language,3,,ordinal,3,-2.5,Exaggeration,14,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,156e8426-0563-41af-95b1-5e32f270aa1d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,f2e288b6-2bef-4de4-bc9f-2944d2bd73cf,ordinal,3,0.7127725644265641,0.7127725644265641,[],nan,nan,0.7127725644265641,16,5,nan,How much does the exaggeration misrepresent reality?,Some misrepresentation,True,-1.7819314110664104,Language
6,Language,3,,ordinal,4,-1.25,Exaggeration,78,100001,d75045768087d2dc0161022e64d3dd2f2387947560e95781fd23e75780833972,430c7d69-746d-494a-ae25-abbf1c003b3b,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,a2c927c0-f32d-478a-938c-d0f255fa5ff2,ordinal,4,0.7782629519862275,0.7782629519862275,[],nan,nan,0.7782629519862275,15,5,nan,How much does the exaggeration misrepresent reality?,Minor misrepresentation,True,-0.9728286899827844,Language
7,Language,9,,ordinal,4,-1.25,Writing errors,294,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,0f546cd5-8701-45d8-895f-566b5d3766cd,ordinal,4,0.82053488470405,0.82053488470405,[],nan,nan,0.82053488470405,21,5,nan,How appropriate is the slang?,Mildly inappropriate,True,-1.0256686058800626,Language
8,Language,9,,ordinal,4,-1.25,Writing errors,420,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f65e3f32-7347-42b3-a6b2-39bc62e226c2,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,0f546cd5-8701-45d8-895f-566b5d3766cd,ordinal,4,0.8108860820398776,0.8108860820398776,[],nan,nan,0.8108860820398776,18,5,nan,How appropriate is the slang?,Mildly inappropriate,True,-1.0136076025498468,Language
9,Language,9,,ordinal,4,-1.25,Writing errors,18,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,156e8426-0563-41af-95b1-5e32f270aa1d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,0f546cd5-8701-45d8-895f-566b5d3766cd,ordinal,4,0.8019100012020788,0.8019100012020788,[],nan,nan,0.8019100012020788,11,5,nan,How appropriate is the slang?,Mildly inappropriate,True,-1.0023875015025985,Language
10,Language,10,,ordinal,4,-1.25,Other problematic tone,295,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a25ed7d6-4f1b-40a4-9f72-54e13e5658eb,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,eabc38f6-7225-49be-87c3-f65df1ccdeb7,ordinal,4,0.7694891180829961,0.7694891180829961,[],nan,nan,0.7694891180829961,21,4,nan,Is the slang used to denigrate a group or perspective?,No,True,-0.9618613976037451,Language
11,Language,10,,ordinal,4,-1.25,Other problematic tone,421,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f65e3f32-7347-42b3-a6b2-39bc62e226c2,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,eabc38f6-7225-49be-87c3-f65df1ccdeb7,ordinal,4,0.7709373925278411,0.7709373925278411,[],nan,nan,0.7709373925278411,18,4,nan,Is the slang used to denigrate a group or perspective?,No,True,-0.9636717406598014,Language
12,Language,10,,ordinal,4,-1.25,Other problematic tone,19,100002,1f487e5476e54e1c555e124ff5f6067bfb24ddfac1ee96a4bafaf0a6b43921fd,156e8426-0563-41af-95b1-5e32f270aa1d,Language Specialist V4,383392eb525a877fee27c5e98a14f2ea089876892b30aab1cfa5a2a398394b3f,eabc38f6-7225-49be-87c3-f65df1ccdeb7,ordinal,4,0.8215965747015515,0.8215965747015515,[],nan,nan,0.8215965747015515,11,4,nan,Is the slang used to denigrate a group or perspective?,No,True,-1.0269957183769394,Language
