article_filename,article_sha256,task_uuid,namespace,start_pos,end_pos,topic_name,case_number,target_text
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,c335c9a5-f2c1-4aca-9ff3-d1eefbdec23f,Evidence_2018_08_21,580,1663,Evidence,1,"The study involved 110 people with relapsing multiple sclerosis, a condition in which cells in the immune system start to inexplicably attack the critical covering that protects nerve cells in the spinal cord, brain and eye. Without the coating, nerves gradually lose their ability to send important electrical messages that control things like movement and vision. In the study, people were randomly assigned to receive current treatments for the disease, which can help slow the progression of the immune-driven damage to the nerve cells, or a stem cell transplant.\r\n\r\nPeople in the stem cell transplant group received chemotherapy to wipe out most of their current immune cells that were wrongly attacking neurons. They then took special medications to coax their stem cells, which produce the entire population of immune cells, out of the bone marrow and into the blood to start churning out new immune cells. After approximately three years, about 6% of the stem cell group experienced relapses, while 60% of the people in the control group receiving standard treatment relapsed"
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,c335c9a5-f2c1-4aca-9ff3-d1eefbdec23f,Evidence_2018_08_21,3452,3842,Evidence,1,"Bebo also notes that the trial involved people with relapsing MS, so it\u2019s not clear whether those with progressive MS \u2014 which accounts for about half of people currently living with the disease, according to the National MS Society \u2014 might benefit. While about 80% to 85% of people first diagnosed with MS are diagnosed with the relapsing form, that can evolve into progressive MS over time"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Language_2018_08_21,1555,1574,Language,1,is dismissive of Dr
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Language_2018_08_21,1584,1605,Language,1,come to Jesus\u201d moment
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Language_2018_08_21,1783,1791,Language,1,crackpot
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Language_2018_08_21,1818,1833,Language,1,Give me a break
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Language_2018_08_21,1963,1980,Language,1,there goes my hip
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Reasoning_2018_08_21,725,836,Reasoning,1,"a hard choice for the institution: either fire him immediately, or admit tacit denial of modern climate science"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Reasoning_2018_08_21,838,1000,Reasoning,1,"After all, if the climate isn\u2019t changing, how can we make sense of the Houston flooding, the 2018 California Wildfires, or the Chicago polar vortex just this year"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Reasoning_2018_08_21,2105,2312,Reasoning,2,"People forget that SKEPTIC actually endorsed more studies that corroborated warming global temperatures\u201d than otherwise because \u201cclimate studies are usually released in the fall, when joints aren\u2019t acting up"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Reasoning_2018_08_21,2314,2344,Reasoning,2,"Plus, I didn\u2019t choose the name"
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,36713187-5fb3-4ff8-9775-2e602b3ce4da,Reasoning_2018_08_21,3457,3562,Reasoning,1,"Indeed, after Dr. Troy\u2019s hiring, the Twitter hashtag #neveragain has been trending among the student body"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Evidence_2018_08_21,423,599,Evidence,1,The study reveals a 30% greater chance that ice sheets of more than 100 square kilometers will break off of continental glaciers than ones that are 10 square kilometers or less
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Evidence_2018_08_21,727,874,Evidence,1,"That assumption, according to most experts at the NOAA, is responsible for every trusted model of sea level rise that gets cited in federal reports"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Evidence_2018_08_21,994,1623,Evidence,1,"Look, we have no direct evidence of ice sheets that large having broken off in the last 30 years. That\u2019s when models like this became somewhat more reliable in terms of available data,\u201d said Dr. Marolf, perhaps the highest-profile NOAA member who dismissed the study. \u201cEven before that, the few examples of breaks we\u2019ve accounted for were so rare and poorly-understood that they constitute edge cases. And the simulation also ignores recent climate commitments from the OECD countries that should lower projected carbon emissions. So you see, this study is an extrapolation, on top of an extrapolation, on top of an extrapolation"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Evidence_2018_08_21,1627,1748,Evidence,1,Dr. Marolf suggests that a follow-up simulation that incorporates most of her concerns would be worth paying attention to
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Evidence_2018_08_21,1760,1918,Evidence,1,ideally [she would] want new ice core samples from at least a quarter of the sheets they\u2019ve pointed to\u201d so that the previous study could be somewhat falsified
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Language_2018_08_21,215,225,Language,1,definitely
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Language_2018_08_21,265,307,Language,1,"certainly unlikely, and perhaps impossible"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Language_2018_08_21,1943,1968,Language,2,not some sort of crackpot
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Language_2018_08_21,2567,2679,Language,1,"It seems to be just a hop, skip, and a jump to the idea that sea levels will rise faster than previously thought"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Probability_2018_09_04,441,461,Probability,1,a 30% greater chance
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Reasoning_2018_08_21,64,85,Reasoning,1,Anyone under 30 knows
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Reasoning_2018_08_21,635,657,Reasoning,1,widely-held assumption
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Reasoning_2018_08_21,1197,1236,Reasoning,2,perhaps the highest-profile NOAA member
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Reasoning_2018_08_21,1971,2098,Reasoning,1,"Dr. Marolf made clear that every simulation should be taken seriously, even if its conclusions call for a modicum of skepticism"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Reasoning_2018_08_21,2218,2355,Reasoning,2,"In my book, if you dismiss simulations of this level of rigor and sophistication, you may as well dismiss the entirety of climate science"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Reasoning_2018_08_21,2375,2488,Reasoning,2,"For every so-called expert who questions this stuff, there are five who at least give it the benefit of the doubt"
Probability Toy Article.txt,38ddcb5f7cbc3264b48af166adb0decf6411ed884c1425232d35e0798cc254be,f1ded9e6-6efc-4c88-a83b-75c765011c5d,Reasoning_2018_08_21,2490,2562,Reasoning,2,I trust in this study\u2019s validity because I trust my community\u2019s judgment
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,104,114,Language,1,undeniable
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,215,237,Language,1,wonderfully convenient
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,336,341,Language,2,Thats
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,363,375,Language,1,so upsetting
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,443,455,Language,1,unbelievably
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,866,875,Language,1,chastised
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,876,882,Language,1,frumpy
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,915,930,Language,2,rolled her eyes
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,1122,1125,Language,1,too
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,1193,1204,Language,1,devastating
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,1331,1365,Language,2,What am I supposed to make of this
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,1412,1421,Language,1,explosive
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,1442,1512,Language,2,"I thought that using widgets helped make you fit as a fiddle, not sick"
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,1674,1688,Language,2,we I mean they
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,2037,2056,Language,1,take it to this one
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Language_2018_08_21,2152,2160,Language,1,down low
Toy Article Language.txt,4b2f1135e6d0a5a309240163eb5925d79d53cc9007e4c63ce8cab72aabf8d149,e72bb6dd-d036-414c-8820-92bc29e6dbd0,Reasoning_2018_08_21,1224,1327,Reasoning,1,"At its root this makes you wonder what this is all really about, and there\u2019s every reason to be worried"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,531f43ca-0ea4-4c0b-8f60-c688a34c828c,Evidence_2018_08_21,1344,1521,Evidence,1,"Indeed, over two hundred peer-reviewed studies point to screen time correlating to increased\xa0ADHD,\xa0screen addiction,\xa0increased aggression,\xa0depression,\xa0anxiety\xa0and even\xa0psychosis"
Screens in Schools Are a $60 Billion Hoax.txt,7b615d8acb1fb1506587551397b7c3e937fab6aef9724a5e371bf1b3a7c6549c,531f43ca-0ea4-4c0b-8f60-c688a34c828c,Evidence_2018_08_21,2841,3267,Evidence,2,"Yet many researchers and neuroscientists believe that this ADHD epidemic is\xa0a direct\xa0result\xa0of children being hyper-stimulated. Using hyper-stimulating digital content to \u201cengage\u201d otherwise distracted students exacerbates the problem that it endeavors to solve. It creates a vicious and addictive ADHD cycle: The more a child is stimulated, the more that child needs to keep getting stimulated in order to hold their attention"
