article_filename,article_sha256,namespace,start_pos,end_pos,topic_name,case_number,target_text
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,nan,580,1663,Evidence,1,"The study involved 110 people with relapsing multiple sclerosis, a condition in which cells in the immune system start to inexplicably attack the critical covering that protects nerve cells in the spinal cord, brain and eye. Without the coating, nerves gradually lose their ability to send important electrical messages that control things like movement and vision. In the study, people were randomly assigned to receive current treatments for the disease, which can help slow the progression of the immune-driven damage to the nerve cells, or a stem cell transplant.\r\n\r\nPeople in the stem cell transplant group received chemotherapy to wipe out most of their current immune cells that were wrongly attacking neurons. They then took special medications to coax their stem cells, which produce the entire population of immune cells, out of the bone marrow and into the blood to start churning out new immune cells. After approximately three years, about 6% of the stem cell group experienced relapses, while 60% of the people in the control group receiving standard treatment relapsed"
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,nan,3452,3842,Evidence,1,"Bebo also notes that the trial involved people with relapsing MS, so it\u2019s not clear whether those with progressive MS \u2014 which accounts for about half of people currently living with the disease, according to the National MS Society \u2014 might benefit. While about 80% to 85% of people first diagnosed with MS are diagnosed with the relapsing form, that can evolve into progressive MS over time"
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,nan,1527,1534,Probability,1,about 6
Stem Cell Treatment Could Be a Game-Changer for People With MS.txt,0fa1bbaf1bd387a2daabceba23abe8a57ef37365d368013555b5a60e8cdd92bc,nan,1587,1589,Probability,1,60
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,nan,1555,1574,Language,1,is dismissive of Dr
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,nan,1584,1605,Language,1,come to Jesus\u201d moment
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,nan,1783,1791,Language,1,crackpot
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,nan,1818,1833,Language,1,Give me a break
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,nan,1963,1980,Language,1,there goes my hip
Reasoning Toy Article.txt,3073e0eed56943d2b1b35c2b6ee5b4aaae464481d5257f16eb30d42f52785f95,nan,184,186,Probability,1,75
