task_uuid,article_num,start,end,category,case_number
b7844354-5cb4-4456-8af7-c9dfb448eec7,1042,1853,2427,Evidence,1.0
b7844354-5cb4-4456-8af7-c9dfb448eec7,1042,2506,2604,Evidence,1.0
b7844354-5cb4-4456-8af7-c9dfb448eec7,1042,583,594,Language,1.0
b7844354-5cb4-4456-8af7-c9dfb448eec7,1042,1631,1636,Language,1.0
b7844354-5cb4-4456-8af7-c9dfb448eec7,1042,449,468,Reasoning,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,697,848,Evidence,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,983,1220,Evidence,2.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,1224,1321,Evidence,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,1325,1505,Evidence,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,1658,1837,Evidence,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,1894,2058,Evidence,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,2257,2457,Evidence,3.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,2461,2632,Evidence,2.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,2636,2739,Evidence,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,3180,3348,Evidence,4.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,279,289,Language,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,438,455,Language,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,457,465,Language,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,882,890,Language,1.0
31f28b56-ef8b-4127-8c7c-15288b35a78c,1043,1183,1196,Language,1.0
399c7500-7a52-4284-af63-7fb8ee59251d,1044,422,640,Evidence,1.0
399c7500-7a52-4284-af63-7fb8ee59251d,1044,646,1033,Evidence,1.0
399c7500-7a52-4284-af63-7fb8ee59251d,1044,1252,1379,Evidence,1.0
399c7500-7a52-4284-af63-7fb8ee59251d,1044,1433,1593,Evidence,1.0
399c7500-7a52-4284-af63-7fb8ee59251d,1044,633,640,Language,1.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,271,325,Evidence,1.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,449,543,Evidence,1.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,571,618,Evidence,2.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,622,771,Evidence,3.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,774,878,Evidence,3.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,882,1118,Evidence,3.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,1754,1951,Evidence,4.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,1955,2058,Evidence,5.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,3063,3142,Evidence,1.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,4270,4390,Evidence,6.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,5365,5444,Evidence,7.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,5864,5928,Evidence,7.0
833d5513-bfc7-4aee-9954-6216841fc439,1045,1373,1468,Reasoning,1.0
85211d1e-a72b-4db8-aa8c-0785224f288d,1046,3954,4359,Evidence,1.0
85211d1e-a72b-4db8-aa8c-0785224f288d,1046,4363,4505,Evidence,1.0
85211d1e-a72b-4db8-aa8c-0785224f288d,1046,4510,4826,Evidence,1.0
85211d1e-a72b-4db8-aa8c-0785224f288d,1046,4831,4931,Evidence,1.0
85211d1e-a72b-4db8-aa8c-0785224f288d,1046,5646,5720,Language,1.0
13882866-4310-4ad5-8cd8-72366da57d0e,1047,1572,1932,Evidence,1.0
13882866-4310-4ad5-8cd8-72366da57d0e,1047,1936,2040,Evidence,1.0
13882866-4310-4ad5-8cd8-72366da57d0e,1047,2044,2394,Evidence,1.0
13882866-4310-4ad5-8cd8-72366da57d0e,1047,3204,3351,Evidence,1.0
