schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q2.A1,T1.Q2.A2,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q4
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,6802a10f-ce75-4f5d-b87f-0c9e6ba90581,d571f417-ff11-471f-a7f2-989a70826631,2018-08-29 19:05:48.642725,2018-08-29 19:12:45.087819,416.445094,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,They are the key idea/s the author is trying to advance with the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d1600946-fc06-4881-bbd0-52112f2a750d,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-30 01:37:07.661532,2018-08-30 01:48:38.854327,691.192795,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,46f56617-ff06-444d-9412-23e4153687e4,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 05:53:33.868420,2018-08-30 05:58:21.858414,287.989994,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,They are the key idea/s the author is trying to advance with the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3c7fe354-b35c-4894-9503-98cec1d581e8,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1276,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,57b9eabb-81e7-4700-8df1-e1b3984540b2,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:07:12.153274,2018-08-30 19:10:37.409636,205.256362,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,They are the key idea/s the author is trying to advance with the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,91dd528b-08c3-4a2f-bdcd-c3bee9689b6c,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1277,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,1202a522-43dc-4c3d-a6bb-5d0b8f52af05,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-30 01:37:07.885338,2018-08-30 02:14:38.853241,2250.967903,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,They are the key idea/s the author is trying to advance with the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,91dd528b-08c3-4a2f-bdcd-c3bee9689b6c,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1277,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,3d54844b-f50f-4c5e-8a78-cb3db9e6c27c,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 05:53:33.997197,2018-08-30 06:05:59.799051,745.801854,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,91dd528b-08c3-4a2f-bdcd-c3bee9689b6c,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1277,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,40f9207e-567f-400a-8846-3c87ac2aa2b9,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:07:12.263683,2018-08-30 19:19:00.681793,708.41811,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,5dfdd409-4499-4147-b8db-f1fe94b8e15b,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1278,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,e6aaad63-cf8f-4d1e-a2cf-c69143f3bc17,40bbbf7e-a77b-498d-bb44-2ef6601061ef,2018-08-30 01:48:39.121222,2018-08-30 02:42:32.127253,3233.006031,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,5dfdd409-4499-4147-b8db-f1fe94b8e15b,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1278,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,7c8b219c-104d-4106-b501-69acdf351f91,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 05:58:22.572151,2018-08-30 06:13:48.147121,925.57497,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,They are the key idea/s the author is trying to advance with the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,5dfdd409-4499-4147-b8db-f1fe94b8e15b,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1278,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,f9b1caf5-cd67-422b-a507-8e453d2647fc,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:10:37.613795,2018-08-30 19:20:43.077043,605.463248,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,They provide important support to an important argument the author advances in the article.
